Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,37.51,37.58,37.05,37.30,11554300,37.30
2014-03-27,37.66,37.80,37.46,37.51,9415400,37.51
2014-03-26,37.96,38.00,37.64,37.65,9722000,37.65
2014-03-25,38.02,38.16,37.92,37.92,6957800,37.92
2014-03-24,38.10,38.19,37.94,37.95,4378500,37.95
2014-03-21,38.34,38.35,37.96,38.01,5666000,38.01
2014-03-20,38.15,38.26,38.05,38.07,5375000,38.07
2014-03-19,38.39,38.49,38.34,38.38,3746100,38.18
2014-03-18,38.32,38.49,38.23,38.45,4079500,38.25
2014-03-17,38.41,38.46,38.29,38.31,3409600,38.11
2014-03-14,38.39,38.52,38.18,38.39,4254400,38.19
2014-03-13,38.63,38.85,38.24,38.32,9184900,38.12
2014-03-12,38.57,38.80,38.47,38.71,8833000,38.51
2014-03-11,39.01,39.03,38.63,38.65,13088200,38.45
2014-03-10,38.66,39.05,38.45,38.88,10748100,38.68
2014-03-07,38.19,38.99,38.15,38.60,37864100,38.40
2014-03-06,39.65,40.25,39.17,39.47,15792800,39.26
2014-03-05,38.66,39.90,38.23,39.48,10427100,39.27
2014-03-04,38.39,38.73,37.84,38.65,4632900,38.45
2014-03-03,37.08,38.70,36.96,38.02,5771600,37.82
2014-02-28,37.39,38.06,37.31,37.45,7990700,37.25
2014-02-27,37.21,37.71,37.20,37.31,5292500,37.12
2014-02-26,36.55,37.41,36.55,36.96,3564400,36.77
2014-02-25,36.94,37.70,36.87,37.13,5208200,36.94
2014-02-24,37.05,37.77,36.97,37.03,12319000,36.84
2014-02-21,35.70,37.70,35.05,36.84,17235700,36.65
2014-02-20,36.30,36.75,34.89,35.32,20911100,35.14
2014-02-19,34.00,35.39,33.77,34.61,13354800,34.43
2014-02-18,33.79,34.67,33.67,34.10,7301700,33.92
2014-02-14,33.00,33.69,32.99,33.65,3384300,33.47
2014-02-13,32.39,33.09,32.23,33.06,2845500,32.89
2014-02-12,32.65,33.03,32.48,32.72,3888400,32.55
2014-02-11,32.00,33.06,31.73,32.97,4861400,32.80
2014-02-10,31.02,32.25,30.89,32.04,4963800,31.87
2014-02-07,31.07,31.28,30.70,31.16,4117200,31.00
2014-02-06,30.46,30.99,30.25,30.90,2076000,30.74
2014-02-05,30.18,30.49,30.08,30.46,2123200,30.30
2014-02-04,30.15,30.39,29.97,30.28,2846000,30.12
2014-02-03,31.16,31.24,29.82,30.06,6909700,29.90
2014-01-31,30.51,31.38,30.36,31.24,5167200,31.08
2014-01-30,31.47,31.49,30.86,30.89,5425400,30.73
2014-01-29,31.47,31.61,31.20,31.29,3097800,31.13
2014-01-28,31.22,31.81,31.15,31.62,3227400,31.46
2014-01-27,30.95,31.33,30.90,31.16,3452800,31.00
2014-01-24,30.93,31.29,30.72,30.98,2554500,30.82
2014-01-23,31.36,31.46,31.12,31.28,2011900,31.12
2014-01-22,31.75,31.86,31.49,31.68,3536300,31.51
2014-01-21,31.94,32.06,31.59,32.00,3082200,31.83
2014-01-17,31.76,31.91,31.41,31.82,2804300,31.65
2014-01-16,31.54,31.82,31.09,31.71,3049800,31.54
2014-01-15,31.94,32.13,31.62,31.70,3174000,31.53
2014-01-09,32.26,32.49,31.84,32.08,3346400,31.91
2014-01-08,32.01,32.35,31.80,32.32,4299500,32.15
2014-01-07,31.70,32.09,31.29,31.98,3353300,31.81
2014-01-06,32.32,32.61,31.45,31.67,3925400,31.50
2014-01-03,32.64,32.69,32.03,32.31,2390700,32.14
2014-01-02,32.45,32.74,32.35,32.46,2041300,32.29
2013-12-31,32.84,32.84,32.44,32.57,1246900,32.40
2013-12-30,32.50,32.98,32.38,32.71,1245500,32.54
2013-12-27,32.66,32.95,32.31,32.50,1273100,32.33
2013-12-26,32.76,33.00,32.41,32.69,1265500,32.52
2013-12-24,32.51,32.89,32.33,32.67,845100,32.50
2013-12-23,33.31,33.49,32.55,32.58,3374900,32.41
