Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,19.46,19.96,19.43,19.79,12994700,19.79
2014-03-27,18.82,19.74,18.75,19.27,17629800,19.27
2014-03-26,19.18,19.40,18.72,18.79,12925400,18.79
2014-03-25,19.18,19.64,18.95,19.06,13451900,19.06
2014-03-24,18.50,19.13,18.41,19.09,22654800,19.09
2014-03-21,18.71,18.73,17.95,18.20,60887200,18.20
2014-03-20,20.47,21.00,20.41,20.91,8372600,20.91
2014-03-19,20.48,20.73,20.34,20.58,5233600,20.58
2014-03-18,20.38,20.74,20.30,20.51,8823000,20.51
2014-03-17,20.37,20.40,20.17,20.30,7433500,20.30
2014-03-14,20.05,20.40,20.01,20.16,7875600,20.16
2014-03-13,20.67,20.67,20.01,20.05,13193500,20.05
2014-03-12,20.35,20.56,20.35,20.49,7616100,20.49
2014-03-11,20.48,20.59,20.33,20.46,6778100,20.46
2014-03-10,20.66,20.71,20.45,20.56,6041200,20.56
2014-03-07,20.90,20.96,20.47,20.59,7878600,20.59
2014-03-06,21.07,21.14,20.78,20.80,6477600,20.80
2014-03-05,21.00,21.05,20.74,20.96,6463900,20.96
2014-03-04,21.37,21.61,20.96,21.00,8847200,21.00
2014-03-03,21.28,21.42,21.12,21.39,5960900,21.39
2014-02-28,21.41,21.84,21.32,21.48,4889800,21.48
2014-02-27,21.31,21.50,21.17,21.50,4969300,21.50
2014-02-26,20.95,21.35,20.93,21.26,7850200,21.26
2014-02-25,20.86,21.05,20.72,20.78,7481200,20.78
2014-02-24,20.58,20.99,20.50,20.84,6568200,20.84
2014-02-21,20.60,20.61,20.32,20.53,8250500,20.53
2014-02-20,20.60,20.62,20.35,20.51,6842400,20.51
2014-02-19,20.78,20.78,20.50,20.54,7846400,20.39
2014-02-18,21.11,21.29,20.67,20.69,8374200,20.54
2014-02-14,21.33,21.42,21.20,21.35,5288700,21.19
2014-02-13,21.07,21.42,21.03,21.36,6851500,21.20
2014-02-12,21.26,21.44,21.01,21.22,5567200,21.07
2014-02-11,20.91,21.31,20.90,21.23,8004700,21.07
2014-02-10,20.77,21.00,20.75,20.89,5622000,20.74
2014-02-07,20.64,20.94,20.53,20.90,7653700,20.75
2014-02-06,20.49,20.68,20.31,20.47,7224800,20.32
2014-02-05,20.38,20.64,20.35,20.54,9493700,20.39
2014-02-04,20.93,20.98,20.39,20.42,12517800,20.27
