Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,58.52,58.82,57.90,58.08,888200,58.08
2014-03-27,57.98,58.39,57.79,58.07,699300,58.07
2014-03-26,58.65,58.85,57.80,57.80,591600,57.80
2014-03-25,58.01,58.63,57.81,58.61,1125200,58.61
2014-03-24,58.63,59.02,57.48,57.55,753200,57.55
2014-03-21,58.16,59.15,58.16,58.50,1255500,58.50
2014-03-20,57.66,58.18,57.47,58.16,383900,58.16
2014-03-19,58.21,58.50,57.53,57.75,601200,57.75
2014-03-18,58.21,58.36,57.91,58.18,562700,58.18
2014-03-17,57.80,58.25,57.64,58.25,641200,58.25
2014-03-14,57.57,58.16,57.44,57.61,782700,57.61
2014-03-13,58.26,58.45,57.55,57.63,798800,57.63
2014-03-12,57.72,58.31,57.66,58.11,727200,58.11
2014-03-11,58.43,58.49,57.90,58.03,763100,58.03
2014-03-10,58.18,58.49,58.00,58.46,675500,58.46
2014-03-07,58.07,58.48,57.84,58.24,856700,58.24
2014-03-06,57.48,58.19,57.37,57.99,1185000,57.99
2014-03-05,57.00,57.72,56.90,57.49,956500,57.49
2014-03-04,57.07,57.41,56.69,56.92,896800,56.92
2014-03-03,56.50,56.71,56.06,56.62,732900,56.62
2014-02-28,56.98,57.18,56.54,56.83,919800,56.83
2014-02-27,56.70,57.07,56.61,56.91,761100,56.91
2014-02-26,57.13,57.28,56.63,56.68,700700,56.68
2014-02-25,57.33,57.48,56.97,57.25,758800,56.88
2014-02-24,57.00,57.54,56.75,57.27,1372800,56.90
2014-02-21,56.14,56.71,55.92,56.60,956600,56.23
2014-02-20,56.10,56.42,55.66,56.13,1449000,55.77
2014-02-19,55.72,56.75,55.60,56.12,1382000,55.76
2014-02-18,54.63,55.83,54.62,55.73,1463800,55.37
2014-02-14,54.62,55.11,54.43,55.02,1242200,54.66
2014-02-13,52.68,54.68,52.68,54.53,1322400,54.18
2014-02-12,53.48,53.63,53.00,53.10,1373600,52.76
2014-02-11,52.52,53.37,52.41,53.29,757200,52.95
2014-02-10,52.57,52.68,52.01,52.52,725000,52.18
2014-02-07,51.97,52.44,51.83,52.41,567800,52.07
2014-02-06,51.48,51.77,51.41,51.67,763200,51.34
2014-02-05,51.30,51.46,50.90,51.32,791300,50.99
2014-02-04,51.77,52.03,51.28,51.48,1337000,51.15
2014-02-03,52.60,52.64,51.46,51.46,1321400,51.13
2014-01-31,52.96,53.20,52.55,52.64,1071400,52.30
2014-01-30,53.73,53.99,53.46,53.81,771500,53.46
2014-01-29,54.20,54.20,53.13,53.41,1136200,53.06
2014-01-28,54.27,54.83,54.08,54.70,871500,54.35
2014-01-27,53.65,54.57,53.63,54.24,1040900,53.89
2014-01-24,54.22,54.44,53.82,53.82,904900,53.47
2014-01-23,54.94,55.10,54.37,54.45,997200,54.10
2014-01-22,55.19,55.84,55.11,55.35,1207600,54.99
