Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,59.00,59.00,58.60,58.99,349700,58.99
2014-03-27,58.34,58.82,58.18,58.78,280200,58.78
2014-03-26,58.42,58.69,58.21,58.40,472600,58.40
2014-03-25,58.14,58.37,57.69,58.29,303700,58.29
2014-03-24,57.98,58.18,57.53,58.00,298700,58.00
2014-03-21,57.73,58.47,57.73,57.86,588200,57.86
2014-03-20,57.28,57.55,56.63,57.45,589600,57.45
2014-03-19,58.42,58.61,57.15,57.49,478200,57.49
2014-03-18,58.53,58.58,58.18,58.36,312000,58.36
2014-03-17,58.00,58.54,57.77,58.53,309800,58.53
2014-03-14,57.18,58.00,57.07,57.75,361000,57.75
2014-03-13,56.79,57.46,56.66,57.28,341300,57.28
2014-03-12,56.00,56.77,55.84,56.75,221600,56.75
2014-03-11,56.26,56.27,55.62,56.10,230300,56.10
2014-03-10,56.27,56.45,55.98,56.18,294200,56.18
2014-03-07,56.18,56.35,55.62,56.25,314700,56.25
2014-03-06,56.60,56.80,56.03,56.23,346000,56.23
2014-03-05,57.20,57.20,56.48,56.71,369900,56.71
2014-03-04,57.05,57.34,56.81,57.20,498200,57.20
2014-03-03,57.07,57.30,56.19,56.49,585200,56.49
2014-02-28,56.77,57.53,56.67,57.27,775900,57.27
2014-02-27,55.80,57.05,55.70,56.60,641800,56.60
2014-02-26,56.15,57.74,55.39,55.65,471800,55.65
2014-02-25,56.53,57.21,56.41,56.47,544900,55.79
2014-02-24,56.93,57.40,56.52,56.54,458100,55.86
2014-02-21,56.49,57.13,56.45,56.73,497900,56.05
2014-02-20,55.94,56.95,55.86,56.25,643500,55.57
2014-02-19,56.24,56.54,55.74,55.83,327200,55.16
2014-02-18,55.79,56.35,55.79,56.34,345800,55.66
2014-02-14,55.19,55.79,54.98,55.69,270300,55.02
2014-02-13,54.51,55.37,54.43,55.23,366700,54.56
2014-02-12,54.60,54.97,54.40,54.55,290900,53.89
2014-02-11,53.52,54.89,53.39,54.61,414800,53.95
2014-02-10,53.08,53.68,52.87,53.66,281400,53.01
2014-02-07,52.95,53.26,52.75,53.19,230700,52.55
2014-02-06,52.28,52.72,52.08,52.67,439100,52.04
2014-02-05,52.59,52.71,52.20,52.28,395100,51.65
2014-02-04,53.29,53.40,52.41,52.64,544400,52.01
2014-02-03,54.40,54.83,53.05,53.16,512600,52.52
2014-01-31,53.88,54.52,53.86,54.34,423100,53.69
2014-01-30,53.81,54.49,53.63,54.33,280900,53.68
2014-01-29,53.41,53.80,53.36,53.51,304400,52.87
2014-01-28,53.73,53.83,53.28,53.60,296400,52.95
2014-01-27,53.60,53.84,53.33,53.60,508300,52.95
2014-01-24,54.27,54.50,53.59,53.61,374000,52.96
2014-01-23,54.52,54.67,54.09,54.48,339700,53.82
2014-01-22,54.86,54.97,54.69,54.77,319100,54.11
2014-01-21,54.48,54.74,53.96,54.70,578200,54.04
2014-01-17,53.94,54.11,53.59,53.64,335800,52.99
2014-01-16,53.62,53.84,53.50,53.83,288400,53.18
2014-01-15,53.75,53.96,53.46,53.55,263600,52.91
2014-01-14,53.62,53.91,53.57,53.74,437300,53.09
2014-01-13,53.80,54.06,53.48,53.61,360400,52.96
2014-01-09,53.25,53.40,52.91,53.25,368100,52.61
2014-01-08,53.50,53.65,52.95,53.14,612100,52.50
2014-01-07,53.26,53.79,53.26,53.75,299800,53.10
2014-01-06,53.41,53.64,53.12,53.25,310600,52.61
2014-01-03,53.43,53.79,53.10,53.32,402400,52.68
2014-01-02,54.44,54.56,53.43,53.43,461200,52.79
2013-12-31,54.37,54.55,54.25,54.41,281400,53.75
2013-12-30,54.40,54.79,54.15,54.38,243600,53.73
2013-12-27,54.38,54.84,54.32,54.42,218600,53.76
2013-12-26,54.69,54.95,54.31,54.43,232800,53.77
2013-12-24,54.50,54.94,54.30,54.70,100100,54.04
2013-12-23,55.14,55.31,54.60,54.63,475400,53.97
2013-12-20,54.18,55.02,54.15,54.86,1917100,54.20
2013-12-19,54.19,54.38,53.40,54.01,526900,53.36
2013-12-18,53.55,54.73,53.10,54.58,882900,53.92
2013-12-17,53.80,53.97,53.47,53.61,712200,52.96
2013-12-16,53.40,54.29,53.34,53.82,572400,53.17
