Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,19.35,19.71,19.34,19.52,1806700,19.52
2014-03-27,19.66,19.71,19.14,19.38,3075100,19.38
2014-03-26,20.20,20.41,19.70,19.71,1721400,19.71
2014-03-25,20.06,20.46,19.84,20.13,2813400,20.13
2014-03-24,20.17,20.32,19.81,19.94,1312200,19.94
2014-03-21,20.37,20.43,20.08,20.15,2728900,20.15
2014-03-20,19.64,20.26,19.54,20.21,2120100,20.21
2014-03-19,19.83,19.87,19.50,19.62,1611200,19.62
2014-03-18,19.42,19.87,19.37,19.84,1713400,19.84
2014-03-17,19.38,19.52,19.36,19.41,2026800,19.41
2014-03-14,19.25,19.41,19.18,19.28,1629000,19.28
2014-03-13,19.63,19.80,19.07,19.25,3558700,19.25
2014-03-12,19.52,19.72,19.31,19.69,2694400,19.69
2014-03-11,19.60,19.82,19.41,19.61,2797600,19.61
2014-03-10,20.25,20.27,19.65,19.65,2387200,19.65
2014-03-07,19.91,20.24,19.91,20.23,3086400,20.23
2014-03-06,19.95,19.98,19.70,19.85,3237600,19.85
2014-03-05,20.07,20.10,19.89,19.91,2565200,19.91
2014-03-04,20.14,20.16,19.94,20.06,2650300,20.06
2014-03-03,20.02,20.13,19.76,19.93,2527800,19.93
2014-02-28,20.15,20.52,20.05,20.28,3559300,20.28
2014-02-27,20.10,20.28,20.06,20.17,2685800,20.17
2014-02-26,20.08,20.43,19.96,20.09,3966900,20.09
2014-02-25,20.15,20.17,19.83,20.02,3182000,20.02
2014-02-24,20.24,20.41,20.12,20.19,5540600,20.19
2014-02-21,20.50,20.54,20.17,20.23,3753300,20.23
2014-02-20,20.15,20.49,20.09,20.46,4977700,20.46
2014-02-19,19.76,20.25,19.75,20.13,4744500,20.13
2014-02-18,19.96,19.97,19.74,19.82,3212800,19.82
2014-02-14,19.27,19.91,19.20,19.87,5135900,19.87
2014-02-13,19.09,19.26,18.82,19.25,5908800,19.25
2014-02-12,19.47,19.55,19.18,19.23,2945900,19.23
2014-02-11,19.07,19.51,19.03,19.33,4711400,19.33
2014-02-10,19.01,19.07,18.86,19.03,1900100,19.03
2014-02-07,18.93,19.11,18.79,19.07,2609500,19.07
2014-02-06,18.78,19.05,18.73,18.87,3042300,18.87
2014-02-05,18.37,18.82,18.14,18.72,3680400,18.72
2014-02-04,18.42,18.44,18.26,18.41,2224900,18.41
2014-02-03,18.77,18.83,18.20,18.30,4257000,18.30
2014-01-31,18.95,19.05,18.78,18.81,2501200,18.81
2014-01-30,19.02,19.14,18.81,19.09,2839800,19.09
2014-01-29,18.89,19.24,18.78,18.84,4115300,18.84
2014-01-28,19.00,19.36,18.90,19.19,3909000,19.19
2014-01-27,19.20,19.20,18.79,18.92,3793800,18.92
2014-01-24,19.64,19.64,19.11,19.16,4651600,19.16
2014-01-23,19.53,20.17,19.49,19.68,8111800,19.68
2014-01-22,19.14,19.73,19.13,19.58,6336600,19.58
2014-01-21,19.55,19.66,19.13,19.19,5233400,19.19
2014-01-17,19.36,19.69,19.34,19.49,3268900,19.49
