Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,41.90,43.42,41.90,43.28,2007900,43.28
2014-03-27,42.12,42.39,41.55,41.72,1863700,41.72
2014-03-26,44.06,44.62,42.23,42.23,2574100,42.23
2014-03-25,43.42,44.39,43.37,43.74,2149100,43.74
2014-03-24,43.69,43.89,42.50,42.97,3142700,42.97
2014-03-21,42.20,43.94,42.20,43.71,3030300,43.71
2014-03-20,41.68,42.27,41.39,41.85,976700,41.85
2014-03-19,42.37,42.44,41.51,41.82,1767900,41.82
2014-03-18,41.80,42.47,41.62,42.44,1749600,42.44
2014-03-17,41.46,42.27,41.46,41.72,1884900,41.72
2014-03-14,41.23,41.94,40.91,41.00,1867200,41.00
2014-03-13,42.91,43.12,40.88,41.38,2360700,41.38
2014-03-12,42.86,43.10,42.01,42.62,3223000,42.62
2014-03-11,44.12,44.89,43.24,43.38,2220300,43.38
2014-03-10,43.99,44.19,42.77,43.79,1293800,43.79
2014-03-07,44.95,45.22,44.03,44.25,1480600,44.25
2014-03-06,44.23,44.89,44.07,44.63,1535400,44.63
2014-03-05,44.76,45.46,43.71,43.87,2375700,43.82
2014-03-04,44.60,45.10,44.35,44.74,2020300,44.69
2014-03-03,43.67,44.40,43.25,44.05,1770700,44.00
2014-02-28,44.12,44.64,43.81,44.53,1672300,44.48
2014-02-27,43.44,44.36,43.23,44.14,1422000,44.09
2014-02-26,43.21,44.09,43.01,43.60,1565800,43.55
2014-02-25,42.90,43.25,42.32,43.04,1730500,42.99
2014-02-24,42.33,43.60,42.33,43.04,2414300,42.99
2014-02-21,43.17,43.28,42.06,42.12,2139800,42.07
2014-02-20,41.81,43.61,41.67,43.25,2346300,43.20
2014-02-19,41.37,42.99,40.77,42.15,6569000,42.10
2014-02-18,44.14,44.32,43.41,43.94,3307200,43.89
2014-02-14,43.64,44.36,43.53,43.86,1788500,43.81
2014-02-13,43.50,43.99,43.02,43.80,1578700,43.75
2014-02-12,42.60,44.25,42.52,43.88,2641500,43.83
2014-02-11,41.26,42.68,40.85,42.42,2383900,42.37
2014-02-10,40.80,41.46,40.36,41.29,1941300,41.24
2014-02-07,40.82,41.22,40.41,40.96,1401700,40.91
2014-02-06,39.64,40.91,39.50,40.41,1506900,40.36
2014-02-05,41.15,41.17,38.97,39.57,2993200,39.52
2014-02-04,39.60,41.73,39.32,41.49,3337600,41.44
2014-02-03,41.11,41.68,39.27,39.53,3368600,39.48
2014-01-31,41.00,41.26,40.14,41.00,3500800,40.95
2014-01-30,39.11,39.94,38.75,39.81,1404900,39.76
2014-01-29,38.56,39.55,38.22,38.73,1762900,38.69
2014-01-28,39.82,40.39,38.90,39.21,2538500,39.17
2014-01-27,38.96,39.42,37.02,37.98,2383600,37.94
2014-01-24,40.10,40.10,37.83,37.92,2617300,37.88
2014-01-23,41.31,41.52,40.10,40.34,2536500,40.29
2014-01-22,42.22,42.31,41.24,41.42,1813600,41.37
2014-01-21,42.54,42.66,41.78,42.36,1252600,42.31
2014-01-17,42.19,42.34,41.76,42.14,1377700,42.09
2014-01-09,41.20,41.59,40.71,41.15,1243100,41.10
2014-01-08,40.19,41.14,40.19,40.94,1476700,40.89
2014-01-07,39.82,40.32,39.73,39.91,1198900,39.86
2014-01-06,41.39,41.39,39.67,39.77,2088700,39.72
2014-01-03,41.31,41.69,40.99,41.28,847700,41.23
2014-01-02,41.79,42.05,40.96,41.11,1147900,41.06
2013-12-31,41.66,42.36,41.62,41.99,826200,41.94
2013-12-30,41.77,41.88,41.22,41.60,954100,41.55
2013-12-27,41.50,41.99,41.50,41.63,629500,41.58
2013-12-26,41.33,41.82,41.21,41.28,874200,41.23
2013-12-24,41.00,41.31,40.92,41.09,498800,41.04
2013-12-23,40.00,41.17,39.83,41.06,1193000,41.01
2013-12-20,40.07,40.26,39.66,39.70,2055500,39.65
2013-12-19,40.00,40.24,39.63,39.96,1310100,39.91
2013-12-18,39.49,40.14,38.95,40.14,2139100,40.09
2013-12-17,39.00,39.55,38.79,39.52,1470600,39.47
2013-12-16,39.04,39.23,38.56,39.06,1916800,39.02
2013-12-13,37.95,38.49,37.78,38.42,1514500,38.38
2013-12-12,37.50,37.99,37.34,37.87,1626600,37.83
2013-12-11,38.26,38.40,37.30,37.55,1204700,37.46
2013-12-10,38.67,39.37,38.43,38.44,1701000,38.35
2013-12-09,38.07,38.96,38.06,38.72,1917500,38.62
2013-12-06,37.97,38.37,37.47,37.79,2322300,37.70
2013-12-05,36.30,36.63,36.11,36.47,1079800,36.38
2013-12-04,36.07,36.96,35.94,36.38,1203800,36.29
2013-12-03,36.60,36.79,35.89,36.24,1499100,36.15
2013-12-02,36.22,37.26,35.89,36.83,2333200,36.74
2013-11-29,36.10,36.91,36.04,36.32,721400,36.23
2013-11-27,35.84,36.28,35.67,36.20,936500,36.11
