Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,59.74,60.12,59.70,59.98,2934300,59.98
2014-03-27,59.57,60.14,59.02,59.74,4416400,59.74
2014-03-26,59.22,59.99,59.06,59.20,4438900,59.20
2014-03-25,59.59,59.60,58.60,59.06,5216800,59.06
2014-03-24,59.88,60.04,59.16,59.46,4543700,59.46
2014-03-21,60.12,60.18,59.36,59.45,6006100,59.45
2014-03-20,59.53,59.90,59.26,59.70,3332100,59.70
2014-03-19,59.76,60.21,59.06,59.48,4280700,59.48
2014-03-18,59.80,59.94,59.56,59.72,3129000,59.72
2014-03-17,59.59,59.96,59.30,59.67,3424500,59.67
2014-03-14,59.60,59.99,59.27,59.36,5631200,59.36
2014-03-13,61.08,61.62,59.71,59.73,6142600,59.73
2014-03-12,60.54,61.22,60.52,61.10,3858200,61.10
2014-03-11,61.25,61.52,60.87,60.94,4496200,60.94
2014-03-10,60.82,61.24,60.70,61.16,3663700,61.16
2014-03-07,60.84,60.98,60.57,60.75,3817500,60.75
2014-03-06,60.61,61.09,60.52,60.74,4835100,60.74
2014-03-05,61.65,61.66,60.36,60.60,7421100,60.60
2014-03-04,62.51,62.55,61.25,61.33,6400100,61.33
2014-03-03,61.94,62.41,61.70,61.96,6813300,61.96
2014-02-28,60.61,62.88,60.40,62.54,14246300,62.54
2014-02-27,60.42,60.78,59.75,60.66,9453700,60.66
2014-02-26,58.58,61.18,58.10,60.49,24180800,60.49
2014-02-25,55.96,56.61,55.81,56.51,8030600,56.51
2014-02-24,56.19,56.64,55.44,56.14,9151600,56.14
2014-02-21,56.72,56.80,56.15,56.24,6596600,56.24
2014-02-20,57.40,57.40,56.41,56.62,8790200,56.62
2014-02-19,56.36,57.82,56.32,57.31,8838300,57.31
2014-02-18,56.42,56.64,56.17,56.39,6094900,56.39
2014-02-14,56.66,56.69,55.76,56.06,8586200,56.06
2014-02-13,56.97,57.36,56.45,56.86,7564500,56.43
2014-02-12,57.17,57.17,56.62,56.95,7010800,56.52
