Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,21500.00,22500.00,21500.00,22300.00,24100,22300.00
2014-03-27,21000.00,22600.00,21000.00,22300.00,75500,22300.00
2014-03-26,22100.00,22300.00,21500.00,21900.00,35200,21900.00
2014-03-25,22300.00,22500.00,22000.00,22300.00,51700,22300.00
2014-03-24,22300.00,22600.00,22000.00,22600.00,95800,22600.00
2014-03-21,22000.00,22300.00,22000.00,22300.00,44900,22300.00
2014-03-20,22900.00,22900.00,22000.00,22300.00,72500,22300.00
2014-03-19,22000.00,22600.00,21900.00,22600.00,82900,22600.00
2014-03-18,21300.00,22500.00,21200.00,22000.00,112500,22000.00
2014-03-17,21300.00,21700.00,21200.00,21400.00,90800,21400.00
2014-03-14,21500.00,21600.00,21300.00,21300.00,100000,21300.00
2014-03-13,21600.00,21700.00,21500.00,21500.00,39400,21500.00
2014-03-12,21300.00,21700.00,21300.00,21600.00,37100,21600.00
2014-03-11,21500.00,21600.00,21000.00,21500.00,62900,21500.00
2014-03-10,21000.00,21500.00,21000.00,21300.00,73400,21300.00
2014-03-07,21000.00,21300.00,20900.00,21200.00,66900,21200.00
2014-03-06,21100.00,21200.00,21000.00,21000.00,46100,21000.00
2014-03-05,21000.00,21400.00,20700.00,21100.00,20600,21100.00
2014-03-04,20600.00,21000.00,20300.00,21000.00,48800,21000.00
2014-03-03,21600.00,21600.00,20700.00,20800.00,115600,20800.00
2014-02-28,21900.00,22000.00,21200.00,21600.00,90300,21600.00
2014-02-27,23500.00,23500.00,21800.00,21900.00,106300,21900.00
2014-02-26,22700.00,22800.00,22400.00,22800.00,62700,22800.00
2014-02-25,22400.00,23300.00,22000.00,22800.00,96900,22800.00
2014-02-24,20700.00,21900.00,20700.00,21900.00,191000,21900.00
2014-02-21,20400.00,20700.00,20400.00,20500.00,52200,20500.00
2014-02-20,21300.00,21500.00,20200.00,21000.00,175400,21000.00
2014-02-19,20800.00,20800.00,20800.00,20800.00,000,20800.00
2014-02-18,20800.00,21300.00,20700.00,20800.00,121200,20800.00
2014-02-17,20300.00,21600.00,20000.00,20800.00,244800,20800.00
2014-02-14,21000.00,21000.00,20300.00,20600.00,121200,20600.00
2014-02-13,21100.00,21200.00,20200.00,21000.00,353700,21000.00
2014-02-12,20500.00,20900.00,20000.00,20900.00,304100,19900.00
2014-02-11,21400.00,21500.00,19600.00,19600.00,273300,18662.20
2014-02-10,19400.00,20600.00,19400.00,20600.00,213800,19614.35
2014-02-07,19300.00,19300.00,19100.00,19300.00,95700,18376.55
2014-02-06,19200.00,19400.00,19100.00,19200.00,136700,18281.34
2014-02-05,19500.00,19500.00,19500.00,19500.00,000,18566.99
2014-02-04,19500.00,19500.00,19500.00,19500.00,000,18566.99
2014-02-03,19500.00,19500.00,19500.00,19500.00,000,18566.99
2014-01-31,19500.00,19500.00,19500.00,19500.00,000,18566.99
2014-01-30,19500.00,19500.00,19500.00,19500.00,000,18566.99
2014-01-29,19500.00,19500.00,19500.00,19500.00,000,18566.99
2014-01-28,19500.00,19500.00,19500.00,19500.00,000,18566.99
2014-01-27,19200.00,19600.00,19200.00,19500.00,64300,18566.99
2014-01-24,19300.00,19300.00,18700.00,19200.00,85000,18281.34
2014-01-23,18500.00,19500.00,18400.00,19100.00,249400,18186.12
2014-01-22,18100.00,18400.00,18000.00,18400.00,141500,17519.62
2014-01-21,17900.00,18100.00,17400.00,18000.00,152200,17138.76
2014-01-20,17700.00,18500.00,17500.00,17900.00,109300,17043.54
2014-01-17,17900.00,17900.00,17700.00,17700.00,56100,16853.11
2014-01-16,17600.00,17800.00,17600.00,17800.00,64100,16948.32
2014-01-15,17500.00,18000.00,17500.00,18000.00,93000,17138.76
2014-01-14,17500.00,17600.00,17400.00,17600.00,63000,16757.89
2014-01-13,17800.00,17800.00,17400.00,17600.00,42800,16757.89
2014-01-10,17700.00,17800.00,17500.00,17600.00,78800,16757.89
2014-01-09,17900.00,18100.00,17600.00,17800.00,92700,16948.32
2014-01-08,17300.00,17800.00,17100.00,17600.00,70000,16757.89
2014-01-07,17200.00,17500.00,17000.00,17300.00,63500,16472.25
2014-01-06,17500.00,17500.00,17100.00,17300.00,42500,16472.25
2014-01-03,16500.00,17400.00,16500.00,17200.00,60100,16377.03
2014-01-02,16800.00,16800.00,16400.00,16700.00,47300,15900.96
2014-01-01,16800.00,16800.00,16800.00,16800.00,000,15996.17
2013-12-31,17000.00,17100.00,16400.00,16800.00,56200,15996.17
2013-12-30,16800.00,17000.00,16200.00,16300.00,100600,15520.10
2013-12-27,17500.00,17700.00,16800.00,16800.00,165500,15996.17
2013-12-26,18300.00,18300.00,17500.00,17700.00,52500,16853.11
2013-12-25,17900.00,18300.00,17800.00,18100.00,34800,17233.97
2013-12-24,17700.00,18100.00,17600.00,17900.00,50600,17043.54
2013-12-23,17900.00,17900.00,17600.00,17600.00,145100,16757.89
2013-12-20,18300.00,18300.00,17900.00,17900.00,149800,17043.54
2013-12-19,18100.00,18500.00,18000.00,18300.00,97900,17424.40
2013-12-18,18300.00,18900.00,17800.00,18400.00,142000,17519.62
2013-12-17,18400.00,18800.00,17900.00,18500.00,224500,17614.83
2013-12-16,17900.00,18900.00,17900.00,18400.00,211600,17519.62
2013-12-13,16600.00,17700.00,16600.00,17700.00,297800,16853.11
2013-12-12,16000.00,16600.00,16000.00,16600.00,178000,15805.74
2013-12-11,16500.00,16500.00,15800.00,16000.00,126900,15234.45
2013-12-10,15800.00,16700.00,15700.00,16400.00,340500,15615.31
2013-12-09,15600.00,15700.00,15500.00,15700.00,61200,14948.80
2013-12-06,15400.00,15600.00,15300.00,15600.00,66100,14853.59
2013-12-05,15500.00,15500.00,15400.00,15400.00,54900,14663.16
2013-12-04,15500.00,15600.00,15400.00,15600.00,39100,14853.59
2013-12-03,15500.00,15700.00,15500.00,15500.00,112900,14758.37
2013-12-02,15500.00,15500.00,15200.00,15400.00,28000,14663.16
2013-11-29,15300.00,15600.00,15200.00,15400.00,48900,14663.16
2013-11-28,15300.00,15600.00,15300.00,15400.00,26300,14663.16
2013-11-27,15600.00,15800.00,15400.00,15400.00,68800,14663.16
2013-11-26,15300.00,15600.00,15300.00,15600.00,36700,14853.59
2013-11-25,15300.00,15700.00,15300.00,15400.00,73100,14663.16
2013-11-22,15000.00,15400.00,15000.00,15300.00,24800,14567.94
2013-11-21,15100.00,15600.00,15100.00,15300.00,101500,14567.94
2013-11-20,14900.00,15200.00,14900.00,15000.00,45900,14282.30
2013-11-19,14900.00,14900.00,14600.00,14900.00,72000,14187.08
2013-11-18,14900.00,15000.00,14700.00,14900.00,33800,14187.08
2013-11-15,14800.00,15000.00,14800.00,14900.00,50000,14187.08
2013-11-14,15100.00,15100.00,14600.00,15000.00,45100,14282.30
2013-11-13,15000.00,15200.00,14800.00,15100.00,63300,14377.51
2013-11-12,15200.00,15600.00,14900.00,15000.00,166200,14282.30
2013-11-11,14900.00,15500.00,14800.00,15400.00,48300,14663.16
2013-11-08,14600.00,15300.00,14600.00,15000.00,104600,14282.30
2013-11-07,14200.00,14900.00,14200.00,14800.00,218500,14091.87
2013-11-06,13800.00,14100.00,13800.00,14000.00,128800,13330.14
2013-11-05,13700.00,13900.00,13500.00,13900.00,72900,13234.93
2013-11-04,13600.00,13800.00,13500.00,13600.00,79600,12949.28
2013-11-01,13600.00,13800.00,13500.00,13700.00,34400,13044.50
2013-10-31,13800.00,13900.00,13500.00,13600.00,101500,12949.28
2013-10-30,13800.00,13800.00,13700.00,13700.00,47300,13044.50
2013-10-29,14000.00,14000.00,13700.00,14000.00,27600,13330.14
2013-10-28,13600.00,14400.00,13500.00,13800.00,149900,13139.71
2013-10-25,13500.00,13600.00,13300.00,13500.00,33100,12854.07
2013-10-24,13600.00,13900.00,13500.00,13500.00,60100,12854.07
2013-10-23,13800.00,14000.00,13300.00,13500.00,137800,12854.07
2013-10-22,13600.00,14000.00,13500.00,13800.00,296100,13139.71
2013-10-21,13500.00,13500.00,13500.00,13500.00,79300,12854.07
2013-10-18,12700.00,12700.00,12700.00,12700.00,76200,12092.34
2013-10-17,11700.00,12000.00,11600.00,11900.00,24100,11330.62
2013-10-16,11600.00,11600.00,11400.00,11600.00,4100,11044.98
2013-10-15,11300.00,11600.00,11200.00,11600.00,9500,11044.98
2013-10-14,11200.00,11600.00,11200.00,11600.00,17900,11044.98
2013-10-11,11200.00,11400.00,11000.00,11200.00,6200,10664.11
2013-10-10,11300.00,11300.00,11300.00,11300.00,4100,10759.33
2013-10-09,11500.00,11700.00,11300.00,11400.00,15000,10854.55
2013-10-08,11900.00,11900.00,11900.00,11900.00,2000,11330.62
2013-10-07,11800.00,11800.00,11800.00,11800.00,000,11235.41
2013-10-04,11800.00,11800.00,11800.00,11800.00,000,11235.41
2013-10-03,11500.00,11800.00,11400.00,11500.00,6800,10949.76
2013-10-02,11500.00,12000.00,11500.00,12000.00,1900,11425.84
2013-10-01,11200.00,11600.00,11200.00,11500.00,2300,10949.76
2013-09-30,11300.00,11400.00,11100.00,11400.00,900,10854.55
2013-09-27,11300.00,11300.00,11200.00,11200.00,200,10664.11
2013-09-26,10900.00,11300.00,10900.00,11300.00,1000,10759.33
2013-09-25,10900.00,11300.00,10800.00,11300.00,6900,10759.33
2013-09-24,11200.00,11400.00,11200.00,11400.00,1800,10854.55
2013-09-23,10900.00,11000.00,10900.00,11000.00,3000,10473.68
2013-09-20,10900.00,10900.00,10800.00,10900.00,11100,10378.47
2013-09-19,11000.00,11200.00,10900.00,10900.00,23500,10378.47
