Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,84.99,85.74,84.76,85.05,883700,85.05
2014-03-27,85.42,85.66,84.47,84.98,1067900,84.98
2014-03-26,86.50,86.96,85.37,85.37,1502100,85.37
2014-03-25,87.36,87.66,85.61,86.49,1594600,86.49
2014-03-24,89.32,90.07,86.70,87.23,2878200,87.23
2014-03-21,90.20,93.85,89.34,90.73,4537300,90.73
2014-03-20,92.53,92.84,90.83,91.17,2342000,91.17
2014-03-19,92.67,93.28,91.92,92.79,1039100,92.79
2014-03-18,92.34,93.20,91.95,92.67,759600,92.67
2014-03-17,92.31,92.67,91.40,92.31,1047200,91.97
2014-03-14,91.67,92.37,91.62,91.90,2774800,91.56
2014-03-13,92.85,93.14,91.88,92.24,1963900,91.90
2014-03-12,92.08,92.69,91.63,92.49,914400,92.15
2014-03-11,93.39,93.91,92.09,92.46,842600,92.12
2014-03-10,93.77,93.80,92.35,93.47,1051100,93.13
2014-03-07,93.69,94.74,93.50,93.81,655000,93.46
2014-03-06,94.88,94.88,92.60,93.28,1909600,92.94
2014-03-05,93.31,93.51,92.80,93.06,687600,92.72
2014-03-04,92.96,93.95,92.95,93.34,777000,93.00
2014-03-03,92.16,92.38,91.09,92.14,1692400,91.80
2014-02-28,93.05,93.97,92.53,93.25,1061500,92.91
2014-02-27,91.95,93.28,91.65,93.10,1207700,92.76
2014-02-26,91.10,92.49,90.83,91.87,1263300,91.53
2014-02-25,90.46,90.95,90.12,90.77,1016800,90.44
2014-02-24,89.60,91.00,89.34,90.50,1086900,90.17
2014-02-21,89.43,89.65,89.00,89.28,552300,88.95
2014-02-20,88.40,89.50,88.09,89.44,676000,89.11
2014-02-19,88.81,89.48,88.28,88.39,806000,88.06
2014-02-18,88.16,88.87,87.90,88.60,520700,88.27
2014-02-14,88.24,88.59,87.65,88.16,642600,87.84
2014-02-13,86.99,89.31,86.99,88.53,1015900,88.20
2014-02-12,87.60,87.78,86.99,87.11,914700,86.79
2014-02-11,87.12,87.55,86.93,87.21,733300,86.89
2014-02-10,87.23,87.25,86.41,87.03,678100,86.71
2014-02-07,86.50,87.50,86.06,87.15,1268800,86.83
2014-02-06,85.00,86.33,85.00,86.26,1482700,85.94
2014-02-05,82.51,85.43,82.29,84.97,2281700,84.66
2014-02-04,81.53,83.43,81.53,82.40,1347300,82.10
2014-02-03,82.98,83.21,80.38,80.88,1635600,80.58
2014-01-31,82.42,83.71,82.24,83.19,823600,82.88
2014-01-30,83.33,84.08,83.01,83.68,783700,83.37
2014-01-29,83.62,84.61,82.58,82.64,1482400,82.34
2014-01-28,82.64,84.59,82.64,84.06,1207300,83.75
2014-01-27,83.63,83.99,81.64,82.49,1665700,82.19
2014-01-24,85.21,85.33,83.09,83.13,1707000,82.82
2014-01-23,86.59,87.01,85.52,85.83,1228000,85.51
2014-01-22,86.08,87.24,85.81,87.19,996800,86.87
2014-01-21,87.20,87.58,86.14,86.36,1230800,86.04
2014-01-17,87.69,88.39,86.58,86.71,1556400,86.39
2014-01-16,88.28,88.29,87.11,87.76,1113700,87.44
2014-01-15,88.57,89.40,88.14,88.44,1058700,88.11
2014-01-14,88.02,88.97,87.80,88.25,1469300,87.92
2014-01-09,91.20,92.77,90.92,92.01,1233700,91.67
2014-01-08,92.10,92.11,91.25,91.70,694800,91.36
2014-01-07,92.20,92.42,91.17,92.15,680100,91.81
2014-01-06,92.47,92.89,91.51,91.64,801000,91.30
2014-01-03,92.42,92.61,92.00,92.28,599600,91.94
2014-01-02,92.20,93.64,92.04,92.55,862000,92.21
2013-12-31,92.26,93.02,91.87,92.78,635300,92.44
2013-12-30,91.43,92.18,90.91,92.09,689000,91.75
2013-12-27,91.40,92.00,90.61,90.87,560300,90.54
2013-12-26,91.08,91.18,90.59,90.97,497500,90.63
2013-12-24,90.50,91.41,90.39,91.03,288100,90.69
2013-12-23,89.50,91.37,89.49,90.50,1267200,90.17
2013-12-20,90.83,91.38,90.47,90.62,1081200,90.29
2013-12-19,90.85,91.20,90.29,90.43,806200,90.10
2013-12-18,90.24,91.51,88.97,91.47,1166200,91.13
2013-12-17,90.86,90.97,89.93,90.32,891200,89.65
2013-12-16,89.16,91.10,89.16,90.85,962500,90.17
2013-12-13,89.30,89.78,88.84,89.31,611400,88.65
2013-12-12,89.21,89.50,88.63,89.20,678900,88.54
2013-12-11,90.04,90.30,88.87,89.10,885500,88.44
2013-12-10,90.00,90.52,89.49,90.09,692300,89.42
2013-12-09,89.86,90.93,89.86,90.33,868000,89.66
2013-12-06,90.46,90.55,88.86,89.70,1087500,89.03
2013-12-05,89.92,90.74,88.97,89.70,1500600,89.03
2013-12-04,88.12,89.47,88.00,88.58,871000,87.92
2013-12-03,87.90,89.09,87.63,88.42,1087000,87.76
2013-12-02,89.14,89.42,87.83,88.04,1152600,87.39
2013-11-29,88.63,89.72,87.92,89.14,1009300,88.48
2013-11-27,88.15,88.83,87.42,88.16,1913200,87.50
2013-11-26,86.09,88.88,86.00,88.02,5554200,87.37
2013-11-25,81.31,81.55,80.29,80.99,1637400,80.39
2013-11-22,81.65,81.71,80.76,81.08,734100,80.48
2013-11-21,80.38,81.64,80.38,81.50,710900,80.89
2013-11-20,82.29,82.46,79.81,80.59,1170600,79.99
2013-11-19,82.40,83.00,82.03,82.26,617900,81.65
2013-11-18,83.00,83.48,82.18,82.49,891400,81.88
2013-11-15,81.28,82.86,80.78,82.74,1007000,82.12
2013-11-14,82.43,82.53,81.37,82.24,798400,81.63
2013-11-13,81.48,82.72,81.31,82.64,637500,82.03
2013-11-12,81.26,82.05,81.18,81.73,947500,81.12
2013-11-11,79.53,81.78,79.53,81.40,1146500,80.79
2013-11-08,78.37,79.69,78.37,79.65,576300,79.06
2013-11-07,79.85,80.29,78.15,78.24,695900,77.66
2013-11-06,80.42,80.59,79.33,79.56,515000,78.97
2013-11-05,79.02,80.45,78.53,80.19,723200,79.59
2013-11-04,79.14,79.69,78.93,79.38,443500,78.79
2013-11-01,79.23,79.56,78.50,79.01,331400,78.42
2013-10-31,79.45,79.81,78.84,79.17,670800,78.58
2013-10-30,79.72,80.46,79.48,79.70,709400,79.11
2013-10-29,79.51,79.95,79.29,79.79,411100,79.20
2013-10-28,79.36,79.66,78.84,79.50,537500,78.91
2013-10-25,79.00,79.37,78.50,79.32,787500,78.73
2013-10-24,78.60,79.32,78.46,78.87,1216100,78.28
2013-10-23,78.61,78.96,77.75,78.42,735200,77.84
2013-10-22,78.59,79.33,78.20,79.05,736600,78.46
2013-10-21,78.39,78.87,77.72,78.79,834000,78.20
2013-10-18,77.97,78.46,77.65,78.14,941100,77.56
2013-10-17,76.80,77.64,76.30,77.53,620500,76.95
2013-10-16,76.32,77.34,75.98,76.98,957800,76.41
2013-10-15,76.27,76.88,75.22,75.44,1102400,74.88
2013-10-14,75.92,76.70,75.69,76.46,489200,75.89
2013-10-11,75.46,76.59,74.94,76.57,887700,76.00
2013-10-10,76.23,76.73,75.07,75.38,1670100,74.82
2013-10-09,74.83,75.10,73.63,73.91,1505100,73.36
2013-10-08,75.92,76.09,74.56,74.76,626100,74.20
2013-10-07,76.63,76.99,75.90,75.91,829400,75.35
2013-10-04,76.56,77.72,76.56,77.61,830600,77.03
2013-10-03,76.41,77.35,75.97,76.56,1229700,75.99
2013-10-02,76.47,76.64,75.71,76.34,1037600,75.77
2013-10-01,76.69,77.60,76.41,76.86,942700,76.29
2013-09-30,76.43,76.90,76.15,76.62,895600,76.05
2013-09-27,76.69,77.17,76.49,76.89,846700,76.32
2013-09-26,77.48,77.82,76.81,77.21,919000,76.64
