Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,59.50,60.16,59.43,60.10,2584800,60.10
2014-03-27,59.64,60.00,59.29,59.40,2932700,59.40
2014-03-26,60.20,60.26,59.51,59.66,4070800,59.66
2014-03-25,60.93,61.00,59.95,60.06,3632300,60.06
2014-03-24,61.80,62.02,60.57,60.57,3108700,60.57
2014-03-21,61.13,61.92,60.94,61.75,7440900,61.75
2014-03-20,60.35,60.92,60.34,60.69,2834000,60.69
2014-03-19,60.78,61.11,60.21,60.51,3438300,60.51
2014-03-18,61.99,61.99,60.77,60.80,3796500,60.80
2014-03-17,61.55,62.15,61.26,62.05,3041700,62.05
2014-03-14,60.99,61.75,60.94,61.35,2393400,61.35
2014-03-13,61.73,61.82,60.91,61.06,2214600,61.06
2014-03-12,61.49,61.67,61.06,61.51,3128200,61.51
2014-03-11,62.28,62.37,61.68,61.84,2499500,61.84
2014-03-10,61.53,62.29,61.46,62.23,3040600,62.23
2014-03-07,61.32,61.81,61.15,61.71,2658600,61.71
2014-03-06,61.76,61.76,60.68,61.13,3845700,61.13
2014-03-05,61.63,62.00,61.52,61.73,3141800,61.73
2014-03-04,61.31,61.73,61.31,61.54,2443300,61.54
2014-03-03,60.83,61.23,60.45,60.89,3690200,60.89
2014-02-28,60.80,61.55,60.40,61.46,5205800,61.46
2014-02-27,60.26,61.00,60.01,60.73,6197000,60.73
2014-02-26,61.54,62.22,60.17,60.29,8054700,60.29
2014-02-25,60.36,61.26,59.91,60.99,5866100,60.99
2014-02-24,60.11,61.00,59.98,60.39,3940100,60.39
2014-02-21,60.14,60.48,59.75,60.08,4094000,60.08
2014-02-20,60.03,60.33,59.32,60.02,3429700,60.02
2014-02-19,60.19,60.66,59.79,59.85,3118900,59.85
2014-02-18,60.00,60.39,59.77,60.23,3811300,60.23
2014-02-14,59.91,60.17,59.48,59.79,3403500,59.79
2014-02-13,59.89,60.52,59.72,60.17,3260700,60.17
2014-02-12,60.09,60.63,59.91,60.13,2637500,60.13
2014-02-11,59.28,60.15,59.08,59.96,3397100,59.96
2014-02-10,59.54,59.55,58.70,59.26,3035300,59.11
2014-02-07,59.61,60.03,59.06,59.43,3841800,59.28
