Date,Open,High,Low,Close,Volume,Adj Close
2013-12-03,2.44,2.45,2.44,2.44,3510800,2.44
2013-12-02,2.44,2.45,2.44,2.44,2745300,2.44
2013-11-29,2.45,2.45,2.44,2.45,1300900,2.45
2013-11-28,2.44,2.44,2.44,2.44,000,2.44
2013-11-27,2.44,2.45,2.44,2.44,1801400,2.44
2013-11-26,2.44,2.45,2.44,2.44,2018500,2.44
2013-11-25,2.44,2.45,2.44,2.44,4489500,2.44
2013-11-22,2.45,2.45,2.44,2.44,3068600,2.44
2013-11-21,2.45,2.45,2.44,2.45,4222100,2.45
2013-11-20,2.44,2.45,2.44,2.44,4442400,2.44
2013-11-19,2.44,2.45,2.44,2.44,1958700,2.44
2013-11-18,2.44,2.45,2.44,2.45,4230900,2.45
2013-11-15,2.44,2.45,2.44,2.44,4664000,2.44
2013-11-14,2.44,2.45,2.43,2.44,7360000,2.44
2013-11-13,2.43,2.44,2.43,2.43,8593600,2.43
2013-11-12,2.44,2.45,2.43,2.43,9992700,2.43
2013-11-11,2.44,2.44,2.43,2.44,10561200,2.44
2013-11-08,2.44,2.45,2.44,2.44,2746100,2.44
2013-11-07,2.44,2.45,2.44,2.45,3272100,2.45
2013-11-06,2.44,2.45,2.44,2.44,9338400,2.44
2013-11-05,2.44,2.45,2.44,2.44,2983000,2.44
2013-11-04,2.44,2.45,2.44,2.44,4297100,2.44
2013-11-01,2.44,2.45,2.44,2.45,3574300,2.45
2013-10-31,2.44,2.46,2.43,2.44,18490200,2.44
2013-10-30,2.45,2.45,2.43,2.43,4780500,2.43
2013-10-29,2.45,2.47,2.43,2.45,13335600,2.45
2013-10-28,2.43,2.47,2.43,2.46,13396100,2.46
2013-10-25,2.45,2.45,2.43,2.43,6149600,2.43
2013-10-24,2.44,2.46,2.43,2.44,13058300,2.44
2013-10-23,2.44,2.45,2.43,2.43,23142700,2.43
2013-10-22,2.45,2.46,2.44,2.44,27823200,2.44
2013-10-21,2.47,2.48,2.43,2.46,62815600,2.46
2013-10-18,2.38,2.39,2.33,2.35,2429700,2.35
2013-10-17,2.27,2.37,2.27,2.36,2748400,2.36
2013-10-16,2.27,2.29,2.24,2.29,2145500,2.29
2013-10-15,2.32,2.32,2.25,2.25,1381300,2.25
2013-10-14,2.29,2.32,2.27,2.32,999800,2.32
2013-10-11,2.27,2.30,2.25,2.30,1049500,2.30
2013-10-10,2.25,2.27,2.23,2.26,1584100,2.26
2013-10-09,2.23,2.26,2.17,2.21,4940600,2.21
2013-10-08,2.28,2.30,2.22,2.23,3069000,2.23
2013-10-07,2.30,2.35,2.29,2.29,1372800,2.29
2013-10-04,2.28,2.33,2.28,2.33,1493600,2.33
2013-10-03,2.33,2.37,2.29,2.30,2345600,2.30
2013-10-02,2.32,2.35,2.30,2.35,2486100,2.35
2013-10-01,2.29,2.35,2.28,2.35,2230300,2.35
2013-09-30,2.25,2.31,2.22,2.27,3493000,2.27
2013-09-27,2.31,2.35,2.27,2.28,2029200,2.28
2013-09-26,2.36,2.39,2.32,2.34,1840700,2.34
2013-09-25,2.35,2.38,2.35,2.35,1217200,2.35
2013-09-24,2.38,2.38,2.35,2.36,1536000,2.36
2013-09-23,2.38,2.40,2.35,2.38,1530300,2.38
2013-09-20,2.43,2.44,2.37,2.38,3875600,2.38
2013-09-19,2.39,2.44,2.38,2.44,2955300,2.44
