Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,77.47,77.82,77.00,77.35,333300,77.35
2014-03-27,77.93,78.19,76.74,76.98,399100,76.98
2014-03-26,79.08,79.45,77.84,77.84,247200,77.84
2014-03-25,79.32,79.49,78.34,78.77,348300,78.77
2014-03-24,79.45,79.71,78.57,78.83,431300,78.83
2014-03-21,79.52,79.78,79.02,79.21,817200,79.21
2014-03-20,78.23,79.41,78.23,78.81,373300,78.81
2014-03-19,78.86,79.09,78.07,78.61,339100,78.61
2014-03-18,78.52,79.09,78.23,78.88,276000,78.88
2014-03-17,78.34,78.77,78.12,78.38,397000,78.38
2014-03-14,78.08,78.59,77.58,77.99,424000,77.99
2014-03-13,79.50,79.54,77.98,78.14,496800,78.14
2014-03-12,78.26,78.98,78.06,78.93,424000,78.93
2014-03-11,80.19,80.30,78.81,78.96,383500,78.96
2014-03-10,80.11,80.43,79.60,79.83,411100,79.83
2014-03-07,79.85,80.37,79.64,80.27,475700,80.27
2014-03-06,78.83,79.57,78.67,79.40,422600,79.40
2014-03-05,78.45,78.82,78.18,78.68,251300,78.68
2014-03-04,77.89,78.64,77.89,78.60,470100,78.60
2014-03-03,76.63,77.31,76.45,77.02,317800,77.02
2014-02-28,76.58,78.09,76.27,77.51,589900,77.51
2014-02-27,75.97,76.83,75.60,76.60,315800,76.60
2014-02-26,76.39,76.42,75.75,76.08,317000,76.08
2014-02-25,76.12,76.46,75.84,76.03,404700,76.03
2014-02-24,76.05,76.52,75.73,76.04,586000,76.04
2014-02-21,76.23,76.50,75.93,76.08,539500,76.08
2014-02-20,75.80,76.24,75.16,76.09,291400,76.09
2014-02-19,76.49,77.36,75.66,75.72,349400,75.72
2014-02-18,75.85,76.77,75.70,76.70,371900,76.70
2014-02-14,75.77,76.05,75.42,75.86,460100,75.86
2014-02-13,74.83,75.86,74.49,75.85,751400,75.85
2014-02-12,75.75,76.28,75.07,75.28,690500,75.28
2014-02-11,75.05,75.82,74.74,75.52,643000,75.52
2014-02-10,74.72,75.26,74.23,75.21,462700,75.21
2014-02-07,74.33,75.22,74.01,75.08,547200,75.08
2014-02-06,73.15,74.10,72.89,74.00,615000,74.00
2014-02-05,72.74,73.28,71.74,73.11,377800,73.11
2014-02-04,72.80,73.80,72.04,72.96,795200,72.96
2014-02-03,75.10,75.43,72.39,72.55,731600,72.55
2014-01-31,74.75,75.86,74.36,75.15,863900,75.15
2014-01-30,74.49,75.79,74.29,75.70,516100,75.70
2014-01-29,74.02,74.68,73.99,74.07,544600,74.07
2014-01-28,74.21,74.85,74.17,74.64,476300,74.64
2014-01-27,74.57,75.02,73.59,74.17,488500,74.17
2014-01-24,75.94,76.09,74.56,74.56,573300,74.56
2014-01-23,76.88,76.90,76.13,76.46,534300,76.46
2014-01-22,77.44,77.85,77.14,77.45,379800,77.45
