Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,118.03,120.00,117.63,118.50,1668900,118.50
2014-03-27,118.08,118.58,116.62,117.67,2187400,117.67
2014-03-26,119.72,120.58,118.03,118.04,2119100,118.04
2014-03-25,121.22,122.42,117.08,119.35,3971600,119.35
2014-03-24,123.31,123.56,119.35,120.65,2763400,120.65
2014-03-21,124.83,125.87,122.84,122.90,4441500,122.90
2014-03-20,122.60,123.83,122.14,123.58,1352200,123.58
2014-03-19,123.83,124.32,121.80,122.72,1532900,122.72
2014-03-18,123.00,123.98,122.90,123.73,1209200,123.73
2014-03-17,123.08,124.32,122.62,123.02,1254800,123.02
2014-03-14,122.96,123.59,121.82,122.25,2078600,122.25
2014-03-13,126.55,126.84,122.59,123.25,2413600,123.25
2014-03-12,125.65,126.58,125.03,126.49,3107300,126.34
2014-03-11,126.37,127.05,125.75,126.23,1341700,126.08
2014-03-10,126.48,126.70,125.25,126.28,1766700,126.13
2014-03-07,127.03,127.03,125.65,126.67,1690600,126.52
2014-03-06,127.15,127.63,125.85,126.40,1649500,126.25
2014-03-05,124.87,126.24,124.19,125.91,2184000,125.76
2014-03-04,124.59,125.58,124.59,125.35,2354800,125.20
2014-03-03,123.07,123.98,122.14,123.35,2106700,123.20
2014-02-28,125.29,125.82,123.61,124.54,3147600,124.39
2014-02-27,124.23,125.21,123.81,124.91,2213900,124.76
2014-02-26,123.87,125.18,123.43,124.28,2620000,124.13
2014-02-25,123.48,124.30,123.09,123.81,2625900,123.66
2014-02-24,123.05,124.90,123.05,123.37,2878200,123.22
2014-02-21,124.71,124.85,123.08,123.18,2646200,123.03
2014-02-20,124.33,125.01,122.49,124.71,3456900,124.56
2014-02-19,123.55,124.37,121.60,121.81,2884500,121.67
2014-02-18,123.76,124.17,122.67,123.55,2845500,123.40
2014-02-14,122.79,123.99,122.63,123.74,7586200,123.59
2014-02-13,120.87,123.43,120.61,122.90,2540600,122.75
2014-02-12,121.07,121.93,120.74,121.52,3605700,121.38
2014-02-11,119.76,121.21,118.75,121.00,3766800,120.86
