Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,81.17,82.55,80.63,81.67,917300,81.67
2014-03-27,81.35,81.76,80.69,81.00,1493800,81.00
2014-03-26,82.80,83.05,81.48,81.50,1111500,81.50
2014-03-25,83.04,83.77,81.59,82.40,1022700,82.40
2014-03-24,83.15,83.51,81.94,82.31,1165400,82.31
2014-03-21,83.59,84.40,82.50,82.92,3240000,82.92
2014-03-20,80.84,82.66,80.65,82.52,2124200,82.52
2014-03-19,81.71,82.00,80.58,80.93,1506300,80.93
2014-03-18,81.59,82.11,81.21,81.73,959300,81.73
2014-03-17,81.10,81.96,80.89,81.58,996100,81.58
2014-03-14,80.81,81.73,79.95,80.28,1470900,80.28
2014-03-13,82.38,83.08,80.43,80.76,1333900,80.76
2014-03-12,81.94,82.24,81.19,81.83,1488200,81.83
2014-03-11,83.90,83.95,82.44,82.70,1380800,82.26
2014-03-10,83.37,83.73,82.71,83.71,1296400,83.26
2014-03-07,82.93,83.68,82.33,83.00,1181800,82.56
2014-03-06,81.16,82.94,81.16,82.37,1447900,81.93
2014-03-05,81.72,81.86,81.31,81.54,950000,81.11
2014-03-04,80.98,81.85,80.68,81.68,1064200,81.25
2014-03-03,80.10,80.30,79.22,79.83,1226100,79.41
2014-02-28,80.56,81.69,80.12,81.17,1511000,80.74
2014-02-27,79.36,80.60,78.89,80.42,1167400,79.99
2014-02-26,80.10,80.60,79.30,79.52,1313700,79.10
2014-02-25,80.93,81.06,80.02,80.10,931900,79.67
2014-02-24,80.02,81.39,80.02,80.86,1007500,80.43
2014-02-21,80.27,80.66,79.71,80.00,875400,79.57
2014-02-20,80.23,80.46,79.31,80.10,851700,79.67
2014-02-19,80.14,81.51,79.81,79.89,1014500,79.46
2014-02-18,80.69,81.07,80.11,80.66,876500,80.23
2014-02-14,80.58,81.05,80.28,80.83,1099300,80.40
2014-02-13,80.20,80.89,79.60,80.62,1079700,80.19
2014-02-12,80.08,81.07,79.90,80.71,1518400,80.28
2014-02-11,79.32,80.51,79.01,80.18,1242700,79.75
2014-02-10,79.46,79.73,78.83,79.45,1332800,79.03
2014-02-07,78.10,79.54,77.53,79.34,2069100,78.92
2014-02-06,76.99,77.54,76.90,77.42,1019300,77.01
2014-02-05,77.29,77.86,76.29,76.80,1512000,76.39
2014-02-04,76.21,78.54,75.81,77.68,2285400,77.27
2014-02-03,78.48,78.62,75.57,75.67,2122000,75.27
2014-01-31,78.32,79.52,77.68,78.44,1833100,78.02
2014-01-30,79.59,80.03,78.97,79.55,1572100,79.13
2014-01-29,80.66,80.66,78.54,78.96,2611300,78.54
2014-01-28,80.16,81.40,78.61,80.70,3468700,80.27
2014-01-27,77.40,78.15,76.50,76.51,2278700,76.10
2014-01-24,79.23,79.41,77.21,77.38,3163100,76.97
2014-01-23,80.76,81.10,79.59,79.92,2152200,79.49
2014-01-22,82.11,82.38,80.94,81.52,1653200,81.09
2014-01-21,81.43,82.34,81.09,81.78,2032100,81.34
2014-01-17,83.87,83.94,82.03,82.28,3914400,81.84
2014-01-16,84.41,84.41,83.05,83.81,872500,83.36
2014-01-15,83.30,83.99,83.05,83.92,1027300,83.47
2014-01-14,82.76,83.33,82.27,83.19,1094500,82.75
2014-01-09,84.00,84.22,82.86,83.29,1134600,82.85
2014-01-08,84.05,84.15,83.52,83.92,1131900,83.47
2014-01-07,83.81,84.34,83.09,83.87,945900,83.42
2014-01-06,83.67,83.97,82.87,83.17,848400,82.73
2014-01-03,82.66,83.67,82.46,83.30,776900,82.86
2014-01-02,83.58,83.76,82.19,82.56,1113600,82.12
2013-12-31,83.42,83.99,83.41,83.77,930300,83.32
2013-12-30,83.40,83.55,82.91,83.36,518300,82.92
2013-12-27,83.63,83.92,83.15,83.43,878300,82.99
2013-12-26,83.48,83.88,83.32,83.59,816600,83.15
2013-12-24,83.38,83.69,83.06,83.37,314000,82.93
2013-12-23,83.30,83.83,83.23,83.38,872300,82.94
2013-12-20,82.26,83.47,81.90,82.88,1819000,82.44
2013-12-19,82.52,83.21,82.07,82.13,1807800,81.69
2013-12-18,79.99,83.08,79.69,82.86,2583700,82.42
2013-12-17,80.03,80.36,79.46,79.81,1201100,79.39
2013-12-16,79.17,80.45,79.00,80.16,1342300,79.73
2013-12-13,78.37,78.79,77.72,78.37,1255500,77.95
2013-12-12,78.42,78.80,77.94,78.02,1087300,77.60
2013-12-11,79.66,79.96,78.54,78.61,1515500,77.81
2013-12-10,79.97,80.12,79.19,79.52,943900,78.71
2013-12-09,80.13,80.57,79.87,80.06,847600,79.25
2013-12-06,80.00,80.13,79.52,79.82,1582900,79.01
2013-12-05,79.58,79.73,78.48,78.54,1044700,77.74
2013-12-04,79.52,80.32,78.78,79.55,753800,78.74
2013-12-03,80.35,80.51,79.41,79.67,1062500,78.86
2013-12-02,80.65,81.46,80.47,80.69,1154400,79.87
2013-11-29,80.90,81.30,80.44,80.46,549600,79.65
2013-11-27,80.69,81.18,80.25,80.81,926400,79.99
2013-11-26,80.60,81.21,80.42,80.42,970700,79.61
2013-11-25,81.42,81.62,80.57,80.75,783500,79.93
2013-11-22,80.80,81.18,80.40,81.13,916800,80.31
2013-11-21,80.17,80.80,80.00,80.45,956800,79.64
2013-11-20,80.37,80.54,79.60,79.99,1779300,79.18
2013-11-19,80.34,80.44,79.68,80.00,922400,79.19
2013-11-18,79.91,80.66,79.77,80.00,1129600,79.19
2013-11-15,79.15,80.19,79.15,79.99,1430700,79.18
2013-11-14,78.79,79.21,78.36,78.96,1619600,78.16
2013-11-13,78.13,78.85,77.81,78.83,1295500,78.03
2013-11-12,78.41,78.90,78.05,78.42,1041700,77.63
2013-11-11,78.55,79.20,78.41,78.79,1021400,77.99
2013-11-08,76.79,78.87,76.79,78.80,1936000,78.00
2013-11-07,78.11,78.14,76.58,76.62,1306900,75.84
2013-11-06,77.36,77.75,77.12,77.61,831600,76.82
2013-11-05,77.06,77.34,76.66,76.96,940900,76.18
2013-11-04,77.57,78.01,77.32,77.48,1255600,76.70
2013-11-01,77.46,77.89,76.63,77.63,2055800,76.84
2013-10-31,78.10,78.27,77.40,77.41,1842400,76.63
2013-10-30,78.61,78.63,77.68,78.15,1832000,77.36
2013-10-29,77.45,78.82,77.45,78.06,2209900,77.27
2013-10-28,77.10,77.85,76.02,77.78,2892200,76.99
2013-10-25,75.45,76.29,75.44,75.75,1761700,74.98
2013-10-24,76.93,77.00,74.61,75.46,3398300,74.70
2013-10-23,76.93,77.94,76.31,77.84,2449800,77.05
2013-10-22,77.22,77.78,76.81,77.28,1575200,76.50
2013-10-21,77.07,77.15,76.56,76.84,924900,76.06
2013-10-18,76.78,77.36,76.35,76.83,1957200,76.05
2013-10-17,75.02,76.49,74.69,76.34,1185000,75.57
2013-10-16,74.88,75.92,74.58,75.49,1277200,74.73
2013-10-15,74.39,74.74,74.06,74.21,1413200,73.46
2013-10-14,73.87,74.73,73.62,74.48,1677000,73.73
2013-10-11,73.78,75.01,73.56,74.66,1084500,73.90
2013-10-10,72.51,74.11,72.39,73.91,1896700,73.16
2013-10-09,71.58,72.20,71.13,71.65,1763300,70.92
2013-10-08,71.92,72.23,70.96,70.98,1306300,70.26
2013-10-07,71.87,72.47,71.66,71.79,840500,71.06
2013-10-04,72.20,72.87,71.76,72.71,941200,71.97
2013-10-03,71.96,72.39,71.27,71.98,1126000,71.25
2013-10-02,71.52,72.06,71.44,71.98,1212700,71.25
2013-10-01,71.99,72.27,71.66,72.11,1379900,71.38
