Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,42.90,43.45,42.86,43.15,1985700,43.15
2014-03-27,42.82,42.97,42.36,42.87,2391000,42.87
2014-03-26,42.54,42.99,42.19,42.87,3316100,42.87
2014-03-25,42.39,42.64,42.16,42.43,2839500,42.43
2014-03-24,42.50,42.76,42.12,42.37,1974400,42.37
2014-03-21,42.63,42.86,42.29,42.37,3904900,42.37
2014-03-20,41.88,42.34,41.50,42.29,2027300,42.29
2014-03-19,42.40,42.49,41.58,41.91,4495000,41.91
2014-03-18,41.75,42.38,41.75,42.33,3345200,42.33
2014-03-17,41.56,41.91,41.44,41.67,3383600,41.67
2014-03-14,40.36,41.50,40.36,41.48,3978400,41.48
2014-03-13,40.50,40.80,40.29,40.47,2348600,40.47
2014-03-12,39.65,40.48,39.62,40.47,2325700,40.47
2014-03-11,40.28,40.39,39.65,39.74,2914400,39.74
2014-03-10,40.23,40.60,39.91,40.19,3023200,40.19
2014-03-07,40.27,40.36,39.92,40.27,1959500,40.27
2014-03-06,40.42,40.49,40.02,40.17,3237300,40.17
2014-03-05,39.73,40.80,39.63,40.42,5059600,40.42
2014-03-04,39.24,39.73,39.17,39.60,4431200,39.60
2014-03-03,39.05,39.05,38.30,38.81,4367500,38.81
2014-02-28,38.92,39.55,38.90,39.45,3366300,39.45
2014-02-27,39.05,39.25,38.58,38.91,3929700,38.91
2014-02-26,38.96,39.45,38.89,39.11,2960900,39.11
2014-02-25,39.02,39.54,38.87,38.93,3849900,38.86
2014-02-24,39.00,39.19,38.51,38.86,2770500,38.79
2014-02-21,39.30,39.32,38.48,38.91,3838200,38.84
2014-02-20,38.31,39.31,38.31,39.17,3759000,39.09
2014-02-19,38.25,38.41,37.94,38.29,3180000,38.22
2014-02-18,37.88,38.53,37.88,38.34,3083500,38.27
2014-02-14,37.47,37.73,37.23,37.73,2406100,37.66
2014-02-13,36.78,37.62,36.73,37.47,3052500,37.40
2014-02-12,36.73,37.16,36.49,36.89,3858200,36.82
2014-02-11,36.45,36.77,36.15,36.76,4236000,36.69
2014-02-10,36.09,36.62,35.99,36.50,3592100,36.43
2014-02-07,35.74,36.30,35.54,36.09,3701600,36.02
2014-02-06,35.65,35.97,35.38,35.70,3298900,35.63
2014-02-05,35.44,35.86,35.25,35.59,3978400,35.52
2014-02-04,36.26,36.52,35.21,35.47,6792100,35.40
2014-02-03,37.35,37.79,35.94,36.02,6871100,35.95
2014-01-31,35.68,38.25,35.61,37.40,12040800,37.33
2014-01-30,34.52,34.61,34.26,34.49,3770400,34.42
2014-01-29,34.53,34.73,34.15,34.39,3003200,34.32
2014-01-28,34.80,35.01,34.46,34.66,3083000,34.59
2014-01-27,34.90,34.98,34.27,34.65,3238300,34.58
2014-01-24,35.21,35.21,34.59,34.77,4411400,34.70
2014-01-23,35.32,35.49,35.12,35.46,2558400,35.39
2014-01-22,35.17,35.67,35.07,35.58,2203500,35.51
2014-01-21,35.43,35.48,34.92,34.99,4646600,34.92
2014-01-17,34.98,35.09,34.48,35.04,2504900,34.97
2014-01-16,34.76,35.74,34.26,35.04,6105700,34.97
2014-01-15,34.63,34.79,34.44,34.78,2325600,34.71
2014-01-14,33.91,34.64,33.91,34.47,3135200,34.40
2014-01-09,33.97,34.92,33.90,34.60,4758200,34.53
2014-01-08,33.35,34.38,33.19,33.92,5028300,33.85
2014-01-07,33.38,33.62,33.21,33.31,4331400,33.25
