Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,49.65,50.74,49.55,50.50,1661400,50.50
2014-03-27,49.64,50.50,49.04,49.48,2672700,49.48
2014-03-26,50.21,50.70,49.68,49.77,1756000,49.77
2014-03-25,49.68,50.62,49.68,49.98,2267800,49.98
2014-03-24,50.45,50.84,49.32,49.48,2189200,49.48
2014-03-21,52.10,52.18,50.12,50.37,3943700,50.37
2014-03-20,51.64,52.40,51.00,51.70,1975800,51.70
2014-03-19,52.61,52.62,51.38,51.67,1939400,51.67
2014-03-18,52.25,53.16,51.95,52.61,2078200,52.61
2014-03-17,53.34,53.62,52.23,52.29,2295200,52.29
2014-03-14,52.90,53.61,52.62,53.21,2021800,53.21
2014-03-13,54.53,54.58,52.32,52.98,3335000,52.98
2014-03-12,52.38,54.58,52.17,54.50,4817000,54.50
2014-03-11,53.18,53.18,51.80,52.37,2294200,52.37
2014-03-10,53.53,53.76,52.33,52.78,2637900,52.78
2014-03-07,53.85,54.56,52.72,53.47,2606800,53.47
2014-03-06,51.93,53.91,51.88,53.55,3597600,53.55
2014-03-05,50.82,51.84,50.65,51.74,2835400,51.74
2014-03-04,51.40,51.50,50.53,50.93,2722900,50.93
2014-03-03,50.41,51.62,50.41,50.97,2186000,50.97
2014-02-28,50.76,51.58,50.53,51.01,2213800,51.01
2014-02-27,51.20,51.52,50.03,50.73,2513500,50.73
2014-02-26,52.06,52.77,51.19,51.47,2971600,51.47
2014-02-25,51.25,52.31,51.19,51.87,2346800,51.62
2014-02-24,50.67,52.25,50.63,51.23,2228900,50.98
2014-02-21,50.50,51.21,50.31,50.34,2970300,50.10
2014-02-20,50.28,51.08,49.67,50.32,3584800,50.08
2014-02-19,50.28,51.62,50.19,50.30,2647100,50.06
2014-02-18,50.24,51.27,50.15,50.44,1966700,50.20
2014-02-14,49.65,50.89,48.67,50.26,3351600,50.02
2014-02-13,48.10,49.96,48.09,49.68,2647600,49.44
2014-02-12,48.80,49.23,48.26,48.47,2152100,48.24
2014-02-11,47.88,49.09,47.82,48.78,3060800,48.54
2014-02-10,48.50,48.50,46.88,47.77,4388700,47.54
2014-02-07,47.92,48.33,47.00,47.89,5299300,47.66
2014-02-06,47.47,48.80,46.40,47.60,9865300,47.37
2014-02-05,49.86,50.18,49.02,49.95,4626900,49.71
2014-02-04,50.89,50.95,49.19,50.45,3708300,50.21
2014-02-03,51.38,51.75,50.53,50.77,2918500,50.53
2014-01-31,50.67,52.42,50.52,51.52,2244900,51.27
2014-01-30,51.96,52.53,51.19,51.26,1907000,51.01
2014-01-29,50.21,52.87,49.83,51.85,3500400,51.60
2014-01-28,50.60,51.25,50.16,50.88,1970700,50.63
2014-01-27,50.68,51.52,50.25,50.88,3209600,50.63
2014-01-24,51.53,51.55,50.03,50.57,3210200,50.33
2014-01-23,52.82,53.32,51.62,52.33,2255200,52.08
2014-01-22,53.15,53.58,52.38,52.71,2361000,52.46
2014-01-09,57.08,58.02,56.93,58.00,4356900,57.72
2014-01-08,57.26,57.94,56.52,56.77,5306500,56.50
2014-01-07,57.89,58.51,56.31,58.07,3780900,57.79
2014-01-06,57.33,58.19,57.26,57.57,2503800,57.29
2014-01-03,57.47,58.02,56.42,57.14,2744300,56.86
2014-01-02,58.20,59.07,57.26,57.96,2868900,57.68
2013-12-31,56.76,58.56,56.76,58.50,2398800,58.22
2013-12-30,57.34,57.69,56.30,56.55,2333200,56.28
2013-12-27,58.51,58.60,57.04,57.37,1841700,57.09
2013-12-26,58.21,58.79,57.98,58.48,2383500,58.20
2013-12-24,58.25,58.38,57.67,58.21,797600,57.93
2013-12-23,56.72,58.44,56.54,58.31,3349000,58.03
2013-12-20,56.37,57.04,56.07,56.16,5781800,55.89
2013-12-19,57.22,57.51,56.22,56.39,2696900,56.12
2013-12-18,57.29,57.69,55.74,57.52,2966700,57.24
2013-12-17,58.07,58.24,56.88,56.98,3286800,56.71
2013-12-16,56.51,58.58,56.47,58.37,3611900,58.09
2013-12-13,56.81,57.15,55.69,56.30,2733400,56.03
2013-12-12,56.00,57.38,55.96,56.94,3091800,56.67
2013-12-11,57.54,57.78,56.04,56.25,3675000,55.98
2013-12-10,58.60,58.60,55.94,57.72,4946200,57.44
2013-12-09,58.41,59.37,57.84,57.99,5705200,57.71
2013-12-06,56.20,58.83,56.13,57.70,4889100,57.42
2013-12-05,56.11,56.60,55.49,55.61,3321500,55.34
2013-12-04,56.23,57.21,54.66,55.78,5934300,55.51
2013-12-03,58.52,59.15,57.30,57.42,4043900,57.14
2013-12-02,58.89,59.57,57.94,58.85,4095000,58.57
2013-11-29,59.28,59.54,58.34,58.63,1674200,58.35
2013-11-27,57.04,59.47,56.84,59.08,6163000,58.80
2013-11-26,57.47,57.95,56.61,56.96,3438300,56.69
2013-11-25,57.33,58.09,56.46,57.56,2861000,57.03
2013-11-22,56.72,57.82,56.43,57.42,4227400,56.90
2013-11-21,55.35,56.80,55.17,56.73,3066500,56.21
2013-11-20,56.14,56.15,54.73,55.03,3775700,54.53
2013-11-19,55.68,56.95,55.39,56.06,5157400,55.55
2013-11-18,55.21,55.87,54.43,55.38,5601800,54.87
2013-11-15,55.13,55.27,53.92,54.53,5427500,54.03
2013-11-14,53.41,55.27,52.89,54.95,3504200,54.45
2013-11-13,52.11,53.42,51.94,53.27,3166600,52.78
2013-11-12,50.90,53.18,50.90,52.21,6202400,51.73
2013-11-11,50.06,51.46,49.76,51.19,4394000,50.72
2013-11-08,48.46,50.21,48.01,50.09,3832700,49.63
2013-11-07,48.00,50.90,47.75,48.29,6824300,47.85
2013-11-06,48.19,48.39,47.05,47.44,3993300,47.01
2013-11-05,48.20,48.48,47.64,47.92,2485100,47.48
2013-11-04,48.00,48.46,47.15,48.36,2782300,47.92
2013-11-01,48.92,49.06,47.28,47.82,2437900,47.38
2013-10-31,48.74,50.56,48.61,48.89,3781300,48.44
2013-10-30,47.30,48.97,46.64,48.94,4254400,48.49
2013-10-29,47.20,48.10,46.96,47.30,1927900,46.87
2013-10-28,47.09,47.81,46.85,47.17,2749500,46.74
2013-10-25,47.31,47.66,46.46,46.96,2799700,46.53
2013-10-24,49.27,49.27,46.87,47.03,4577800,46.60
2013-10-23,49.33,50.77,49.15,49.26,5486000,48.81
