Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,37.93,38.76,37.93,38.53,808300,38.53
2014-03-27,37.97,38.09,37.50,37.78,1082800,37.78
2014-03-26,39.06,39.14,37.99,38.02,1974000,38.02
2014-03-25,38.24,39.11,38.15,38.90,2743300,38.90
2014-03-24,38.56,38.57,37.45,37.89,2312500,37.89
2014-03-21,38.85,39.05,38.20,38.41,3761600,38.41
2014-03-20,38.56,38.84,38.31,38.47,1245400,38.47
2014-03-19,38.98,39.32,38.23,38.56,1685100,38.56
2014-03-18,38.41,38.88,38.38,38.79,1049000,38.79
2014-03-17,38.18,38.78,38.13,38.40,1509000,38.40
2014-03-14,37.79,38.25,37.70,37.75,1340900,37.75
2014-03-13,38.99,39.13,37.60,37.82,1966100,37.82
2014-03-12,38.83,39.06,38.57,38.79,1599600,38.79
2014-03-11,39.66,39.79,39.06,39.22,1848900,39.20
2014-03-10,39.93,39.93,38.97,39.63,2607500,39.61
2014-03-07,40.35,40.55,39.72,40.18,1656800,40.16
2014-03-06,40.05,40.40,39.99,40.11,1261600,40.09
2014-03-05,39.95,40.38,39.70,39.97,1561300,39.95
2014-03-04,39.67,40.12,39.66,39.89,1436700,39.87
2014-03-03,39.10,39.35,38.70,39.11,1239600,39.09
2014-02-28,39.90,40.08,39.27,39.70,1915100,39.68
2014-02-27,38.87,39.93,38.86,39.89,2596000,39.87
2014-02-26,38.93,39.30,38.71,38.80,2512700,38.78
2014-02-25,39.14,39.36,38.79,38.80,2288700,38.78
2014-02-24,38.46,39.58,38.41,39.19,2463700,39.17
2014-02-21,38.24,38.54,38.03,38.31,3999500,38.29
2014-02-20,37.36,38.56,37.32,38.53,2668000,38.51
2014-02-19,37.56,37.87,37.17,37.27,1872100,37.25
2014-02-18,37.48,37.88,37.34,37.83,1791200,37.81
2014-02-14,36.77,37.38,36.47,37.33,1111200,37.31
2014-02-13,36.46,36.88,36.19,36.84,933100,36.82
2014-02-12,36.15,36.99,36.15,36.83,2073500,36.81
2014-02-11,35.25,36.16,35.25,36.15,1777500,36.13
2014-02-10,35.74,35.85,35.13,35.22,2044700,35.20
2014-02-07,35.39,36.01,35.36,35.82,1680300,35.80
2014-02-06,34.44,35.36,34.44,35.27,1025200,35.25
2014-02-05,34.68,35.14,34.15,34.83,1696100,34.81
2014-02-04,34.37,35.24,33.82,35.10,2256900,35.08
2014-02-03,35.56,35.76,34.21,34.28,3191200,34.26
2014-01-31,35.71,35.88,35.44,35.50,4006600,35.48
2014-01-30,36.56,36.87,36.15,36.39,1699200,36.37
2014-01-29,36.35,36.75,35.96,36.10,2257700,36.08
2014-01-28,36.89,37.11,36.55,36.83,2213400,36.81
2014-01-27,36.49,37.21,35.92,36.77,3276600,36.75
2014-01-24,37.29,37.39,36.31,36.41,3309600,36.39
2014-01-23,37.72,38.09,37.46,37.79,3567800,37.77
2014-01-22,36.59,39.24,36.59,38.00,6858000,37.98
2014-01-21,36.47,36.49,35.68,36.10,4928700,36.08
2014-01-17,35.56,36.24,35.51,36.10,3247000,36.08
2014-01-16,35.51,35.79,35.41,35.65,1772100,35.63
2014-01-15,35.24,35.81,35.03,35.61,2034500,35.59
2014-01-14,34.73,35.27,34.70,35.20,2212000,35.18
2014-01-13,35.46,35.61,34.66,34.75,2817300,34.73
2014-01-09,35.99,36.10,35.60,35.82,1224500,35.80
2014-01-08,35.84,36.05,35.52,35.78,1961500,35.76
2014-01-07,35.50,36.06,35.21,35.76,3002600,35.74
2014-01-06,36.50,36.78,36.16,36.16,3898800,36.14
2014-01-03,36.34,36.94,35.89,36.31,2379900,36.29
2014-01-02,36.75,36.75,36.19,36.29,1467200,36.27
2013-12-31,36.57,36.94,36.48,36.76,1238900,36.74
2013-12-30,36.64,36.70,36.19,36.43,1404100,36.41
2013-12-27,36.34,37.15,36.14,36.61,3797800,36.59
2013-12-26,36.32,36.69,36.08,36.20,1604900,36.18
2013-12-24,36.03,36.65,35.85,36.00,1474400,35.98
2013-12-23,36.38,36.85,35.65,36.38,6549300,36.36
2013-12-20,32.71,37.43,32.66,37.29,12719400,37.27
2013-12-19,32.55,32.76,32.42,32.57,1457500,32.55
2013-12-18,32.10,32.84,31.94,32.79,2419200,32.77
2013-12-17,32.16,32.24,31.76,32.10,1994000,32.08
2013-12-16,31.60,32.33,31.48,32.11,1933600,32.09
2013-12-13,31.59,31.81,31.33,31.46,1347800,31.44
2013-12-12,31.58,31.74,31.40,31.51,1401100,31.49
2013-12-11,32.22,32.30,31.47,31.59,1597200,31.57
