Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,41.87,42.26,41.73,41.81,2462000,41.81
2014-03-27,42.34,42.42,41.61,41.68,3551600,41.68
2014-03-26,42.35,42.66,42.28,42.36,3721900,42.36
2014-03-25,42.22,42.41,41.91,42.17,2013900,42.17
2014-03-24,42.77,42.98,41.84,41.94,2538400,41.94
2014-03-21,42.70,42.90,42.42,42.71,4146200,42.71
2014-03-20,42.35,42.51,42.10,42.37,1681300,42.37
2014-03-19,42.91,43.07,42.18,42.35,3365700,42.35
2014-03-18,43.41,43.57,42.68,42.90,3635500,42.90
2014-03-17,43.05,43.64,43.05,43.41,2813300,43.41
2014-03-14,42.65,43.00,42.58,42.89,2873600,42.89
2014-03-13,43.09,43.35,42.39,42.64,3563000,42.64
2014-03-12,42.68,43.00,42.48,42.94,3074600,42.94
2014-03-11,43.78,43.83,42.85,42.91,2130200,42.91
2014-03-10,43.62,43.96,43.26,43.67,2353500,43.67
2014-03-07,43.91,44.10,43.65,43.82,2423800,43.82
2014-03-06,43.74,43.98,43.69,43.81,2003100,43.81
2014-03-05,43.54,43.84,43.25,43.68,2546700,43.68
2014-03-04,43.68,43.71,43.05,43.41,3698200,43.41
2014-03-03,42.42,43.15,42.18,43.02,4027500,43.02
2014-02-28,42.57,42.61,41.98,42.18,2731300,42.18
2014-02-27,42.40,42.67,42.32,42.46,2583200,42.46
2014-02-26,42.48,42.88,42.40,42.62,2561100,42.62
2014-02-25,42.52,42.64,42.34,42.45,4058100,42.45
2014-02-24,42.36,42.91,42.36,42.55,3281900,42.55
2014-02-21,42.37,42.60,42.19,42.29,2470700,42.29
2014-02-20,41.84,42.38,41.54,42.25,2938300,42.25
2014-02-19,42.00,42.39,41.66,41.76,2250700,41.76
2014-02-18,42.14,42.31,42.03,42.18,1735200,42.18
2014-02-14,41.60,42.20,41.49,41.93,2954300,41.93
2014-02-13,41.36,41.81,41.10,41.74,2010300,41.74
2014-02-12,41.68,41.92,41.28,41.45,1825200,41.45
2014-02-11,41.45,41.80,41.31,41.61,2207300,41.61
2014-02-10,41.54,41.59,41.22,41.40,2917400,41.40
2014-02-07,41.00,41.67,40.82,41.55,2964800,41.55
2014-02-06,40.34,40.97,40.31,40.82,2553700,40.82
2014-02-05,39.75,40.40,39.52,40.26,4069000,40.26
2014-02-04,39.83,40.05,39.40,39.93,3074800,39.93
2014-02-03,40.66,40.86,39.48,39.55,3899700,39.55
2014-01-31,39.67,40.97,39.15,40.49,6482900,40.49
2014-01-30,39.90,39.96,39.50,39.67,3858000,39.67
2014-01-29,39.52,40.21,39.45,39.69,2242300,39.69
2014-01-28,39.50,40.05,39.49,39.95,2507100,39.95
2014-01-27,39.46,39.90,39.23,39.43,2629800,39.43
2014-01-24,40.15,40.30,39.40,39.40,2657700,39.40
2014-01-23,41.12,41.32,40.34,40.53,2894600,40.53
2014-01-22,41.26,41.43,41.06,41.33,2439800,41.33
2014-01-21,41.34,42.08,41.09,41.37,1835500,41.21
2014-01-17,41.25,41.44,41.09,41.38,3005400,41.22
2014-01-16,41.13,41.23,40.90,41.20,2204000,41.04
2014-01-15,40.79,41.29,40.73,41.27,1928400,41.11
2014-01-14,40.49,40.89,40.44,40.86,2813500,40.70
2014-01-09,41.37,41.58,40.85,40.99,2126600,40.83
2014-01-08,41.42,41.51,40.99,41.16,3222600,41.00
2014-01-07,40.62,41.15,40.62,40.97,2593400,40.81
2014-01-06,41.00,41.65,40.77,40.83,3889800,40.67
2014-01-03,40.66,40.87,40.24,40.44,2441200,40.28
2014-01-02,40.88,41.08,40.46,40.66,3017300,40.50
2013-12-31,41.19,41.32,40.66,41.04,2621200,40.88
2013-12-30,41.14,41.42,41.04,41.18,2148100,41.02
2013-12-27,40.66,41.44,40.66,41.21,4391300,41.05
2013-12-26,39.40,40.72,39.40,40.62,1538400,40.46
2013-12-24,40.07,40.26,40.05,40.25,988700,40.09
2013-12-23,40.04,40.27,39.80,40.17,2888300,40.01
2013-12-20,38.95,39.70,38.88,39.60,3985600,39.45
2013-12-19,38.91,38.95,38.55,38.91,2193300,38.76
2013-12-18,37.89,39.14,37.72,39.07,3243200,38.92
2013-12-17,37.96,38.13,37.83,37.95,2222300,37.80
2013-12-16,37.48,38.12,37.36,37.93,2771300,37.78
2013-12-13,37.75,37.75,37.10,37.35,2919700,37.21
2013-12-12,37.18,37.92,37.12,37.79,3394400,37.64
2013-12-11,37.47,37.71,37.13,37.18,2480200,37.04
2013-12-10,37.71,38.12,37.51,37.53,2218400,37.38
2013-12-09,37.99,38.00,37.52,37.74,2207300,37.59
2013-12-06,37.20,37.90,37.14,37.75,3015200,37.60
2013-12-05,37.51,37.69,37.17,37.25,2621300,37.11
2013-12-04,37.66,37.97,37.10,37.51,4059300,37.36
2013-12-03,37.50,37.94,37.41,37.86,3951900,37.71
2013-12-02,38.20,38.45,37.63,37.70,2517700,37.55
2013-11-29,38.16,38.53,37.84,38.14,1359700,37.99
2013-11-27,38.08,38.37,37.86,38.00,2821700,37.85
2013-11-26,38.37,38.77,38.04,38.07,3573900,37.92
2013-11-25,38.43,38.76,38.33,38.43,3307100,38.28
2013-11-22,37.58,38.44,37.44,38.43,5095900,38.28
2013-11-21,37.09,37.75,37.02,37.68,3067300,37.53
2013-11-20,37.53,37.64,37.10,37.15,2698300,37.01
2013-11-19,37.56,37.92,37.39,37.56,2183100,37.41
2013-11-18,37.07,37.79,37.06,37.60,3377800,37.45
2013-11-15,37.62,37.62,36.92,37.12,5553800,36.98
2013-11-14,37.12,38.00,37.00,37.60,7040700,37.45
2013-11-13,36.10,36.81,36.09,36.73,4523100,36.59
2013-11-12,36.65,36.74,36.06,36.34,3545500,36.20
2013-11-11,36.50,36.82,36.45,36.81,1419800,36.67
2013-11-08,35.93,36.51,35.90,36.40,2974500,36.26
2013-11-07,36.53,36.64,35.70,35.87,2582200,35.73
2013-11-06,36.78,36.85,36.26,36.48,2184500,36.34
2013-11-05,36.61,36.88,34.78,36.78,2696500,36.64
2013-11-04,36.62,36.63,36.31,36.63,1653100,36.49
2013-11-01,36.56,36.75,36.34,36.55,1568300,36.41
2013-10-31,36.42,36.78,36.11,36.55,2897700,36.41
2013-10-30,36.62,36.93,36.19,36.45,2612400,36.31
2013-10-29,36.21,36.55,36.17,36.45,1817300,36.31
2013-10-28,36.43,36.57,35.98,36.14,2289600,36.00
2013-10-25,36.08,36.49,35.89,36.49,1320900,36.35
2013-10-24,36.38,36.60,36.16,36.21,1625200,36.07
2013-10-23,36.00,36.27,35.97,36.22,1699800,36.08
2013-10-22,35.96,36.43,35.86,36.23,2815800,35.93
2013-10-21,36.04,36.19,35.78,35.85,2327600,35.55
2013-10-18,35.93,36.18,35.71,35.96,3188300,35.66
2013-10-17,34.79,35.79,34.78,35.73,2848800,35.43
2013-10-16,35.14,35.20,34.61,34.89,6132500,34.60
2013-10-15,35.50,35.58,34.97,35.09,2295800,34.80
2013-10-14,35.35,35.71,35.22,35.64,1487000,35.35
2013-10-11,35.28,35.80,35.21,35.61,2676900,35.32
2013-10-10,34.72,35.34,34.67,35.34,3202900,35.05
2013-10-09,34.15,34.63,34.12,34.36,3010500,34.08
2013-10-08,34.51,34.70,34.08,34.20,2716700,33.92
2013-10-07,34.59,34.83,34.31,34.61,1421200,34.32
2013-10-04,34.80,35.09,34.62,34.86,1663900,34.57
2013-10-03,34.80,34.93,34.46,34.79,2778900,34.50
2013-10-02,34.94,35.14,34.57,34.91,2016300,34.62
2013-10-01,35.01,35.31,34.96,35.10,1861500,34.81
2013-09-30,34.66,35.08,34.47,34.98,2957800,34.69
2013-09-27,34.98,35.11,34.78,34.95,1440700,34.66
2013-09-26,34.97,35.29,34.85,35.22,2382200,34.93
2013-09-25,34.51,35.14,34.35,34.91,3381400,34.62
2013-09-24,34.44,34.85,34.30,34.44,2463200,34.16
2013-09-23,34.68,34.83,34.35,34.50,2496500,34.21
2013-09-20,35.56,35.60,34.89,34.89,3096300,34.60
2013-09-19,35.61,35.85,35.49,35.57,2613100,35.28
2013-09-18,35.18,35.51,34.91,35.44,2247600,35.15
2013-09-17,34.55,35.33,34.45,35.27,3261000,34.98
2013-09-16,34.30,34.58,34.11,34.58,2983200,34.29
2013-09-13,33.75,33.97,33.58,33.89,2354800,33.61
2013-09-12,34.05,34.19,33.71,33.75,2256200,33.47
2013-09-11,34.24,34.29,33.91,34.21,1952100,33.93
2013-09-10,34.16,34.39,34.03,34.23,2554000,33.95
2013-09-09,33.66,34.20,33.65,34.04,1650700,33.76
2013-09-06,33.83,33.90,33.30,33.61,2127500,33.33
2013-09-05,33.35,33.99,33.30,33.75,2168100,33.47
2013-09-04,32.95,33.51,32.93,33.38,2410400,33.10
2013-09-03,33.46,33.56,32.84,32.93,2542400,32.66
2013-08-30,33.32,33.38,32.91,33.04,1790000,32.77
2013-08-29,33.23,33.47,33.16,33.27,1831700,32.99
2013-08-28,33.39,33.55,33.19,33.37,2475600,33.09
2013-08-27,33.53,33.56,33.24,33.41,3716700,33.13
2013-08-26,33.84,34.23,33.73,33.90,3715400,33.62
2013-08-23,34.54,34.56,33.79,33.83,3684300,33.55
2013-08-22,33.95,34.64,33.83,34.52,2068900,34.23
2013-08-21,33.89,34.39,33.73,33.91,2506200,33.63
2013-08-20,33.86,34.03,33.69,33.93,1653700,33.65
2013-08-19,34.21,34.28,33.75,33.78,2214600,33.50
2013-08-16,34.02,34.45,33.94,34.26,3687300,33.98
2013-08-15,34.23,34.28,34.00,34.22,2182600,33.94
2013-08-14,34.99,35.09,34.40,34.48,1942900,34.19
2013-08-13,34.75,35.29,34.66,35.05,2220900,34.76
2013-08-12,34.98,35.12,34.58,34.63,2885800,34.34
2013-08-09,35.21,35.39,35.10,35.16,2325000,34.87
2013-08-08,35.82,35.88,35.22,35.25,2578300,34.96
2013-08-07,35.82,35.86,35.52,35.68,2373300,35.39
2013-08-06,35.77,35.93,35.66,35.88,2995200,35.58
2013-08-05,35.55,35.95,35.43,35.91,2416200,35.61
2013-08-02,35.37,35.69,35.18,35.69,2100000,35.39
2013-08-01,35.04,35.56,35.04,35.55,2620600,35.26
2013-07-31,34.80,35.06,34.61,34.81,3228400,34.52
2013-07-30,34.35,34.79,34.22,34.69,3222200,34.40
2013-07-29,34.57,34.69,34.03,34.21,3309500,33.93
2013-07-26,35.16,35.28,34.37,34.59,4642600,34.30
2013-07-25,34.90,35.19,34.72,35.15,2156800,34.86
2013-07-24,34.97,35.12,34.79,34.94,2050800,34.65
2013-07-23,35.22,35.25,34.96,35.02,2024800,34.57
2013-07-22,35.62,35.64,35.00,35.06,1541100,34.61
2013-07-19,35.21,35.58,35.08,35.52,2424400,35.07
2013-07-18,35.30,35.33,35.07,35.16,1443000,34.71
2013-07-17,35.30,35.31,35.05,35.16,1275200,34.71
2013-07-16,35.46,35.50,35.01,35.11,2481100,34.66
