Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,28.81,29.46,28.65,28.73,528300,28.73
2014-03-27,29.49,29.70,28.46,28.76,947800,28.76
2014-03-26,30.61,30.91,29.62,29.63,600900,29.63
2014-03-25,30.81,31.00,29.95,30.36,614000,30.36
2014-03-24,30.77,31.17,30.37,30.57,711800,30.57
2014-03-21,31.05,31.20,30.76,30.88,694900,30.88
2014-03-20,31.16,31.49,30.64,30.94,431900,30.94
2014-03-19,31.39,31.59,30.95,31.22,524400,31.22
2014-03-18,30.00,31.60,29.97,31.32,1201400,31.32
2014-03-17,30.37,30.60,29.63,29.99,646900,29.99
2014-03-14,29.99,30.38,29.90,29.99,698800,29.99
2014-03-13,30.88,30.90,29.93,30.10,813300,30.10
2014-03-12,30.70,31.01,30.46,30.84,787800,30.84
2014-03-11,31.75,31.91,30.48,30.82,1802800,30.82
2014-03-10,33.39,33.84,32.89,33.06,690100,33.06
2014-03-07,34.45,34.48,33.24,33.32,960200,33.32
2014-03-06,34.98,34.98,33.98,34.43,669800,34.43
2014-03-05,34.95,35.00,34.47,34.93,630400,34.93
2014-03-04,33.95,35.20,33.76,34.94,767900,34.94
2014-03-03,33.66,33.83,32.79,33.42,645300,33.42
2014-02-28,35.85,36.05,34.21,34.22,1136300,34.22
2014-02-27,34.19,35.76,34.14,35.74,846800,35.74
2014-02-26,34.86,35.53,34.10,34.20,1050500,34.20
2014-02-25,33.98,34.90,33.90,34.88,575900,34.88
2014-02-24,33.34,34.39,33.23,33.96,369400,33.96
2014-02-21,33.30,33.56,32.87,33.34,361400,33.34
2014-02-20,32.60,33.36,32.57,33.11,612700,33.11
2014-02-19,32.82,32.93,32.34,32.59,497300,32.59
2014-02-18,32.35,33.18,32.31,32.97,435400,32.97
2014-02-14,32.23,32.55,32.04,32.36,362200,32.36
2014-02-13,31.95,32.34,31.79,32.33,250500,32.33
2014-02-12,32.86,33.24,32.12,32.27,384200,32.27
2014-02-11,32.87,32.95,32.39,32.84,362000,32.84
2014-02-10,32.10,33.58,32.09,32.89,721700,32.89
2014-02-07,31.57,32.11,31.23,32.10,656900,32.10
2014-02-06,31.71,31.93,31.29,31.42,546400,31.42
2014-02-05,31.80,32.15,30.25,31.68,1125800,31.68
2014-02-04,32.42,32.42,31.79,32.08,1006000,32.08
2014-02-03,34.28,34.85,31.66,32.35,1631600,32.35
2014-01-31,34.24,35.40,33.82,34.27,2870100,34.27
2014-01-30,30.78,31.28,30.48,31.15,1963500,31.15
2014-01-29,30.55,31.18,30.21,30.53,500400,30.53
2014-01-28,30.92,31.08,30.12,30.92,592300,30.92
2014-01-27,30.62,31.58,30.50,30.82,530300,30.82
2014-01-24,31.98,31.98,30.43,30.50,773200,30.50
2014-01-23,32.75,33.13,32.06,32.18,382600,32.18
2014-01-22,32.78,33.13,32.50,32.92,564600,32.92
