Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,81.40,82.35,81.26,81.62,4787400,81.62
2014-03-27,81.58,81.90,80.78,81.02,5453900,81.02
2014-03-26,81.48,82.30,81.07,81.54,6910000,81.54
2014-03-25,81.59,82.15,80.98,81.10,4588800,81.10
2014-03-24,81.65,81.72,80.86,81.28,5306200,81.28
2014-03-21,82.19,83.32,81.30,81.34,11828100,81.34
2014-03-20,79.58,81.59,79.43,81.53,7786500,81.53
2014-03-19,78.07,80.30,77.94,79.96,9060100,79.96
2014-03-18,76.97,78.05,76.77,78.00,3670800,78.00
2014-03-17,76.14,77.02,76.09,76.76,3517900,76.76
2014-03-14,77.02,77.02,75.65,75.70,5128700,75.70
2014-03-13,77.76,78.10,76.96,77.01,3178600,77.01
2014-03-12,77.28,77.70,77.23,77.60,2875400,77.60
2014-03-11,77.91,78.45,77.52,77.78,3471200,77.50
2014-03-10,77.28,77.90,77.11,77.88,2986400,77.60
2014-03-07,78.01,78.07,77.04,77.40,3434700,77.12
2014-03-06,78.15,78.34,77.55,77.64,4200500,77.36
2014-03-05,78.26,78.50,77.58,77.99,3917600,77.71
2014-03-04,77.74,78.57,77.54,78.13,5164500,77.85
2014-03-03,76.70,77.46,76.53,77.10,3673400,76.82
2014-02-28,76.04,77.71,75.80,77.27,6176600,76.99
2014-02-27,75.78,76.41,75.60,76.02,4227300,75.75
2014-02-26,75.33,76.13,74.78,76.06,5433200,75.79
2014-02-25,75.98,76.14,75.13,75.32,3761800,75.05
2014-02-24,74.14,76.77,74.00,76.01,9559000,75.74
2014-02-21,73.43,74.10,73.34,73.81,4552300,73.54
2014-02-20,73.60,74.11,73.23,73.48,4134000,73.22
2014-02-19,73.55,74.31,73.42,73.55,3926500,73.29
2014-02-18,73.52,74.62,73.45,73.83,5538400,73.56
2014-02-14,71.16,73.84,71.00,73.52,6848800,73.26
2014-02-13,70.13,71.48,69.93,71.21,3788000,70.95
2014-02-12,70.91,71.30,69.98,70.24,4120600,69.99
2014-02-11,69.76,70.87,69.58,70.62,5543000,70.37
2014-02-10,70.91,71.07,69.57,69.74,7774000,69.49
2014-02-07,70.50,71.65,70.11,71.36,6902900,71.10
2014-02-06,70.77,71.06,70.09,70.87,4765600,70.61
2014-02-05,69.94,71.20,69.83,70.82,4394300,70.57
2014-02-04,70.80,71.00,69.80,70.51,4646100,70.26
2014-02-03,72.14,72.21,70.64,70.74,4526100,70.49
2014-01-31,71.87,72.35,71.45,72.28,4291500,72.02
2014-01-30,71.70,73.04,71.53,72.80,4254000,72.54
2014-01-29,71.39,72.96,70.84,71.26,6005100,71.00
2014-01-28,71.65,72.36,71.47,71.71,2932700,71.45
2014-01-27,71.31,72.20,71.14,71.65,4233600,71.39
2014-01-24,72.83,72.92,71.38,71.60,5523600,71.34
2014-01-23,72.70,73.69,72.49,73.20,5050300,72.94
2014-01-22,73.83,73.93,73.24,73.40,4864700,73.14
2014-01-21,72.72,73.62,72.41,73.16,6379300,72.90
2014-01-17,73.12,73.12,72.30,72.52,5551300,72.26
2014-01-09,75.65,76.24,75.65,76.08,6291500,75.81
2014-01-08,76.33,76.46,75.48,75.62,6172200,75.35
2014-01-07,74.94,77.33,74.94,76.51,6542500,76.23
2014-01-06,75.42,75.42,74.12,74.24,3424500,73.97
2014-01-03,74.80,75.76,74.60,75.10,3206400,74.83
2014-01-02,74.91,75.29,74.51,74.57,3067000,74.30
2013-12-31,75.00,75.54,74.63,75.30,2280000,75.03
2013-12-30,74.85,75.04,74.31,74.78,1983800,74.51
2013-12-27,75.00,75.32,74.58,74.69,2859900,74.42
2013-12-26,74.44,74.97,74.28,74.85,2121000,74.58
2013-12-24,74.20,74.42,73.92,74.13,1253500,73.86
2013-12-23,73.84,74.59,73.71,74.35,3263100,74.08
2013-12-20,72.63,73.73,72.62,73.35,7511500,73.09
2013-12-19,72.17,72.53,71.67,72.39,4359200,72.13
2013-12-18,71.03,72.47,70.70,72.38,4975700,72.12
2013-12-17,71.22,71.22,70.20,70.73,4280100,70.48
2013-12-16,70.73,71.38,70.53,71.06,4369500,70.80
2013-12-13,71.20,71.86,70.46,70.48,4737000,70.23
2013-12-12,72.19,72.57,70.91,71.01,5815300,70.75
2013-12-11,74.08,74.10,71.90,72.14,7304300,71.88
2013-12-10,73.70,74.41,73.68,74.05,3741100,73.78
2013-12-09,73.50,74.31,73.43,73.72,3988600,73.45
2013-12-06,73.23,73.72,72.84,73.50,3886000,73.24
2013-12-05,73.32,73.68,72.54,72.75,4104700,72.49
2013-12-04,73.02,74.41,72.54,73.65,5548700,73.38
2013-12-03,74.14,74.14,72.92,73.73,5162400,73.19
2013-12-02,73.64,74.45,73.64,74.16,4276000,73.61
2013-11-29,74.59,74.93,74.23,74.48,2025600,73.93
2013-11-27,74.67,74.93,74.08,74.36,3640600,73.81
2013-11-26,74.21,74.99,74.05,74.52,4635400,73.97
2013-11-25,74.00,74.66,73.79,74.07,3773900,73.52
2013-11-22,72.91,73.75,72.80,73.74,3178400,73.20
2013-11-21,72.39,73.68,72.37,72.91,4368000,72.37
2013-11-20,71.88,72.86,71.66,71.98,5031300,71.45
2013-11-19,71.76,71.91,71.26,71.61,4260900,71.08
2013-11-18,71.97,72.10,71.50,71.68,3263700,71.15
2013-11-15,71.13,71.96,71.09,71.87,3872600,71.34
2013-11-14,71.34,71.60,70.94,71.44,3581200,70.91
2013-11-13,69.95,71.13,69.81,71.01,3879500,70.49
2013-11-12,70.47,70.90,69.87,69.95,3604800,69.43
2013-11-11,70.73,70.95,70.29,70.50,3082600,69.98
2013-11-08,69.70,70.53,69.64,70.50,3741900,69.98
2013-11-07,70.90,70.98,69.66,69.76,4497300,69.24
2013-11-06,68.87,71.02,68.80,70.29,5479400,69.77
2013-11-05,68.50,68.94,68.27,68.72,3328700,68.21
2013-11-04,68.78,69.26,68.36,68.95,3698700,68.44
2013-11-01,68.27,68.70,67.95,68.63,4459000,68.12
2013-10-31,68.40,68.71,67.86,68.26,4216700,67.76
2013-10-30,68.12,68.67,67.77,68.01,4360500,67.51
2013-10-29,66.88,68.15,66.85,68.08,5860000,67.58
2013-10-28,67.55,67.80,66.72,66.94,6989300,66.45
2013-10-25,67.51,68.18,67.28,67.62,6892500,67.12
2013-10-24,68.01,68.39,67.18,67.61,6352500,67.11
2013-10-23,68.51,68.61,67.65,68.01,8227700,67.51
2013-10-22,68.22,69.63,68.22,68.86,7647300,68.35
2013-10-21,68.65,68.77,67.09,68.20,11496900,67.70
2013-10-18,71.26,71.35,67.54,68.76,21080600,68.25
2013-10-17,71.77,72.88,71.05,71.37,21810200,70.84
2013-10-16,74.50,75.49,74.38,75.19,4368600,74.63
2013-10-15,74.51,74.93,73.76,73.87,2922900,73.32
2013-10-14,73.86,74.81,73.52,74.72,2562200,74.17
2013-10-11,73.93,74.27,73.50,74.27,2935800,73.72
2013-10-10,72.13,73.98,71.84,73.98,4894300,73.43
2013-10-09,71.71,71.88,71.18,71.38,4464100,70.85
2013-10-08,72.00,72.42,71.43,71.48,6049100,70.95
2013-10-07,72.59,72.70,72.16,72.17,4787000,71.64
2013-10-04,72.50,73.14,72.23,72.99,4297600,72.45
2013-10-03,72.50,72.98,72.26,72.52,5038300,71.98
2013-10-02,72.24,72.63,72.07,72.57,2705700,72.03
2013-10-01,71.74,72.94,71.65,72.58,4322300,72.04
2013-09-30,71.29,71.67,71.01,71.61,4183600,71.08
2013-09-27,71.70,72.11,71.50,71.99,3548000,71.46
2013-09-26,72.00,72.81,71.92,72.16,2413200,71.63
2013-09-25,72.30,72.66,71.86,71.98,4812900,71.45
2013-09-24,72.18,72.94,71.63,72.32,4855200,71.79
2013-09-23,70.80,71.94,70.62,71.82,4482500,71.29
2013-09-20,70.55,71.75,70.40,70.57,9088700,70.05
2013-09-19,73.09,73.12,70.62,70.84,8322900,70.32
2013-09-18,74.15,74.19,72.44,73.04,7725600,72.50
2013-09-17,75.11,75.35,73.93,74.31,5138100,73.76
2013-09-16,75.09,75.88,74.97,75.12,4224800,74.57
2013-09-13,74.92,75.25,74.12,74.48,3421000,73.93
2013-09-12,75.32,75.50,74.70,74.74,2823800,74.19
2013-09-11,74.58,75.19,74.33,75.18,3819200,74.62
2013-09-10,74.60,74.64,73.84,74.63,3925400,73.80
2013-09-09,74.11,74.55,73.78,74.25,2629600,73.43
2013-09-06,74.24,74.79,72.55,74.06,3584100,73.24
2013-09-05,73.34,74.23,73.14,74.04,2861600,73.22
2013-09-04,72.46,73.35,72.20,73.35,3333600,72.54
2013-09-03,71.81,72.77,71.79,72.56,3801500,71.75
2013-08-30,72.46,72.81,71.49,71.74,4186200,70.94
2013-08-29,71.34,72.83,71.15,72.44,5243500,71.64
2013-08-28,71.40,72.16,71.35,71.54,3297700,70.75
2013-08-27,71.95,72.14,71.32,71.52,3626200,70.73
2013-08-26,72.64,72.92,72.28,72.38,2797700,71.58
2013-08-23,72.01,72.72,71.91,72.54,3215600,71.73
2013-08-22,72.04,72.74,71.83,71.97,2959400,71.17
2013-08-21,72.18,72.34,71.47,71.85,3314200,71.05
2013-08-20,71.85,72.84,71.61,72.46,3110000,71.66
2013-08-19,71.53,72.20,71.46,71.71,2794800,70.91
2013-08-16,71.15,71.98,71.00,71.43,3323600,70.64
2013-08-15,71.99,72.62,71.37,71.40,3402000,70.61
2013-08-14,73.19,73.30,72.31,72.49,3079000,71.68
2013-08-13,72.43,73.39,72.31,73.35,2627400,72.54
2013-08-12,72.41,72.59,72.01,72.39,3043300,71.59
2013-08-09,73.20,73.59,72.27,72.93,2556900,72.12
2013-08-08,73.15,73.67,72.86,73.18,2171600,72.37
2013-08-07,73.18,73.40,72.62,72.92,2807300,72.11
2013-08-06,73.18,73.37,72.53,73.24,3089500,72.43
2013-08-05,72.36,73.58,72.30,73.34,2871000,72.53
2013-08-02,73.03,73.03,71.93,72.26,3622500,71.46
2013-08-01,73.23,73.52,72.90,73.16,3254000,72.35
2013-07-31,72.47,73.66,72.47,72.85,5964700,72.04
2013-07-30,72.88,73.22,71.98,72.27,5375400,71.47
2013-07-29,72.11,72.86,71.96,72.79,3835300,71.98
2013-07-26,72.13,72.59,71.57,72.21,3826000,71.41
2013-07-25,72.08,72.62,71.70,72.62,3840600,71.81
2013-07-24,72.81,73.15,72.18,72.53,6023300,71.72
2013-07-23,72.21,72.74,71.82,72.69,3934300,71.88
2013-07-22,71.56,72.54,71.40,72.18,5038000,71.38
2013-07-19,70.61,72.09,70.16,71.45,7504900,70.66
2013-07-18,69.35,70.85,68.91,70.55,14082900,69.77
2013-07-17,67.01,67.44,65.92,66.23,8904300,65.49
2013-07-16,67.24,67.35,66.56,66.91,5459600,66.17
2013-07-15,68.13,68.19,67.46,67.62,3813600,66.87
2013-07-12,68.57,68.74,67.69,68.00,4645600,67.24
2013-07-11,68.27,68.55,67.65,68.36,6588900,67.60
2013-07-10,68.00,68.75,67.61,67.69,4383900,66.94
2013-07-09,68.02,68.45,67.29,67.97,4275700,67.21
2013-07-08,66.95,67.58,66.36,67.56,6192500,66.81
2013-07-05,65.96,66.19,65.27,66.17,2356500,65.43
2013-07-03,64.96,65.84,64.65,65.54,2271100,64.81
2013-07-02,65.43,65.66,65.05,65.27,4484800,64.54
2013-07-01,65.89,66.36,65.52,65.63,3736500,64.90
2013-06-28,65.62,66.13,65.04,65.48,6867800,64.75
2013-06-27,65.06,66.19,64.96,66.09,4483600,65.36
2013-06-26,64.03,65.06,64.02,64.78,4851700,64.06
2013-06-25,65.03,65.54,63.66,63.73,4959100,63.02
2013-06-24,63.49,65.04,63.46,64.65,5717100,63.93
2013-06-21,64.19,64.83,63.43,63.90,7806500,63.19
2013-06-20,64.80,64.82,63.65,63.80,5748300,63.09
2013-06-19,65.70,66.16,65.23,65.26,6370200,64.54
2013-06-18,64.90,65.71,64.46,65.68,5183300,64.95
2013-06-17,64.29,65.24,64.10,64.37,4975000,63.65
2013-06-14,64.13,64.45,63.59,63.80,3122600,63.09
2013-06-13,63.70,64.21,63.15,64.15,4379500,63.44
2013-06-12,64.24,64.51,63.62,63.83,3891100,62.84
2013-06-11,63.15,64.56,62.70,63.93,6063400,62.94
2013-06-10,62.58,63.90,62.57,63.68,5256600,62.70
2013-06-07,62.27,62.93,61.70,62.57,5214700,61.60
2013-06-06,61.75,61.92,60.95,61.92,4711400,60.96
2013-06-05,63.01,63.11,61.65,61.75,5380100,60.80
2013-06-04,62.60,62.99,61.92,62.36,5151100,61.40
2013-06-03,62.89,63.00,62.09,62.80,3756200,61.83
2013-05-31,64.45,64.85,62.60,62.63,5888300,61.66
2013-05-30,63.43,64.90,63.02,64.66,5671300,63.66
2013-05-29,63.32,63.55,62.81,63.35,5009100,62.37
2013-05-28,62.49,63.58,62.40,63.34,5341000,62.36
2013-05-24,62.02,62.52,61.49,62.06,4697900,61.10
2013-05-23,62.09,62.82,61.82,62.36,4479100,61.40
2013-05-22,62.00,63.27,61.53,62.28,6317500,61.32
2013-05-21,62.57,63.03,62.45,62.87,3248400,61.90
2013-05-20,62.73,62.92,62.42,62.56,2688200,61.59
2013-05-17,62.25,63.31,62.22,62.84,5840800,61.87
2013-05-16,61.30,62.35,61.20,62.14,6904800,61.18
2013-05-15,61.52,62.28,61.17,61.61,6808200,60.66
2013-05-14,62.30,62.48,61.55,61.73,5390300,60.78
2013-05-13,62.67,62.80,62.26,62.39,3490400,61.43
2013-05-10,62.04,62.99,61.81,62.91,5015700,61.94
2013-05-09,62.25,62.56,61.46,62.01,6416700,61.05
2013-05-08,60.32,62.77,60.31,62.51,10032800,61.54
