Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,34.44,34.94,34.34,34.44,779900,34.44
2014-03-27,34.91,35.16,34.28,34.34,1222300,34.34
2014-03-26,35.61,35.69,34.99,35.00,2395800,35.00
2014-03-25,35.94,35.98,35.34,35.42,1480000,35.42
2014-03-24,35.72,35.88,35.30,35.68,1643800,35.68
2014-03-21,35.89,36.09,35.60,35.65,2484900,35.65
2014-03-20,35.23,35.90,35.18,35.59,1343900,35.59
2014-03-19,35.27,35.39,34.93,35.32,1259700,35.32
2014-03-18,35.09,35.36,35.04,35.26,600700,35.26
2014-03-17,35.15,35.31,34.98,35.08,1006600,35.08
2014-03-14,35.02,35.29,34.73,34.88,2045100,34.88
2014-03-13,35.82,35.90,35.04,35.13,1339200,35.13
2014-03-12,35.36,35.86,35.25,35.67,1228200,35.67
2014-03-11,36.07,36.15,35.46,35.60,1923000,35.60
2014-03-10,35.81,36.04,35.57,36.00,1262900,36.00
2014-03-07,35.96,36.30,35.72,35.92,2134800,35.92
2014-03-06,35.54,35.97,35.47,35.66,2035700,35.66
2014-03-05,35.33,35.45,35.20,35.39,1381100,35.39
2014-03-04,35.00,35.46,34.92,35.37,1804500,35.37
2014-03-03,34.25,34.71,34.18,34.68,2334600,34.68
2014-02-28,34.39,34.93,34.36,34.78,1600000,34.78
2014-02-27,33.94,34.38,33.84,34.37,2012100,34.37
2014-02-26,33.92,34.06,33.62,34.00,1735500,34.00
2014-02-25,33.86,33.99,33.62,33.86,1167800,33.86
2014-02-24,33.54,34.10,33.52,33.90,1355400,33.90
2014-02-21,33.62,33.71,33.39,33.55,1485200,33.55
2014-02-20,33.56,33.75,33.32,33.57,1361400,33.57
2014-02-19,33.71,34.15,33.46,33.49,1663300,33.49
2014-02-18,33.64,34.12,33.55,33.88,1290500,33.88
2014-02-14,33.40,33.74,33.31,33.54,1165500,33.54
2014-02-13,33.25,33.52,33.08,33.50,2082600,33.50
2014-02-12,33.24,33.70,33.21,33.65,1586600,33.65
2014-02-11,32.67,33.29,32.67,33.19,1314300,33.19
2014-02-10,32.94,33.06,32.44,32.90,2164400,32.90
2014-02-07,32.73,33.07,32.57,32.97,1470400,32.97
2014-02-06,31.92,32.70,31.74,32.66,2483300,32.66
2014-02-05,30.99,31.93,30.91,31.83,2824000,31.83
2014-02-04,30.79,31.49,30.76,31.30,1738200,31.30
2014-02-03,32.08,32.21,30.66,30.71,2020000,30.71
2014-01-31,32.00,32.60,32.00,32.20,1484300,32.20
2014-01-30,32.18,32.74,32.05,32.67,1148400,32.67
2014-01-29,31.82,32.30,31.73,31.85,1278100,31.85
2014-01-28,32.30,32.51,32.10,32.31,1637100,32.17
2014-01-27,32.20,32.46,31.77,32.14,1437500,32.00
2014-01-24,33.10,33.11,32.16,32.16,1803100,32.02
2014-01-23,34.00,34.10,33.22,33.28,1950500,33.13
2014-01-22,34.50,34.63,34.12,34.29,889900,34.14
2014-01-21,34.64,34.64,34.17,34.36,923800,34.21
2014-01-17,34.92,34.92,34.29,34.35,898800,34.20
2014-01-16,34.74,34.75,34.43,34.56,713300,34.40
2014-01-15,34.23,34.89,34.20,34.77,1667000,34.61
2014-01-14,34.14,34.28,33.65,34.20,1748000,34.05
2014-01-13,34.55,34.73,33.86,33.96,1027900,33.81
2014-01-09,34.79,35.08,34.62,35.07,1274200,34.91
2014-01-08,34.66,34.83,34.43,34.74,1319700,34.58
2014-01-07,34.49,34.67,34.36,34.52,775800,34.37
2014-01-06,34.49,34.55,34.13,34.29,1026800,34.14
2014-01-03,34.40,34.59,34.25,34.34,852700,34.19
2014-01-02,34.93,34.99,34.26,34.33,1205800,34.18
2013-12-31,35.04,35.16,34.92,35.08,861000,34.92
2013-12-30,35.10,35.16,34.89,34.95,786600,34.79
2013-12-27,35.24,35.40,34.90,35.08,931500,34.92
2013-12-26,35.06,35.23,34.83,35.16,972700,35.00
2013-12-24,34.70,34.96,34.62,34.86,611700,34.70
2013-12-23,34.70,34.95,34.56,34.76,1152800,34.60
2013-12-20,34.34,34.48,34.08,34.38,2186000,34.23
2013-12-19,34.62,34.75,34.21,34.29,2552800,34.14
2013-12-18,34.25,34.64,33.63,34.62,2614800,34.46
2013-12-17,34.06,34.16,33.90,34.04,1813000,33.89
2013-12-16,34.02,34.39,33.98,34.13,2517200,33.98
2013-12-13,33.99,34.31,33.70,33.91,1325200,33.76
2013-12-12,34.00,34.23,33.74,33.78,1789400,33.63
2013-12-11,34.30,34.39,34.03,34.10,1568700,33.95
2013-12-10,34.18,34.53,33.97,34.30,1117100,34.15
2013-12-09,34.37,34.58,34.18,34.30,1287100,34.15
2013-12-06,33.78,34.32,33.68,34.31,1594300,34.16
2013-12-05,33.76,34.02,33.14,33.36,2464000,33.21
2013-12-04,33.35,34.01,33.34,33.91,2887700,33.76
2013-12-03,33.45,33.46,33.14,33.35,1959800,33.20
2013-12-02,33.56,34.00,33.35,33.52,1116400,33.37
2013-11-29,33.75,33.88,33.54,33.57,535400,33.42
2013-11-27,33.89,33.93,33.54,33.70,853500,33.55
2013-11-26,33.97,34.04,33.65,33.76,915400,33.61
2013-11-25,33.99,34.03,33.80,33.89,678400,33.74
2013-11-22,33.65,33.99,33.54,33.93,1079000,33.78
2013-11-21,33.34,33.74,33.09,33.64,1020800,33.49
2013-11-20,33.30,33.55,33.00,33.16,978200,33.01
2013-11-19,33.33,33.40,33.09,33.21,1057500,33.06
2013-11-18,33.33,33.68,33.24,33.31,898700,33.16
2013-11-15,33.13,33.32,32.79,33.31,1338800,33.16
2013-11-14,32.93,33.23,32.74,33.22,1294800,33.07
2013-11-13,32.57,32.95,32.34,32.80,2020400,32.65
2013-11-12,32.89,33.06,32.64,32.75,1075400,32.60
2013-11-11,33.15,33.15,32.62,32.95,1274700,32.80
2013-11-08,32.02,33.74,31.98,33.16,3432400,33.01
2013-11-07,32.51,32.73,31.92,31.95,1659200,31.81
2013-11-06,32.40,32.66,32.20,32.35,1649000,32.20
2013-11-05,33.00,33.00,32.24,32.58,3248200,32.43
2013-11-04,31.57,31.92,31.43,31.76,2511400,31.62
2013-11-01,31.79,31.85,31.48,31.51,1731500,31.37
2013-10-31,31.68,31.91,31.47,31.74,1409900,31.60
2013-10-30,31.89,32.02,31.63,31.76,1379700,31.62
