Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,183.80,184.90,183.52,184.75,1591000,184.75
2014-03-27,183.56,185.25,182.85,183.31,2133200,183.31
2014-03-26,187.86,188.09,184.30,184.31,2327700,184.31
2014-03-25,188.47,189.31,186.98,186.98,2153400,186.98
2014-03-24,187.65,188.56,185.54,188.00,2056700,188.00
2014-03-21,189.98,190.48,187.06,187.33,2868000,187.33
2014-03-20,186.44,188.75,185.86,188.73,1635600,188.73
2014-03-19,189.84,190.25,186.22,186.85,2078800,186.85
2014-03-18,187.70,190.00,187.25,189.40,1770500,189.40
2014-03-17,186.48,187.88,185.96,187.37,1732200,187.37
2014-03-14,185.46,186.43,184.20,185.14,1927600,185.14
2014-03-13,187.96,189.46,185.46,185.86,2383100,185.86
2014-03-12,184.89,187.57,184.31,187.54,1657400,187.54
2014-03-11,186.52,186.69,185.31,185.77,1427900,185.77
2014-03-10,187.27,187.54,185.50,186.22,1838900,186.22
2014-03-07,186.58,188.59,186.05,187.57,1909200,187.57
2014-03-06,184.60,187.09,184.31,185.86,1823100,185.86
2014-03-05,184.31,185.98,183.79,184.34,2215900,184.34
2014-03-04,181.80,184.83,181.14,183.85,2477700,183.85
2014-03-03,179.17,179.94,178.29,179.51,1928700,179.51
2014-02-28,178.79,181.17,178.21,180.38,2387100,180.38
2014-02-27,176.89,179.07,176.77,178.50,1475600,178.50
2014-02-26,178.00,179.00,176.76,177.21,1687400,177.21
2014-02-25,179.97,180.08,178.03,178.70,1397400,177.79
2014-02-24,179.22,181.28,178.90,179.61,1641400,178.70
2014-02-21,178.50,180.20,178.09,179.12,2051700,178.21
2014-02-20,176.07,178.49,176.01,177.87,2138100,176.96
2014-02-19,177.38,178.36,175.57,175.87,1888400,174.97
2014-02-18,180.24,180.40,177.33,178.30,2875600,177.39
2014-02-14,178.28,180.49,178.20,180.14,1908600,179.22
2014-02-13,177.68,179.19,177.45,178.64,1437000,177.73
2014-02-12,177.89,179.38,177.33,178.85,1634500,177.94
2014-02-11,175.23,178.78,175.06,177.70,2701600,176.80
2014-02-10,176.65,176.78,174.56,174.78,2582700,173.89
2014-02-07,175.79,177.58,175.48,176.90,2313600,176.00
2014-02-06,172.90,175.61,172.72,175.12,1999100,174.23
2014-02-05,172.59,173.36,171.20,172.63,2174400,171.75
2014-02-04,173.07,173.66,171.44,173.25,2027500,172.37
2014-02-03,174.60,175.81,171.12,171.74,3402500,170.87
2014-01-31,174.68,175.82,173.18,174.24,2517000,173.35
2014-01-30,174.75,177.00,174.33,176.23,2678700,175.33
2014-01-29,172.16,173.18,171.19,171.95,2762800,171.07
2014-01-28,171.42,173.98,171.32,172.80,2093600,171.92
2014-01-27,172.06,172.53,170.30,171.21,2729400,170.34
2014-01-24,172.15,175.00,170.50,171.64,3533100,170.77
2014-01-23,172.39,174.82,172.05,174.12,3676600,173.23
2014-01-22,169.08,170.00,168.10,168.50,2627300,167.64
2014-01-21,169.58,169.58,167.18,168.12,1549300,167.26
2014-01-17,167.93,168.81,167.12,167.84,2378200,166.99
2014-01-16,167.57,168.43,166.56,167.96,2418600,167.10
2014-01-15,168.89,171.38,168.83,170.15,2175900,169.28
2014-01-09,167.19,169.33,166.92,169.27,2266900,168.41
2014-01-08,167.86,169.00,166.50,166.93,2231300,166.08
2014-01-07,165.38,166.89,165.22,166.62,1567600,165.77
2014-01-06,167.17,167.61,164.97,165.16,1870600,164.32
2014-01-03,167.42,168.76,166.25,166.85,1205800,166.00
2014-01-02,168.40,169.82,166.64,167.11,2346100,166.26
2013-12-31,166.41,168.24,166.37,168.00,1427600,167.14
2013-12-30,166.10,166.71,165.33,166.05,920200,165.20
2013-12-27,166.65,167.00,165.30,166.05,674100,165.20
2013-12-26,164.37,166.61,164.35,166.42,1173100,165.57
2013-12-24,164.86,166.00,164.17,165.64,769200,164.80
2013-12-23,163.51,165.13,163.04,164.95,1290700,164.11
2013-12-20,164.23,164.88,163.25,163.60,3115900,162.77
2013-12-19,162.97,164.32,162.41,164.19,1875600,163.35
2013-12-18,161.60,163.63,160.04,163.56,2330500,162.73
2013-12-17,161.84,161.84,160.69,161.03,1490900,160.21
2013-12-16,161.37,162.63,161.28,161.70,1770300,160.88
2013-12-13,161.33,162.33,160.46,160.75,1291600,159.93
2013-12-12,160.50,161.83,160.17,160.97,1428300,160.15
2013-12-11,162.80,163.50,160.50,160.70,2120400,159.88
2013-12-10,163.69,164.81,162.38,162.76,1753300,161.93
2013-12-09,164.56,165.27,163.88,164.50,1776400,163.66
2013-12-06,163.90,165.14,163.08,164.34,1732400,163.50
2013-12-05,162.75,163.45,161.79,162.37,1843800,161.54
2013-12-04,162.07,162.86,160.02,161.39,1503600,160.57
2013-12-03,163.15,163.60,161.84,162.46,1853600,161.63
2013-12-02,162.12,164.48,162.12,163.53,2353300,162.70
2013-11-29,162.55,163.15,161.44,162.04,877600,161.21
2013-11-27,162.13,163.22,161.31,162.84,1469200,161.22
2013-11-26,162.11,162.47,161.15,161.63,1466600,160.03
2013-11-25,162.01,162.83,161.77,161.98,1288900,160.37
2013-11-22,161.27,162.09,160.54,162.02,1729600,160.41
2013-11-21,158.91,161.85,158.05,160.78,3396600,159.19
2013-11-20,158.72,159.44,157.77,158.57,1391700,157.00
2013-11-19,159.05,159.60,157.43,158.10,1724100,156.53
2013-11-18,159.59,159.91,158.78,159.30,1653800,157.72
2013-11-15,158.40,159.58,158.20,159.49,1593700,157.91
2013-11-14,158.07,158.61,157.30,158.30,2533900,156.73
2013-11-13,155.47,158.29,155.43,158.05,2085000,156.48
2013-11-12,155.82,157.23,155.77,156.66,1984300,155.11
2013-11-11,155.13,156.11,154.60,155.81,1736000,154.26
2013-11-08,153.53,155.10,152.75,155.04,2505500,153.50
2013-11-07,154.64,156.32,153.56,154.14,3132600,152.61
2013-11-06,153.86,154.62,153.61,154.25,2215100,152.72
2013-11-05,153.26,153.59,152.96,153.21,2473800,151.69
2013-11-04,153.71,153.94,153.24,153.76,1988900,152.23
2013-11-01,152.11,153.15,151.43,152.77,2693400,151.25
2013-10-31,150.68,152.27,150.30,151.40,2762700,149.90
2013-10-30,149.73,151.20,149.23,150.59,4217200,149.10
2013-10-29,152.39,152.80,149.90,150.57,3212200,149.08
2013-10-28,152.59,152.75,152.01,152.09,2368700,150.58
2013-10-25,154.18,154.23,152.31,152.36,2857000,150.85
2013-10-24,155.15,155.40,153.80,154.15,2568300,152.62
2013-10-23,154.64,155.46,153.36,154.90,2777300,153.36
2013-10-22,154.26,156.55,153.94,154.73,3293800,153.20
2013-10-21,152.10,154.11,152.07,153.90,2913600,152.37
2013-10-18,152.00,153.62,151.37,152.10,6014400,150.59
2013-10-17,156.50,156.74,150.43,151.16,7159200,149.66
2013-10-16,157.15,157.99,155.91,157.16,1805300,155.60
2013-10-15,157.04,157.46,156.22,156.31,1454300,154.76
2013-10-14,156.36,157.53,156.01,157.26,1196400,155.70
2013-10-11,157.04,158.07,156.54,157.37,1577000,155.81
2013-10-10,153.96,157.35,153.53,157.13,2107800,155.57
2013-10-09,152.61,153.05,151.66,152.41,1793100,150.90
2013-10-08,152.87,154.12,152.00,152.17,1832900,150.66
2013-10-07,152.92,153.84,152.47,152.73,1902400,151.22
2013-10-04,153.55,154.60,153.40,153.90,4186100,152.37
2013-10-03,156.12,156.17,154.36,155.38,1851500,153.84
2013-10-02,156.11,156.50,154.76,156.13,2397300,154.58
2013-10-01,155.46,157.59,155.33,156.68,1769900,155.13
2013-09-30,155.03,157.03,154.65,155.34,2029000,153.80
2013-09-27,157.42,157.70,155.73,156.59,1672900,155.04
2013-09-26,157.30,158.32,157.18,157.95,927400,156.38
2013-09-25,159.34,159.36,157.37,157.46,1503600,155.90
2013-09-24,159.00,160.29,158.04,159.24,1461500,157.66
2013-09-23,159.09,159.43,157.78,159.22,1524300,157.64
2013-09-20,160.66,161.91,159.39,159.55,1952400,157.97
2013-09-19,160.36,161.63,160.00,160.87,2015500,159.27
2013-09-18,157.41,160.15,156.76,159.50,1911400,157.92
2013-09-17,155.97,157.76,155.57,157.44,1358100,155.88
2013-09-16,156.92,157.22,156.08,156.36,1935600,154.81
2013-09-13,154.96,155.46,154.14,154.75,2325600,153.22
2013-09-12,157.25,157.45,154.95,155.00,1922200,153.46
2013-09-11,158.12,158.54,156.93,157.25,2253700,155.69
2013-09-10,157.62,158.13,157.21,157.25,1684900,155.69
2013-09-09,155.65,157.03,154.94,156.63,1328700,155.08
2013-09-06,156.52,157.40,154.81,154.92,1686900,153.38
2013-09-05,155.12,156.88,155.12,156.12,918600,154.57
2013-09-04,153.71,155.94,153.64,155.31,1144700,153.77
2013-09-03,154.90,155.81,152.62,153.74,1461100,152.22
2013-08-30,154.70,155.33,153.07,153.54,1286900,152.02
2013-08-29,153.80,155.16,153.63,154.15,1457100,152.62
2013-08-28,152.95,154.66,152.04,154.00,1672900,152.47
2013-08-27,155.12,156.06,153.53,153.59,2263900,151.28
2013-08-26,158.15,158.28,156.53,156.53,1136000,154.18
