Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,97.15,97.78,97.08,97.34,1937100,97.34
2014-03-27,96.85,97.09,96.25,97.05,2846100,97.05
2014-03-26,98.00,98.24,96.72,96.75,3253100,96.75
2014-03-25,97.60,98.01,97.32,97.65,2308300,97.65
2014-03-24,97.07,97.46,96.33,97.34,3500000,97.34
2014-03-21,97.72,98.05,96.64,96.86,4303700,96.86
2014-03-20,96.79,96.95,96.23,96.91,1941700,96.91
2014-03-19,97.54,97.99,96.38,96.95,2511300,96.95
2014-03-18,96.85,97.82,96.85,97.41,2023100,97.41
2014-03-17,96.80,97.35,96.75,96.99,2130500,96.99
2014-03-14,97.08,97.23,96.08,96.27,4129300,96.27
2014-03-13,98.82,98.93,96.58,97.10,4769500,97.10
2014-03-12,98.00,98.59,97.49,98.52,2625300,98.52
2014-03-11,99.00,99.07,98.12,98.31,2583500,98.31
2014-03-10,98.20,98.75,98.00,98.74,2630100,98.74
2014-03-07,98.26,98.80,98.00,98.22,2741400,98.22
2014-03-06,97.37,97.99,97.16,97.86,3229100,97.86
2014-03-05,97.00,97.38,96.80,97.08,2444900,97.08
2014-03-04,96.45,97.20,96.43,96.98,3310100,96.98
2014-03-03,95.26,95.80,94.81,95.78,3013500,95.78
2014-02-28,95.42,96.34,95.05,95.77,4097100,95.77
2014-02-27,95.07,95.64,94.90,95.55,2681600,95.55
2014-02-26,95.50,95.85,94.91,95.20,2915700,95.20
2014-02-25,95.99,96.19,95.25,95.45,3291400,95.45
2014-02-24,96.21,97.00,95.92,95.95,2762600,95.95
2014-02-21,95.95,96.73,95.79,96.11,3422600,96.11
2014-02-20,94.85,96.24,94.12,95.67,4908700,95.67
2014-02-19,96.03,96.37,95.03,95.18,4445200,94.51
2014-02-18,97.15,97.91,96.18,96.49,3037500,95.81
2014-02-14,96.45,97.37,96.29,97.24,3304300,96.56
2014-02-13,95.69,96.74,95.44,96.56,2376400,95.88
2014-02-12,96.15,96.76,95.87,96.03,2471300,95.35
2014-02-11,94.71,96.47,94.71,96.16,3264600,95.48
2014-02-10,95.25,95.46,94.46,94.73,4233800,94.06
2014-02-07,95.30,95.60,94.57,95.37,2889700,94.70
2014-02-06,94.15,94.93,94.01,94.74,4195600,94.07
2014-02-05,93.85,94.33,93.50,93.76,4591300,93.10
2014-02-04,94.14,94.23,93.19,93.89,3537300,93.23
2014-02-03,95.10,95.92,93.52,93.62,5448600,92.96
2014-01-31,94.47,95.97,94.02,95.23,4082600,94.56
2014-01-30,96.72,97.00,95.65,95.78,4010000,95.11
2014-01-29,95.52,96.00,94.95,95.33,4554500,94.66
2014-01-28,95.31,95.81,95.17,95.81,3881700,95.14
2014-01-27,96.14,96.62,95.01,95.17,4973700,94.50
2014-01-24,97.58,97.69,96.28,96.33,5251600,95.65
2014-01-23,98.39,98.54,97.61,97.94,4255100,97.25
2014-01-22,99.26,99.36,98.50,98.99,3234100,98.29
2014-01-21,100.46,100.59,97.54,98.57,5783200,97.88
2014-01-17,97.51,100.31,97.00,99.91,10135500,99.21
2014-01-16,100.78,101.07,100.10,100.49,2603900,99.78
2014-01-15,101.22,101.44,100.71,101.05,2027700,100.34
2014-01-14,100.36,100.99,99.63,100.93,3620300,100.22
2014-01-09,102.27,102.54,101.53,102.12,2352000,101.40
