Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,51.77,51.77,51.55,51.57,9700,51.57
2014-03-27,51.74,52.02,51.69,51.92,15200,51.92
2014-03-26,51.47,51.83,51.41,51.83,40100,51.83
2014-03-25,52.10,52.34,51.77,52.14,30400,51.37
2014-03-24,52.00,52.33,52.00,52.24,20300,51.47
2014-03-21,51.96,52.19,51.95,52.18,65400,51.41
2014-03-20,51.98,52.10,51.82,51.98,29000,51.22
2014-03-19,52.86,52.86,51.78,51.99,87000,51.23
2014-03-18,52.77,52.95,52.77,52.91,27700,52.13
2014-03-17,52.89,52.98,52.70,52.71,23100,51.93
2014-03-14,53.15,53.28,53.00,53.10,127600,52.32
2014-03-13,52.18,53.11,52.18,53.07,41800,52.29
2014-03-12,52.40,52.51,52.35,52.48,78000,51.71
2014-03-11,51.96,52.16,51.87,52.10,127600,51.33
2014-03-10,51.88,52.03,51.84,51.99,140100,51.23
2014-03-07,51.78,51.95,51.77,51.84,179800,51.08
2014-03-06,52.31,52.41,52.24,52.30,122900,51.53
2014-03-05,52.49,52.77,52.43,52.70,334900,51.92
2014-03-04,53.08,53.08,52.59,52.63,60239400,51.86
2014-03-03,53.19,53.46,53.05,53.42,631200,52.63
2014-02-28,52.75,52.99,52.61,52.93,166500,52.15
2014-02-27,52.97,53.12,52.96,53.03,302800,52.25
2014-02-26,52.61,52.92,52.60,52.89,335600,52.11
2014-02-25,52.43,52.66,52.43,52.59,288900,51.82
2014-02-24,52.35,52.39,52.16,52.25,216600,51.48
2014-02-21,52.12,52.42,52.12,52.41,384200,51.64
2014-02-20,52.28,52.34,52.07,52.25,262800,51.48
2014-02-19,52.81,52.83,52.34,52.43,304000,51.66
2014-02-18,52.45,52.72,52.45,52.61,317900,51.84
2014-02-14,52.34,52.38,52.23,52.32,307100,51.55
2014-02-13,52.30,52.46,52.26,52.41,413600,51.64
2014-02-12,52.02,52.02,51.76,51.92,677800,51.16
2014-02-11,52.27,52.32,52.14,52.19,573000,51.42
2014-02-10,52.48,52.66,52.48,52.60,334300,51.83
2014-02-07,52.42,52.71,52.39,52.52,815900,51.75
2014-02-06,52.42,52.42,52.22,52.29,514500,51.52
2014-02-05,52.76,52.81,52.51,52.55,414100,51.78
2014-02-04,52.87,52.94,52.80,52.87,1078800,52.09
2014-02-03,52.45,53.42,52.43,53.30,73322000,52.52
2014-01-31,52.51,52.61,52.42,52.61,8000,51.84
2014-01-30,52.12,52.19,52.01,52.19,6000,51.42
2014-01-29,52.13,52.47,52.04,52.28,37000,51.51
2014-01-28,51.80,51.82,51.68,51.81,31400,51.05
2014-01-27,51.81,52.02,51.67,51.69,31500,50.93
2014-01-24,52.04,52.08,51.87,51.96,10300,51.20
2014-01-23,51.37,51.67,51.35,51.57,17700,50.81
2014-01-22,50.95,51.05,50.89,50.94,9500,50.19
2014-01-21,51.17,51.20,51.13,51.17,3900,50.42
2014-01-17,51.14,51.26,51.12,51.26,2900,50.51
2014-01-16,51.01,51.11,50.99,51.06,18000,50.31
2014-01-15,50.62,50.76,50.61,50.73,11600,49.98
2014-01-14,51.06,51.06,50.85,50.85,9000,50.10
2014-01-13,51.11,51.30,51.09,51.23,17900,50.48
2014-01-10,50.74,51.00,50.72,50.96,44000,50.21
2014-01-09,50.05,50.16,49.86,50.14,56200,49.40
2014-01-08,50.02,50.03,49.83,49.87,52500,49.14
2014-01-07,50.26,50.40,50.22,50.33,6700,49.59
2014-01-06,49.98,50.21,49.98,50.16,6600,49.42
2014-01-03,49.87,50.08,49.84,49.91,71400,49.18
2014-01-02,49.74,50.04,49.74,49.95,26200,49.22
2013-12-31,49.89,49.94,49.58,49.63,16700,48.90
2013-12-30,49.93,50.05,49.93,50.03,48100,49.29
2013-12-27,49.82,49.95,49.74,49.80,8100,49.07
2013-12-26,49.82,49.84,49.82,49.84,2100,49.11
2013-12-24,50.02,50.04,49.87,49.94,4600,49.21
2013-12-23,50.44,50.44,50.28,50.29,1300,49.55
2013-12-20,50.45,50.65,50.43,50.58,13100,49.84
2013-12-19,50.30,50.37,50.21,50.37,11900,49.63
2013-12-18,50.86,51.25,50.70,50.70,22100,49.95
2013-12-17,50.89,51.13,50.89,51.11,10600,50.36
2013-12-16,51.02,51.03,50.73,50.79,3200,50.04
2013-12-13,50.82,50.92,50.81,50.82,3000,50.07
2013-12-12,50.85,50.86,50.71,50.71,5500,49.96
2013-12-11,51.21,51.33,51.02,51.02,6800,50.27
2013-12-10,51.34,51.41,51.23,51.41,3400,50.65
2013-12-09,50.99,51.04,50.95,50.99,2600,50.24
2013-12-06,50.72,51.04,50.69,50.89,40500,50.14
2013-12-05,50.89,50.99,50.74,50.74,13900,49.99
2013-12-04,51.01,51.13,50.95,51.06,35500,50.31
2013-12-03,51.56,51.70,51.46,51.47,70500,50.71
2013-12-02,51.56,51.56,51.27,51.37,94700,50.61
2013-11-29,51.67,51.80,51.62,51.79,52400,51.03
2013-11-27,51.97,51.98,51.60,51.85,9100,51.09
2013-11-26,51.99,52.17,51.99,52.09,39400,51.32
2013-11-25,51.73,51.89,51.73,51.85,5100,51.09
2013-11-22,51.56,51.80,51.56,51.75,71800,50.99
2013-11-21,51.22,51.50,51.11,51.46,44600,50.70
2013-11-20,52.01,52.19,51.39,51.41,42000,50.65
2013-11-19,52.13,52.14,51.95,51.96,21700,51.20
