Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,65.52,66.97,65.26,66.39,702900,66.39
2014-03-27,64.56,65.22,63.83,65.11,656400,65.11
2014-03-26,66.17,66.46,64.56,64.61,660900,64.61
2014-03-25,65.56,66.09,65.38,65.91,487200,65.91
2014-03-24,66.27,66.60,64.80,65.12,658300,65.12
2014-03-21,67.44,67.44,66.08,66.11,1293300,66.11
2014-03-20,66.93,67.18,66.10,67.01,672700,67.01
2014-03-19,67.69,68.31,66.66,67.20,673000,67.20
2014-03-18,66.80,67.54,66.67,67.40,927100,67.40
2014-03-17,66.49,67.29,66.22,66.73,707300,66.73
2014-03-14,65.72,66.70,65.61,66.23,606000,66.23
2014-03-13,67.35,67.35,65.61,65.79,652300,65.79
2014-03-12,66.95,67.37,66.88,66.93,809700,66.93
2014-03-11,68.49,68.77,67.20,67.48,682800,67.48
2014-03-10,68.58,68.75,67.24,68.14,624700,68.14
2014-03-07,68.42,69.18,68.14,68.85,830800,68.85
2014-03-06,68.36,68.86,67.72,67.99,726200,67.99
2014-03-05,68.88,69.22,67.93,68.20,768500,68.20
2014-03-04,69.31,69.50,68.46,69.01,840300,69.01
2014-03-03,67.54,68.55,67.34,68.36,974500,68.36
2014-02-28,67.88,68.59,67.28,67.93,811300,67.93
2014-02-27,66.95,68.45,66.95,67.93,802500,67.93
2014-02-26,65.78,68.11,65.52,66.96,1209100,66.96
2014-02-25,65.01,65.99,64.57,65.55,563800,65.55
2014-02-24,65.89,66.48,65.00,65.03,592600,65.03
2014-02-21,65.41,66.19,65.41,65.73,706900,65.73
2014-02-20,64.93,65.46,64.23,65.30,662700,65.30
2014-02-19,66.03,67.15,64.68,64.92,957300,64.87
2014-02-18,66.53,67.38,65.97,66.44,869900,66.39
2014-02-14,66.05,66.80,65.47,66.33,743500,66.28
2014-02-13,64.99,66.20,64.41,66.00,1055300,65.95
2014-02-12,65.95,66.25,65.07,65.38,719400,65.33
2014-02-11,65.11,66.09,64.55,65.54,1238300,65.49
2014-02-10,65.46,66.38,64.71,65.18,1145900,65.13
2014-02-07,66.00,66.35,63.84,64.76,2058800,64.71
2014-02-06,61.58,67.97,61.58,65.66,4067700,65.61
2014-02-05,59.88,61.39,59.45,60.19,1774900,60.14
2014-02-04,59.10,60.42,58.93,59.88,1149600,59.83
2014-02-03,61.68,62.31,58.68,59.05,1302300,59.00
2014-01-31,60.40,62.73,60.24,61.73,866200,61.68
2014-01-30,62.65,62.81,61.32,61.68,1080100,61.63
2014-01-29,60.67,62.91,60.42,62.26,1283800,62.21
2014-01-28,59.27,63.05,59.20,61.58,2675000,61.53
2014-01-27,60.14,60.14,57.86,58.04,1467800,58.00
2014-01-24,60.89,61.34,58.80,59.57,1886700,59.52
2014-01-23,60.78,62.40,60.12,61.31,1835700,61.26
2014-01-22,60.10,60.17,59.49,59.60,459100,59.55
2014-01-21,59.96,60.15,59.34,59.98,1088400,59.93
2014-01-17,59.93,59.98,59.30,59.65,841500,59.60
2014-01-16,59.60,60.27,59.32,59.91,1272500,59.86
2014-01-15,59.18,59.68,58.81,59.68,2008500,59.63
2014-01-14,58.96,59.32,58.68,59.21,1538700,59.16
2014-01-13,59.19,59.97,58.38,58.66,902000,58.61
2014-01-09,59.56,59.93,58.80,59.82,716300,59.77
2014-01-08,58.71,59.59,58.59,59.35,702000,59.30
2014-01-07,58.27,59.04,58.25,58.84,901200,58.79
2014-01-06,58.76,58.80,57.55,58.06,615500,58.02
2014-01-03,58.74,59.65,58.55,58.59,436800,58.54
2014-01-02,59.34,59.41,58.51,58.68,497000,58.63
2013-12-31,59.40,59.70,58.85,59.42,513500,59.37
2013-12-30,58.54,59.50,58.52,59.49,940900,59.44
2013-12-27,58.65,58.65,58.07,58.64,360100,58.59
2013-12-26,58.44,58.51,57.85,58.27,441900,58.23
2013-12-24,57.66,58.36,57.45,57.99,322500,57.95
2013-12-23,57.66,58.06,57.42,57.69,549400,57.65
2013-12-20,57.70,57.99,57.30,57.34,1114400,57.30
2013-12-19,57.49,57.59,56.59,57.16,447900,57.12
2013-12-18,56.46,58.07,56.15,57.74,698500,57.70
2013-12-17,56.42,56.67,55.99,56.49,496100,56.45
2013-12-16,56.36,56.98,56.14,56.71,743000,56.67
2013-12-13,56.75,56.75,55.30,56.13,864600,56.09
2013-12-12,53.87,54.55,53.65,54.41,533700,54.37
2013-12-11,54.97,55.00,53.69,53.90,662200,53.86
2013-12-10,55.47,56.09,54.90,54.96,484300,54.92
2013-12-09,55.98,56.56,55.26,55.61,591900,55.57
2013-12-06,55.12,56.87,55.12,55.92,808900,55.88
2013-12-05,54.24,54.79,53.94,54.62,588600,54.58
2013-12-04,54.92,55.41,53.55,54.45,707500,54.41
2013-12-03,56.21,56.57,54.73,55.51,426600,55.47
2013-12-02,56.56,56.92,55.77,56.56,500200,56.52
2013-11-29,57.10,57.10,56.28,56.37,341100,56.33
2013-11-27,57.44,57.79,56.94,57.11,340800,57.07
2013-11-26,57.23,57.80,57.10,57.32,494500,57.28
2013-11-25,56.67,57.87,56.60,57.43,824900,57.39
2013-11-22,56.50,57.30,56.32,56.79,896200,56.75
2013-11-21,55.68,56.75,55.68,56.35,999500,56.31
2013-11-20,55.58,55.94,55.20,55.73,644000,55.68
2013-11-19,55.40,56.49,55.27,55.69,612000,55.64
2013-11-18,57.01,57.42,55.10,55.34,639100,55.29
2013-11-15,55.93,56.84,55.85,56.80,639200,56.75
2013-11-14,56.26,56.43,55.45,55.96,534700,55.91
2013-11-13,55.31,56.33,55.23,56.06,620700,56.01
2013-11-12,56.10,56.28,55.44,55.84,582000,55.79
2013-11-11,56.49,56.69,55.81,56.28,364800,56.23
2013-11-08,55.26,56.63,54.60,56.60,672600,56.55
2013-11-07,56.63,57.34,55.18,55.35,750300,55.30
2013-11-06,56.65,56.70,55.87,56.18,699900,56.13
2013-11-05,57.80,58.44,56.03,56.44,1541000,56.39
2013-11-04,54.35,60.14,54.07,57.78,3650300,57.73
2013-11-01,53.70,54.87,52.76,53.67,1040300,53.62
2013-10-31,53.86,54.09,53.17,53.55,402800,53.50
2013-10-30,54.43,54.69,53.18,53.99,337000,53.94
2013-10-29,54.95,55.00,54.15,54.46,349800,54.41
2013-10-28,54.64,54.94,54.28,54.83,461900,54.78
2013-10-25,54.73,54.86,54.29,54.84,308400,54.79
