Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,97.32,98.32,97.09,98.10,1075700,98.10
2014-03-27,96.61,97.51,96.35,96.87,961200,96.87
2014-03-26,98.09,98.26,96.69,96.69,886700,96.69
2014-03-25,98.07,98.26,97.44,97.94,798400,97.94
2014-03-24,98.64,98.70,96.90,97.65,995400,97.65
2014-03-21,98.95,99.11,98.07,98.36,1284300,98.36
2014-03-20,96.58,98.21,95.89,98.20,1163000,98.20
2014-03-19,98.74,99.39,96.19,96.60,1374900,96.60
2014-03-18,97.60,98.68,97.36,98.67,1107900,98.67
2014-03-17,97.87,98.38,97.30,97.55,887000,97.55
2014-03-14,97.76,98.58,97.50,97.55,646100,97.55
2014-03-13,98.87,98.87,97.74,97.77,860800,97.77
2014-03-12,98.97,99.28,98.00,98.38,1323400,98.38
2014-03-11,99.05,100.02,98.85,99.29,1374300,99.29
2014-03-10,99.21,99.37,98.44,98.94,939300,98.94
2014-03-07,99.13,99.36,98.49,99.15,1375400,99.15
2014-03-06,99.55,99.77,98.73,99.23,1127800,99.23
2014-03-05,98.74,99.35,98.26,99.20,1504100,99.20
2014-03-04,97.39,98.33,97.12,98.23,1111400,98.23
2014-03-03,95.73,97.82,95.52,96.48,856300,96.48
2014-02-28,94.82,96.44,94.62,96.29,1512000,96.29
2014-02-27,94.74,95.41,94.17,94.79,892000,94.79
2014-02-26,94.05,95.02,93.79,94.63,1050100,94.63
2014-02-25,96.90,96.98,93.68,94.67,1419600,94.67
2014-02-24,94.97,95.84,94.60,94.64,1223600,94.64
2014-02-21,94.74,95.40,94.08,94.78,1264300,94.78
2014-02-20,95.73,95.98,94.64,95.03,667500,95.03
2014-02-19,95.57,96.68,95.46,95.66,615800,95.66
2014-02-18,95.88,96.06,95.01,96.05,617600,96.05
2014-02-14,95.33,96.28,95.22,95.70,593000,95.70
2014-02-13,94.71,96.19,94.53,95.43,837100,95.43
2014-02-12,94.99,95.49,94.42,95.24,652200,95.24
2014-02-11,93.79,95.37,93.52,94.89,700400,94.89
2014-02-10,92.43,94.25,92.13,93.99,781000,93.99
2014-02-07,93.21,93.79,91.61,92.38,964700,92.38
2014-02-06,91.22,92.99,91.04,92.90,1079000,92.90
2014-02-05,91.52,91.83,90.60,91.15,918500,91.15
2014-02-04,90.49,92.08,90.19,91.75,857000,91.75
2014-02-03,91.92,92.16,89.85,90.20,1085800,90.20
2014-01-31,90.85,92.40,90.42,91.83,1168300,91.83
2014-01-30,91.43,92.14,91.21,91.38,1611100,91.38
2014-01-29,90.38,91.58,89.90,90.64,1216500,90.64
2014-01-28,90.39,91.67,90.39,91.35,696800,91.35
2014-01-27,89.72,91.07,89.34,90.29,1156400,90.29
2014-01-24,91.10,91.48,89.77,90.24,918700,90.24
2014-01-23,91.81,92.18,91.39,91.73,633300,91.73
2014-01-22,92.68,93.85,92.57,93.30,625500,92.57
2014-01-21,92.19,92.70,91.68,92.28,976500,91.56
2014-01-17,92.88,92.90,91.46,91.78,791900,91.06
2014-01-16,91.99,92.74,91.87,92.57,485800,91.85
2014-01-15,91.43,92.40,91.43,92.01,632200,91.29
2014-01-14,91.04,91.80,90.85,91.52,614600,90.80
2014-01-13,91.22,92.13,90.61,90.94,700600,90.23
2014-01-09,89.97,90.50,88.63,90.45,680300,89.74
2014-01-08,90.11,90.55,89.27,89.89,629400,89.19
2014-01-07,89.24,90.67,89.15,90.50,738100,89.79
2014-01-06,89.74,89.88,88.84,89.24,708000,88.54
2014-01-03,88.64,90.02,88.28,89.57,643100,88.87
2014-01-02,89.16,89.29,87.82,88.64,783900,87.95
2013-12-31,89.75,89.88,88.55,88.79,1038700,88.10
2013-12-30,89.77,90.30,89.45,89.75,435200,89.05
2013-12-27,89.56,90.03,88.47,89.90,660800,89.20
2013-12-26,89.27,89.64,88.85,89.21,519200,88.51
2013-12-24,89.44,89.82,88.83,89.09,311200,88.39
2013-12-23,89.06,89.85,88.77,89.11,1121300,88.41
2013-12-20,88.48,89.02,88.23,88.84,1079500,88.14
2013-12-19,89.49,89.70,88.32,88.60,1059200,87.91
2013-12-18,88.26,90.11,87.15,89.90,1326500,89.20
2013-12-17,87.58,88.39,87.21,88.02,745400,87.33
2013-12-16,88.16,88.22,87.30,87.77,750400,87.08
2013-12-13,87.42,88.54,86.97,88.07,749100,87.38
2013-12-12,87.90,88.30,86.83,87.29,1561000,86.61
2013-12-11,90.50,90.50,87.61,87.86,760400,87.17
2013-12-10,90.34,90.98,90.08,90.51,956800,89.80
2013-12-09,91.00,91.11,90.00,90.49,984900,89.78
2013-12-06,90.12,90.76,89.36,90.75,755900,90.04
2013-12-05,89.15,89.90,88.27,89.64,876300,88.94
2013-12-04,88.48,89.90,88.17,89.68,920200,88.98
2013-12-03,88.11,89.49,87.94,88.98,1018900,88.28
2013-12-02,87.75,88.76,86.86,87.92,584700,87.23
2013-11-29,89.29,90.68,87.76,87.93,365100,87.24
2013-11-27,88.59,89.29,88.43,89.16,505300,88.46
2013-11-26,89.10,89.65,88.29,88.33,882400,87.64
2013-11-25,89.85,90.15,88.93,89.03,619300,88.33
2013-11-22,89.69,89.97,89.19,89.94,611900,89.24
2013-11-21,88.27,89.95,88.27,89.76,709300,89.06
2013-11-20,89.18,90.09,87.90,88.45,664300,87.76
2013-11-19,90.08,90.34,88.90,89.19,673100,88.49
2013-11-18,89.85,90.72,89.44,89.77,846800,89.07
2013-11-15,89.27,90.19,89.22,90.03,680400,89.33
2013-11-14,89.13,90.39,88.92,89.44,537100,88.74
2013-11-13,87.69,88.76,87.03,88.67,772300,87.98
2013-11-12,87.97,88.14,86.73,87.88,627100,87.19
2013-11-11,88.22,88.81,87.75,88.32,393800,87.63
2013-11-08,87.73,88.47,86.20,88.08,631800,87.39
2013-11-07,90.01,90.50,88.38,88.59,799600,87.90
2013-11-06,90.80,91.91,90.38,90.64,635700,89.21
2013-11-05,90.06,91.58,89.85,90.53,1133000,89.10
2013-11-04,90.00,90.62,89.43,90.45,1212100,89.02
2013-11-01,89.66,90.24,88.97,89.97,839400,88.55
2013-10-31,89.28,89.78,88.36,89.06,856900,87.65
2013-10-30,90.04,90.30,88.60,89.19,784100,87.78
2013-10-29,90.45,90.45,89.30,90.21,522600,88.78
2013-10-28,91.09,91.14,89.64,90.45,624400,89.02
2013-10-25,90.36,91.20,90.00,91.11,571200,89.67
2013-10-24,89.39,89.99,89.01,89.91,577500,88.49
2013-10-23,89.38,89.85,89.02,89.39,769500,87.98
2013-10-22,88.84,90.14,88.84,89.70,631300,88.28
2013-10-21,89.09,89.09,87.75,88.74,719900,87.34
2013-10-18,89.73,89.73,88.33,89.09,742000,87.68
2013-10-17,88.15,89.60,87.75,89.44,696600,88.03
2013-10-16,86.91,88.74,86.31,88.47,792200,87.07
2013-10-15,86.44,87.39,86.25,86.41,593100,85.04
2013-10-14,86.49,87.12,86.01,87.04,631500,85.66
2013-10-11,86.03,86.94,85.72,86.92,708900,85.55
2013-10-10,84.33,86.70,84.14,86.67,987400,85.30
2013-10-09,83.69,84.68,83.50,83.70,503200,82.38
2013-10-08,84.22,84.72,83.57,83.71,817000,82.39
2013-10-07,83.54,84.57,83.28,84.39,626200,83.06
2013-10-04,83.15,84.60,82.99,84.52,909100,83.18
2013-10-03,84.26,84.45,82.73,83.15,1214800,81.83
2013-10-02,84.55,85.32,83.65,84.26,999700,82.93
2013-10-01,84.23,85.77,84.00,84.72,853400,83.38
2013-09-30,84.25,85.38,83.81,84.06,970400,82.73
2013-09-27,84.76,85.08,83.72,84.41,725000,83.08
2013-09-26,84.68,85.24,84.33,85.20,705400,83.85
2013-09-25,84.63,85.65,84.08,84.40,726100,83.07
2013-09-24,86.00,86.13,84.60,84.69,826000,83.35
2013-09-23,85.79,87.07,85.69,86.03,726000,84.67
2013-09-20,88.66,88.80,86.25,86.32,1639600,84.95
2013-09-19,88.06,89.23,87.99,88.66,1281600,87.26
2013-09-18,84.80,88.39,84.04,88.12,1285500,86.73
2013-09-17,85.18,85.86,84.69,85.05,584000,83.70
2013-09-16,85.76,86.50,85.04,85.36,510500,84.01
2013-09-13,84.24,84.88,83.93,84.55,490700,83.21
2013-09-12,85.25,85.41,84.15,84.32,513300,82.99
2013-09-11,84.06,85.39,84.06,85.16,638000,83.81
2013-09-10,85.20,85.25,83.50,84.28,618100,82.95
2013-09-09,82.46,84.55,82.30,84.55,814200,83.21
2013-09-06,81.74,83.21,81.73,82.38,833600,81.08
2013-09-05,81.97,82.05,80.60,80.75,612400,79.47
2013-09-04,80.80,82.12,80.19,81.52,773400,80.23
2013-09-03,82.07,82.11,80.08,80.96,1032900,79.68
2013-08-30,82.05,82.33,81.04,81.30,717700,80.01
2013-08-29,82.30,82.30,81.00,81.80,548200,80.51
2013-08-28,83.03,83.22,82.12,82.48,732500,81.18
2013-08-27,82.07,83.13,81.53,82.88,662600,81.57
2013-08-26,82.89,83.31,82.56,82.97,517800,81.66
2013-08-23,81.96,82.98,81.60,82.96,779100,81.65
2013-08-22,81.10,82.13,80.52,81.99,659400,80.69
2013-08-21,80.87,82.36,80.13,81.06,724300,79.78
2013-08-20,79.90,81.50,79.66,81.18,841700,79.90
2013-08-19,80.98,81.33,79.56,79.58,882100,78.32
2013-08-16,82.59,83.11,81.29,81.40,2262400,80.11
2013-08-15,83.08,83.13,81.94,82.84,1008000,81.53
2013-08-14,83.03,84.07,82.50,84.02,835900,82.69
2013-08-13,83.75,83.78,82.50,83.24,746100,81.92
2013-08-12,84.86,84.86,83.15,83.75,1070700,82.43
2013-08-09,84.73,85.34,84.57,84.91,1422000,83.57
2013-08-08,84.41,85.06,84.16,84.78,1152900,83.44
2013-08-07,83.82,84.81,83.18,84.75,1332500,82.69
2013-08-06,83.62,84.39,82.78,84.05,1279800,82.01
2013-08-05,83.38,84.22,83.02,83.62,791800,81.59
2013-08-02,84.22,84.75,83.35,83.38,806400,81.35
2013-08-01,85.36,85.58,84.15,84.16,1063300,82.12
2013-07-31,86.31,86.99,83.53,84.81,1578600,82.75
2013-07-30,87.42,87.67,85.83,86.16,811800,84.07
2013-07-29,87.17,87.35,86.48,86.93,578900,84.82
2013-07-26,86.51,87.56,86.23,87.53,477900,85.40
2013-07-25,86.84,87.37,86.22,86.83,670800,84.72
2013-07-24,89.01,89.06,86.33,87.07,832000,84.95
2013-07-23,89.09,89.35,88.48,88.68,640700,86.53
2013-07-22,88.83,89.08,88.35,88.91,613800,86.75
2013-07-19,88.44,88.95,88.22,88.41,1434900,86.26
2013-07-18,87.89,88.95,87.57,88.71,481100,86.56
2013-07-17,87.84,87.99,87.36,87.57,507300,85.44
2013-07-16,87.82,88.00,87.13,87.28,589700,85.16
2013-07-15,87.08,87.81,86.26,87.77,598600,85.64
2013-07-12,87.75,87.75,86.15,86.96,575200,84.85
2013-07-11,86.70,87.62,86.19,87.51,1120100,85.38
2013-07-10,85.20,85.78,84.56,85.47,1079200,83.39
2013-07-09,85.11,85.98,84.62,85.52,1215400,83.44
2013-07-08,84.45,85.15,84.44,84.70,1549400,82.64
2013-07-05,84.03,84.50,82.98,84.44,1274500,82.39
2013-07-03,83.74,84.62,83.19,84.15,910500,82.11
2013-07-02,82.78,84.52,82.73,84.51,945300,82.46
2013-07-01,83.19,83.77,82.24,83.01,999100,80.99
2013-06-28,82.68,83.45,81.96,82.85,1504700,80.84
2013-06-27,81.18,83.02,81.10,82.93,913300,80.92
2013-06-26,79.97,80.96,79.95,80.60,1047000,78.64
2013-06-25,78.77,79.75,77.67,79.19,1234600,77.27
2013-06-24,77.40,79.84,76.19,78.14,1238300,76.24
2013-06-21,77.39,78.97,76.75,78.33,2018200,76.43
2013-06-20,80.35,80.35,76.35,76.73,1125000,74.87
2013-06-19,83.98,84.19,80.70,80.91,1069500,78.94
2013-06-18,83.14,84.48,82.73,83.99,982900,81.95
2013-06-17,83.26,84.32,82.78,83.18,1102300,81.16
2013-06-14,82.28,83.85,81.85,82.85,1288700,80.84
2013-06-13,79.31,82.61,79.31,82.51,1106200,80.51
2013-06-12,80.59,80.70,79.07,79.39,897400,77.46
2013-06-11,80.47,80.80,79.54,79.85,1264300,77.91
2013-06-10,81.60,81.90,80.72,81.10,1238000,79.13
