Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,47.63,47.93,47.15,47.42,25664400,47.42
2014-03-27,46.98,47.70,46.97,47.69,32560000,47.69
2014-03-26,47.40,47.66,47.01,47.01,24376600,47.01
2014-03-25,47.02,47.36,46.77,47.22,23581800,47.22
2014-03-24,46.81,47.10,46.38,47.01,34926100,47.01
2014-03-21,47.30,47.41,46.70,46.91,38892200,46.91
2014-03-20,46.41,47.25,46.26,47.21,31613400,47.21
2014-03-19,46.63,46.99,46.19,46.36,35065200,46.36
2014-03-18,46.32,46.75,46.20,46.70,26373700,46.70
2014-03-17,46.22,46.52,46.10,46.31,26394300,46.31
2014-03-14,45.84,46.27,45.83,46.08,27874500,46.08
2014-03-13,46.35,46.56,45.96,46.03,35184200,46.03
2014-03-12,46.57,46.61,46.13,46.36,45524200,46.36
2014-03-11,46.73,46.79,46.36,46.70,42641000,46.70
2014-03-10,46.79,47.06,46.50,47.03,32384500,47.03
2014-03-07,47.41,47.43,46.86,47.15,41073000,47.15
2014-03-06,47.46,47.53,47.25,47.46,30857100,47.46
2014-03-05,47.82,47.87,47.34,47.38,40016400,47.38
2014-03-04,47.54,48.39,47.47,47.90,52231200,47.90
2014-03-03,47.30,47.68,46.82,47.31,60287600,47.31
2014-02-28,47.45,47.76,47.21,47.58,62309000,47.58
2014-02-27,46.34,47.78,46.28,47.50,139433900,47.50
2014-02-26,46.09,46.50,45.89,46.35,102687200,46.35
2014-02-25,46.42,46.76,46.19,46.29,145797400,46.29
2014-02-24,47.02,47.20,46.23,46.23,616620500,46.23
2014-02-21,47.55,48.25,47.18,47.27,60808800,47.27
2014-02-20,46.81,48.34,46.75,48.12,48975300,48.12
2014-02-19,45.74,46.84,45.56,46.53,34094900,46.53
2014-02-18,46.47,46.50,45.45,45.98,34912800,45.98
2014-02-14,47.14,47.14,46.42,46.51,26251600,46.51
2014-02-13,47.24,47.46,47.00,47.31,18833600,47.31
2014-02-12,47.44,47.44,47.06,47.37,23453500,47.37
2014-02-11,47.04,47.37,46.91,47.21,16222300,47.21
2014-02-10,46.81,46.95,46.18,46.91,12412500,46.91
2014-02-07,46.89,46.98,46.58,46.81,13375500,46.81
2014-02-06,46.62,46.88,46.38,46.68,17564000,46.68
2014-02-05,46.73,46.90,46.31,46.69,19731700,46.69
2014-02-04,46.29,46.83,46.11,46.82,22706300,46.82
2014-02-03,48.02,48.02,46.22,46.41,36115400,46.41
2014-01-31,47.10,48.50,47.02,48.02,18536600,48.02
2014-01-30,47.77,48.09,47.55,47.63,14441900,47.63
2014-01-29,47.00,47.98,46.69,47.69,24965700,47.69
2014-01-28,47.67,47.87,47.33,47.36,16345400,47.36
2014-01-09,48.43,48.51,47.49,47.50,14567000,47.50
2014-01-08,48.69,49.07,48.36,48.50,13110700,48.50
2014-01-07,49.12,49.40,48.58,49.30,17594600,48.77
2014-01-06,48.77,49.07,48.20,48.69,16054800,48.17
2014-01-03,49.33,49.33,48.22,48.42,12022200,47.90
2014-01-02,49.08,49.23,48.95,49.00,9270200,48.47
