Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,64.48,65.68,64.42,65.36,5201300,65.36
2014-03-27,64.81,65.18,63.91,64.35,6109400,64.35
2014-03-26,66.11,66.63,63.92,64.93,10602600,64.93
2014-03-25,65.93,68.15,65.56,66.42,12812200,66.42
2014-03-24,65.14,65.42,63.07,64.31,8469200,64.31
2014-03-21,66.85,67.03,64.51,64.75,11835200,64.75
2014-03-20,66.61,66.86,66.21,66.50,3666400,66.50
2014-03-19,67.17,67.40,66.33,66.83,6265100,66.83
2014-03-18,67.25,67.40,66.75,67.20,4698000,67.20
2014-03-17,67.32,67.81,66.89,67.34,2991100,67.34
2014-03-14,66.79,67.53,66.68,67.07,4319800,67.07
2014-03-13,67.16,68.08,66.57,66.93,4709800,66.93
2014-03-12,67.74,68.67,66.75,66.93,8244400,66.93
2014-03-11,66.95,67.20,66.27,66.52,3309000,66.52
2014-03-10,67.00,67.24,66.53,66.78,4176900,66.78
2014-03-07,66.81,67.66,66.60,67.21,5941500,67.21
2014-03-06,68.86,68.92,66.64,66.71,6448800,66.71
2014-03-05,69.18,69.18,67.96,68.48,4498600,68.48
2014-03-04,68.45,69.45,68.40,69.09,7250700,69.09
2014-03-03,67.60,68.20,66.41,67.40,7405800,67.40
2014-02-28,68.16,69.84,67.26,67.95,5563500,67.95
2014-02-27,66.36,68.50,66.36,68.19,6981200,68.19
2014-02-26,66.86,67.49,66.02,66.51,5148300,66.51
2014-02-25,66.53,68.24,65.97,66.95,7113000,66.95
2014-02-24,66.46,67.25,66.41,66.52,4783800,66.52
2014-02-21,66.61,66.75,65.78,66.32,3869000,66.32
2014-02-20,65.49,67.24,65.43,66.55,6331300,66.55
2014-02-19,64.73,66.03,64.26,65.51,5787200,65.51
2014-02-18,64.86,65.35,64.25,64.54,7719400,64.54
2014-02-14,66.09,66.82,64.58,64.78,8241700,64.78
2014-02-13,64.48,67.16,64.36,66.39,11099700,66.39
2014-02-12,64.10,67.00,63.23,65.42,24541500,65.10
2014-02-11,61.02,64.71,61.00,64.20,16109200,63.89
2014-02-10,60.76,60.93,60.14,60.65,5031200,60.36
2014-02-07,59.54,60.96,59.40,60.96,9119700,60.67
2014-02-06,57.98,59.29,57.90,59.22,6594600,58.93
2014-02-05,55.53,57.93,55.27,57.85,8101600,57.57
2014-02-04,55.91,56.03,55.31,55.95,6697700,55.68
2014-02-03,57.33,57.45,55.36,55.57,10031100,55.30
2014-01-31,56.60,57.57,56.51,57.35,6977100,57.07
2014-01-30,56.73,57.74,56.72,57.26,4123300,56.98
2014-01-29,56.80,57.17,56.42,56.50,5968200,56.23
2014-01-28,57.36,57.97,57.01,57.02,3785300,56.75
2014-01-27,57.02,57.78,56.80,57.40,5535800,57.12
2014-01-24,58.05,58.54,57.23,57.23,6541600,56.95
2014-01-23,58.38,58.98,58.19,58.35,3679200,58.07
2014-01-22,59.53,60.39,58.81,58.91,7444700,58.63
2014-01-21,59.14,59.43,58.23,58.73,4611400,58.45
2014-01-17,59.75,60.00,59.12,59.16,6007000,58.88
2014-01-09,59.39,62.24,59.38,61.14,15062300,60.85
2014-01-08,57.45,59.43,57.07,59.36,10369000,59.07
2014-01-07,57.34,58.22,57.29,57.51,5804100,57.23
2014-01-06,57.16,57.93,56.71,57.14,5842700,56.86
2014-01-03,56.99,57.06,56.35,56.82,4261500,56.55
2014-01-02,57.20,57.25,56.52,56.63,5370600,56.36
2013-12-31,57.89,57.91,57.16,57.44,2949200,57.16
2013-12-30,57.46,57.85,57.13,57.84,2874300,57.56
2013-12-27,57.65,58.32,57.31,57.43,4282200,57.15
2013-12-26,57.70,57.85,57.33,57.67,2487300,57.39
2013-12-24,57.66,57.90,57.38,57.61,1967800,57.33
2013-12-23,59.30,59.30,57.26,57.54,6898300,57.26
2013-12-20,55.45,59.15,54.86,59.04,15021700,58.76
2013-12-19,57.17,57.23,56.12,56.94,6123700,56.67
2013-12-18,56.40,57.53,55.87,57.34,5900200,57.06
2013-12-17,56.93,57.08,56.25,56.25,6521800,55.98
2013-12-16,57.12,57.48,56.87,56.88,5445800,56.61
2013-12-13,57.48,57.48,56.68,57.01,4230000,56.74
2013-12-12,57.56,57.77,56.95,57.55,7672000,57.27
2013-12-11,56.75,57.98,56.56,57.68,7121300,57.40
2013-12-10,56.29,57.35,56.06,56.60,6250900,56.33
2013-12-09,56.76,56.94,56.21,56.66,3884800,56.39
2013-12-06,56.40,56.80,56.02,56.71,5285700,56.44
