Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,8.91,9.04,8.86,9.01,3676700,9.01
2014-03-27,8.83,8.95,8.82,8.87,5617900,8.87
2014-03-26,8.95,9.04,8.81,8.84,3832200,8.84
2014-03-25,9.06,9.09,8.91,8.93,4584100,8.93
2014-03-24,9.19,9.24,8.87,9.00,6902800,9.00
2014-03-21,9.30,9.34,9.13,9.17,5338600,9.17
2014-03-20,9.18,9.31,9.12,9.27,3619700,9.27
2014-03-19,9.39,9.41,9.15,9.20,5620200,9.20
2014-03-18,9.42,9.48,9.36,9.37,3673100,9.37
2014-03-17,9.30,9.42,9.27,9.37,6107900,9.37
2014-03-14,9.10,9.27,9.05,9.24,4445900,9.24
2014-03-13,9.29,9.32,9.03,9.07,7629200,9.07
2014-03-12,9.25,9.28,9.06,9.25,5355000,9.25
2014-03-11,9.41,9.50,9.25,9.27,6239800,9.27
2014-03-10,9.50,9.57,9.36,9.40,4187100,9.40
2014-03-07,9.48,9.53,9.38,9.48,7058200,9.48
2014-03-06,9.46,9.54,9.39,9.41,5157700,9.41
2014-03-05,9.48,9.59,9.41,9.46,9080000,9.46
2014-03-04,9.42,9.51,9.27,9.47,11499700,9.47
2014-03-03,9.45,9.49,9.22,9.35,10972000,9.35
2014-02-28,9.95,10.00,9.42,9.58,17621100,9.58
2014-02-27,10.09,10.14,9.75,9.94,12735600,9.94
2014-02-26,10.22,10.27,10.15,10.19,7351600,10.14
2014-02-25,10.06,10.19,10.00,10.15,10945800,10.10
2014-02-24,9.94,10.08,9.93,9.99,9841500,9.94
2014-02-21,9.95,10.14,9.87,9.90,14775300,9.85
2014-02-20,9.62,9.85,9.62,9.82,5497900,9.77
2014-02-19,9.43,9.77,9.42,9.59,6726600,9.54
2014-02-18,9.33,9.47,9.32,9.42,6012000,9.37
2014-02-14,9.38,9.48,9.28,9.33,6322700,9.28
2014-02-13,9.25,9.36,9.18,9.36,5704900,9.31
2014-02-12,9.27,9.40,9.20,9.25,13850300,9.20
2014-02-11,9.13,9.22,9.12,9.15,7253500,9.11
2014-02-10,9.16,9.22,9.08,9.09,10054100,9.05
2014-02-07,8.94,9.13,8.93,9.13,9412700,9.09
2014-02-06,8.90,8.98,8.88,8.92,6688800,8.88
2014-02-05,8.76,8.90,8.75,8.87,6722900,8.83
2014-02-04,8.81,8.90,8.77,8.83,7463800,8.79
2014-02-03,9.10,9.10,8.57,8.71,13963100,8.67
2014-01-31,9.03,9.14,8.99,9.07,5058200,9.03
2014-01-30,8.97,9.14,8.95,9.07,4082500,9.03
2014-01-29,8.91,8.98,8.86,8.90,5927700,8.86
2014-01-28,8.94,9.01,8.90,8.94,8528200,8.90
2014-01-27,9.09,9.13,8.80,8.88,8395800,8.84
2014-01-24,9.13,9.15,9.01,9.05,7580200,9.01
2014-01-23,9.15,9.23,9.09,9.22,7094500,9.17
2014-01-22,9.15,9.27,9.11,9.24,11062200,9.19
2014-01-21,9.09,9.12,9.02,9.09,6270700,9.05
2014-01-17,9.06,9.13,8.93,8.98,9992800,8.94
2014-01-16,9.05,9.20,9.00,9.07,9692400,9.03
2014-01-15,8.81,9.11,8.78,9.06,42295700,9.02
2014-01-09,8.50,8.50,8.33,8.40,5483200,8.36
2014-01-08,8.22,8.51,8.08,8.41,6599800,8.37
2014-01-07,8.40,8.51,8.36,8.47,6494800,8.43
2014-01-06,8.32,8.52,8.30,8.40,9525800,8.36
2014-01-03,8.81,8.84,8.62,8.68,3505700,8.64
2014-01-02,8.73,8.81,8.64,8.78,6453400,8.74
2013-12-31,8.66,8.75,8.62,8.72,2793800,8.68
2013-12-30,8.76,8.80,8.68,8.73,2834400,8.69
2013-12-27,8.89,8.91,8.76,8.77,3178000,8.73
2013-12-26,8.90,8.95,8.85,8.89,2332000,8.85
2013-12-24,8.78,8.95,8.74,8.86,2508200,8.82
2013-12-23,8.71,8.78,8.70,8.76,3573100,8.72
2013-12-20,8.48,8.70,8.43,8.68,8174000,8.64
2013-12-19,8.43,8.49,8.34,8.46,6212000,8.42
2013-12-18,8.35,8.45,8.28,8.45,4153500,8.41
2013-12-17,8.50,8.53,8.29,8.35,5299700,8.31
2013-12-16,8.46,8.54,8.42,8.51,4656100,8.47
2013-12-13,8.31,8.39,8.24,8.37,6020300,8.33
2013-12-12,8.34,8.42,8.17,8.20,9292300,8.16
2013-12-11,8.50,8.55,8.29,8.37,4833200,8.33
2013-12-10,8.27,8.59,8.26,8.48,5710500,8.44
2013-12-09,8.58,8.64,8.30,8.35,8305600,8.31
2013-12-06,8.60,8.65,8.50,8.55,4538600,8.51
2013-12-05,8.49,8.59,8.45,8.55,4056200,8.51
2013-12-04,8.50,8.60,8.44,8.54,4690300,8.50
2013-12-03,8.51,8.64,8.51,8.59,5140600,8.55
2013-12-02,8.57,8.75,8.53,8.59,4430800,8.55
2013-11-29,8.66,8.67,8.57,8.61,1735500,8.57
2013-11-27,8.69,8.74,8.61,8.66,3432600,8.62
2013-11-26,8.73,8.79,8.69,8.74,3494200,8.65
2013-11-25,8.77,8.84,8.69,8.70,4200600,8.61
2013-11-22,8.79,8.82,8.67,8.68,4357800,8.59
2013-11-21,8.53,8.78,8.53,8.74,5352200,8.65
2013-11-20,8.53,8.70,8.45,8.50,6352500,8.41
2013-11-19,8.67,8.67,8.46,8.50,7319900,8.41
2013-11-18,8.96,8.97,8.67,8.69,9628400,8.60
2013-11-15,8.77,8.96,8.71,8.95,10229200,8.86
2013-11-14,8.67,8.82,8.65,8.74,11171000,8.65
2013-11-13,8.58,8.70,8.51,8.64,11992500,8.55
2013-11-12,8.37,8.51,8.35,8.50,12573900,8.41
2013-11-11,8.41,8.50,8.31,8.34,10110300,8.25
2013-11-08,8.25,8.35,8.17,8.34,13955400,8.25
2013-11-07,8.35,8.38,7.85,8.05,32725000,7.96
2013-11-06,9.50,9.51,9.09,9.09,10188000,8.99
2013-11-05,9.11,9.33,9.07,9.23,15125900,9.13
2013-11-04,8.82,9.13,8.80,9.11,10763000,9.01
2013-11-01,8.73,8.78,8.70,8.73,10087400,8.64
2013-10-31,8.71,8.76,8.66,8.69,6435400,8.60
2013-10-30,8.63,8.79,8.62,8.72,8046000,8.63
2013-10-29,8.72,8.73,8.58,8.64,5184100,8.55
2013-10-28,8.71,8.83,8.69,8.69,5183500,8.60
2013-10-25,8.52,8.72,8.52,8.68,3389900,8.59
2013-10-24,8.51,8.72,8.48,8.67,5270500,8.58
2013-10-23,8.53,8.58,8.41,8.49,3349300,8.40
2013-10-22,8.65,8.68,8.50,8.60,3341700,8.51
2013-10-21,8.61,8.68,8.45,8.64,4793300,8.55
2013-10-18,8.52,8.59,8.48,8.59,3527000,8.50
2013-10-17,8.50,8.55,8.36,8.47,2865100,8.38
2013-10-16,8.43,8.53,8.40,8.50,2959200,8.41
2013-10-15,8.53,8.55,8.36,8.36,4494200,8.27
2013-10-14,8.45,8.61,8.42,8.53,2990900,8.44
2013-10-11,8.37,8.55,8.31,8.54,4985300,8.45
2013-10-10,8.25,8.37,8.20,8.35,5489100,8.26
2013-10-09,8.42,8.43,8.14,8.14,7851700,8.05
2013-10-08,8.33,8.46,8.26,8.43,8326500,8.34
2013-10-07,8.34,8.37,8.11,8.33,12160500,8.24
2013-10-04,8.50,8.51,8.32,8.34,9919700,8.25
2013-10-03,8.60,8.66,8.39,8.51,6971200,8.42
2013-10-02,8.79,8.79,8.59,8.62,9051500,8.53
2013-10-01,8.50,8.88,8.49,8.82,8507900,8.73
2013-09-30,8.43,8.55,8.35,8.48,3214800,8.39
2013-09-27,8.40,8.59,8.40,8.55,3183400,8.46
2013-09-26,8.46,8.56,8.41,8.47,5625300,8.38
2013-09-25,8.36,8.55,8.36,8.46,6335500,8.37
2013-09-24,8.24,8.44,8.22,8.34,4129200,8.25
2013-09-23,8.40,8.40,8.19,8.26,6895500,8.17
2013-09-20,8.51,8.53,8.37,8.41,4611900,8.32
2013-09-19,8.56,8.60,8.49,8.50,9068700,8.41
2013-09-18,8.52,8.60,8.45,8.48,5654700,8.39
2013-09-17,8.51,8.54,8.41,8.54,9828100,8.45
2013-09-16,8.72,8.75,8.44,8.47,9186700,8.38
2013-09-13,8.72,8.72,8.38,8.58,9662200,8.49
2013-09-12,8.50,8.71,8.41,8.62,15148800,8.53
2013-09-11,8.19,8.27,8.12,8.25,3729900,8.16
2013-09-10,8.01,8.22,7.99,8.19,6085200,8.10
2013-09-09,7.83,7.96,7.83,7.95,3807800,7.87
2013-09-06,7.87,7.91,7.69,7.84,3814300,7.76
2013-09-05,7.78,7.93,7.78,7.86,4454300,7.78
2013-09-04,7.68,7.78,7.64,7.77,7083900,7.69
2013-09-03,7.66,7.77,7.61,7.69,7585000,7.61
2013-08-30,7.76,7.76,7.54,7.56,4345200,7.48
2013-08-29,7.62,7.75,7.61,7.63,2556300,7.55
2013-08-28,7.60,7.71,7.59,7.67,3692600,7.54
2013-08-27,7.90,7.91,7.58,7.59,8587100,7.46
2013-08-26,7.95,8.08,7.91,7.98,11086200,7.84
2013-08-23,7.96,7.96,7.87,7.95,3083200,7.81
2013-08-22,7.90,7.96,7.88,7.92,2208600,7.78
2013-08-21,7.96,7.97,7.85,7.87,3252500,7.74
2013-08-20,7.77,7.99,7.76,7.93,6868900,7.79
2013-08-19,7.81,7.86,7.71,7.77,4055200,7.64
2013-08-16,7.68,7.90,7.66,7.78,3746600,7.65
2013-08-15,7.74,7.76,7.62,7.71,5097000,7.58
2013-08-14,7.91,7.92,7.70,7.81,7817500,7.68
2013-08-13,8.04,8.05,7.88,7.89,13927900,7.76
2013-08-12,7.91,8.00,7.86,7.98,6610300,7.84
2013-08-09,7.94,8.00,7.85,7.91,5624100,7.78
2013-08-08,7.88,8.00,7.85,7.87,8949700,7.74
2013-08-07,7.58,7.89,7.50,7.80,11939700,7.67
2013-08-06,7.46,7.49,7.35,7.43,6600400,7.30
2013-08-05,7.34,7.43,7.30,7.43,4341000,7.30
2013-08-02,7.30,7.42,7.27,7.33,4192100,7.21
2013-08-01,7.20,7.40,7.15,7.34,7700500,7.21
2013-07-31,7.11,7.25,7.07,7.11,6487200,6.99
2013-07-30,7.04,7.14,7.01,7.08,5938300,6.96
2013-07-29,7.14,7.20,7.03,7.07,5667200,6.95
2013-07-26,7.00,7.20,6.98,7.14,6239700,7.02
2013-07-25,7.10,7.12,6.92,7.02,6488800,6.90
2013-07-24,7.34,7.34,7.04,7.12,11393800,7.00
2013-07-23,7.25,7.60,7.06,7.23,27627000,7.11
2013-07-22,6.65,6.90,6.62,6.68,8905900,6.57
2013-07-19,6.75,6.85,6.69,6.69,3951100,6.58
2013-07-18,6.62,6.88,6.60,6.81,7542200,6.69
2013-07-17,6.53,6.66,6.52,6.62,6550000,6.51
2013-07-16,6.57,6.62,6.42,6.57,7829800,6.46
2013-07-15,6.55,6.68,6.42,6.51,4857600,6.40
2013-07-12,6.20,6.58,6.20,6.48,14507500,6.37
2013-07-11,6.14,6.18,6.11,6.13,2235900,6.03
2013-07-10,6.01,6.12,5.97,6.10,3605600,6.00
2013-07-09,5.93,6.03,5.93,6.01,3532400,5.91
2013-07-08,5.99,6.00,5.93,5.93,2481900,5.83
2013-07-05,5.86,5.93,5.85,5.93,933400,5.83
2013-07-03,5.87,5.93,5.84,5.86,1260300,5.76
2013-07-02,5.93,5.95,5.86,5.91,1623700,5.81
2013-07-01,5.89,5.95,5.86,5.91,2679000,5.81
2013-06-28,5.83,5.86,5.80,5.83,2101800,5.73
2013-06-27,5.83,5.92,5.81,5.85,2184600,5.75
2013-06-26,5.75,5.82,5.71,5.81,2440000,5.71
2013-06-25,5.70,5.79,5.65,5.72,3264700,5.62
2013-06-24,5.63,5.72,5.57,5.67,3945200,5.57
2013-06-21,5.80,5.90,5.66,5.72,3509800,5.62
2013-06-20,5.95,5.96,5.75,5.77,3446500,5.67
2013-06-19,6.00,6.03,5.95,5.98,2561800,5.88
2013-06-18,5.97,6.00,5.95,5.99,2247800,5.89
