Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,17.06,17.39,17.05,17.36,8713900,17.36
2014-03-27,16.73,17.10,16.67,16.98,4664800,16.98
2014-03-26,17.05,17.11,16.75,16.80,8436400,16.80
2014-03-25,16.95,17.06,16.94,16.98,5385500,16.98
2014-03-24,16.82,17.04,16.71,16.92,7296900,16.92
2014-03-21,16.88,16.94,16.69,16.78,16194200,16.78
2014-03-20,16.69,16.92,16.64,16.84,6201200,16.84
2014-03-19,16.66,16.86,16.59,16.74,6898400,16.74
2014-03-18,16.53,16.78,16.40,16.70,7924600,16.70
2014-03-17,16.13,16.61,16.09,16.50,9099800,16.50
2014-03-14,16.29,16.48,16.02,16.09,11822500,16.09
2014-03-13,16.57,16.70,16.15,16.28,8879200,16.28
2014-03-12,16.62,16.65,16.42,16.59,9318500,16.59
2014-03-11,17.12,17.33,16.70,16.77,6266200,16.77
2014-03-10,16.99,17.23,16.87,17.20,5507500,17.20
2014-03-07,17.33,17.53,17.05,17.07,11699000,17.07
2014-03-06,17.01,17.50,16.97,17.21,8828100,17.21
2014-03-05,16.80,17.08,16.73,16.97,7930000,16.97
2014-03-04,16.50,16.95,16.48,16.85,10493000,16.85
2014-03-03,16.10,16.45,15.96,16.26,14996700,16.26
2014-02-28,16.32,16.77,16.27,16.67,9866400,16.67
2014-02-27,16.28,16.44,15.99,16.28,13787700,16.28
2014-02-26,15.99,16.60,15.73,16.06,17572000,16.06
2014-02-25,15.59,15.66,15.28,15.58,8414700,15.58
2014-02-24,15.08,15.66,15.06,15.60,10643400,15.60
2014-02-21,15.19,15.27,14.99,15.00,4999600,15.00
2014-02-20,14.95,15.21,14.80,15.14,7590100,15.14
2014-02-19,14.80,15.06,14.78,14.95,8368100,14.95
2014-02-18,14.82,14.91,14.55,14.82,5521400,14.82
2014-02-14,14.87,14.99,14.67,14.78,6246600,14.78
2014-02-13,14.36,14.90,14.28,14.86,18979500,14.86
2014-02-12,13.95,14.69,13.95,14.44,20017200,14.44
2014-02-11,13.68,13.97,13.68,13.90,6558900,13.90
2014-02-10,13.70,13.80,13.62,13.72,4515100,13.72
2014-02-07,13.74,13.86,13.50,13.78,5977800,13.78
2014-02-06,13.44,13.71,13.41,13.64,4738200,13.64
2014-02-05,13.50,13.60,13.41,13.44,5868500,13.44
2014-02-04,13.30,13.59,13.27,13.57,8270400,13.57
2014-02-03,13.55,13.62,13.07,13.20,15251400,13.20
2014-01-31,13.13,13.59,13.12,13.54,9854600,13.54
2014-01-30,13.48,13.74,13.19,13.39,23154400,13.39
2014-01-29,13.74,13.84,13.50,13.82,15031500,13.82
2014-01-28,14.07,14.22,13.85,13.89,7627100,13.89
2014-01-27,14.04,14.20,13.81,14.06,6379600,14.06
2014-01-24,14.34,14.38,14.01,14.06,7896700,14.06
2014-01-23,14.69,14.78,14.41,14.49,5096600,14.49
2014-01-22,14.70,14.82,14.59,14.76,5101100,14.76
2014-01-21,14.77,14.80,14.50,14.65,6736600,14.65
2014-01-17,14.60,14.73,14.52,14.68,6688300,14.68
2014-01-09,14.38,14.49,14.15,14.27,6883900,14.27
2014-01-08,14.48,14.52,14.26,14.38,6934800,14.38
2014-01-07,14.73,14.74,14.40,14.51,9196800,14.51
2014-01-06,15.04,15.10,14.62,14.65,9822600,14.65
2014-01-03,15.23,15.28,15.03,15.07,4147400,15.07
2014-01-02,15.43,15.51,15.08,15.18,5204300,15.18
2013-12-31,15.40,15.51,15.35,15.49,3226400,15.49
2013-12-30,15.50,15.63,15.36,15.39,6439200,15.39
2013-12-27,15.31,15.52,15.29,15.51,4953900,15.51
2013-12-26,15.22,15.31,15.16,15.25,2428900,15.25
2013-12-24,15.02,15.34,15.01,15.24,2063200,15.24
2013-12-23,15.30,15.39,15.04,15.06,3988100,15.06
2013-12-20,14.98,15.22,14.94,15.17,7699100,15.17
2013-12-19,14.78,14.99,14.60,14.91,7299100,14.91
2013-12-18,14.62,14.81,14.44,14.77,7395600,14.77
2013-12-17,14.73,14.92,14.60,14.62,6097600,14.62
2013-12-16,14.83,14.92,14.72,14.86,4013800,14.86
2013-12-13,14.92,15.02,14.63,14.71,7749600,14.71
2013-12-12,14.81,15.11,14.75,14.99,8260600,14.99
2013-12-11,14.96,15.06,14.75,14.81,9453800,14.81
2013-12-10,15.07,15.19,14.94,14.95,4266600,14.95
2013-12-09,15.21,15.22,14.94,15.09,5319900,15.09
2013-12-06,15.29,15.40,15.10,15.19,5030000,15.19
2013-12-05,15.33,15.34,15.09,15.14,7189000,15.14
2013-12-04,15.45,15.46,15.07,15.31,8582100,15.31
2013-12-03,15.53,15.69,15.43,15.51,6280400,15.51
2013-12-02,15.60,15.70,15.41,15.62,6420500,15.62
2013-11-29,15.62,15.85,15.54,15.66,3765500,15.66
2013-11-27,15.99,16.04,15.51,15.55,7788800,15.55
2013-11-26,15.90,16.33,14.98,16.13,23667100,16.13
2013-11-25,16.11,16.11,15.78,15.95,5462800,15.95
2013-11-22,16.00,16.17,15.89,16.15,5781300,16.15
2013-11-21,16.05,16.19,15.96,16.03,6048400,16.03
2013-11-20,16.04,16.32,15.99,16.04,8658900,16.04
2013-11-19,16.64,16.68,16.01,16.04,9886300,16.04
2013-11-18,17.03,17.07,16.64,16.69,4452100,16.69
2013-11-15,17.07,17.13,16.90,17.05,6594100,17.05
2013-11-14,16.91,17.05,16.81,16.99,4197200,16.99
2013-11-13,16.80,16.89,16.65,16.89,8027100,16.89
2013-11-12,17.28,17.28,16.83,16.89,8083800,16.89
2013-11-11,17.07,17.38,17.04,17.37,5365900,17.37
2013-11-08,16.64,17.13,16.62,17.07,5337900,17.07
2013-11-07,17.04,17.15,16.61,16.68,13518500,16.68
2013-11-06,17.00,17.21,16.88,17.04,11124700,17.04
2013-11-05,16.69,17.01,16.55,16.95,23467600,16.95
2013-11-04,16.45,16.50,16.32,16.46,12754700,16.46
2013-11-01,16.40,16.49,16.29,16.37,9755600,16.37
2013-10-31,16.52,16.54,16.34,16.44,6532100,16.44
2013-10-30,16.55,16.68,16.34,16.51,12809600,16.51
2013-10-29,16.40,16.54,16.36,16.52,5812700,16.52
2013-10-28,16.25,16.47,16.21,16.41,5618900,16.41
2013-10-25,16.20,16.32,16.15,16.26,3827900,16.26
2013-10-24,16.04,16.18,15.91,16.15,8500600,16.15
2013-10-23,16.20,16.20,16.00,16.05,9558900,16.05
2013-10-22,16.30,16.43,16.12,16.35,7229800,16.35
2013-10-21,16.40,16.58,16.17,16.25,4415300,16.25
2013-10-18,16.39,16.68,16.24,16.40,7359100,16.40
2013-10-17,16.11,16.23,16.02,16.20,6168000,16.20
2013-10-16,16.03,16.16,15.92,16.10,7714800,16.10
2013-10-15,15.88,15.97,15.68,15.84,5869200,15.84
2013-10-14,15.58,16.05,15.57,15.97,7002500,15.97
2013-10-11,15.55,15.84,15.45,15.74,5666400,15.74
2013-10-10,15.45,15.61,15.36,15.55,6895900,15.55
2013-10-09,15.54,15.58,15.21,15.35,5265800,15.35
2013-10-08,16.04,16.09,15.55,15.55,5152400,15.55
2013-10-07,15.80,16.10,15.78,15.82,8596500,15.82
2013-10-04,15.71,15.95,15.65,15.89,3415200,15.89
2013-10-03,15.99,16.10,15.69,15.83,3860800,15.83
2013-10-02,15.83,16.06,15.69,15.98,6918500,15.98
2013-10-01,15.43,16.00,15.40,15.99,9880700,15.99
2013-09-30,15.07,15.51,14.95,15.33,7023300,15.33
2013-09-27,15.28,15.34,15.16,15.26,3442900,15.26
2013-09-26,15.55,15.59,15.32,15.41,4028900,15.41
2013-09-25,15.64,15.71,15.44,15.54,5093500,15.54
2013-09-24,15.28,15.78,15.15,15.66,10070200,15.66
2013-09-23,15.22,15.33,15.12,15.29,3973100,15.29
2013-09-20,15.59,15.62,15.25,15.25,5919400,15.25
2013-09-19,15.50,15.62,15.40,15.57,6751700,15.57
2013-09-18,15.32,15.50,15.23,15.42,8535100,15.42
2013-09-17,15.01,15.25,14.96,15.15,6936500,15.15
2013-09-16,15.05,15.11,14.87,14.94,7299100,14.94
2013-09-13,15.17,15.24,14.82,14.92,14767100,14.92
2013-09-12,14.87,15.01,14.63,14.97,34655100,14.97
2013-09-11,15.59,15.77,15.45,15.74,5040900,15.74
2013-09-10,15.66,15.69,15.51,15.59,3623300,15.59
2013-09-09,15.51,15.80,15.49,15.63,4769200,15.63
2013-09-06,15.72,15.75,15.44,15.49,6334200,15.49
2013-09-05,15.25,15.71,15.20,15.61,8042100,15.61
2013-09-04,15.00,15.22,14.98,15.21,6857500,15.21
2013-09-03,15.16,15.20,14.86,14.99,6133600,14.99
2013-08-30,15.00,15.04,14.83,14.91,4672200,14.91
2013-08-29,15.06,15.12,14.84,14.94,5325800,14.94
2013-08-28,14.75,15.20,14.72,15.11,6282800,15.11
2013-08-27,14.88,15.19,14.71,14.75,7365400,14.75
2013-08-26,15.19,15.22,14.90,15.03,4034200,15.03
2013-08-23,14.81,15.18,14.68,15.13,8269700,15.13
2013-08-22,14.45,14.81,14.43,14.74,3560900,14.74
