Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,98.07,100.10,97.98,99.39,2138800,99.39
2014-03-27,99.91,99.99,97.26,97.70,3509000,97.70
2014-03-26,100.46,100.77,99.00,99.91,4077200,99.91
2014-03-25,101.01,101.78,99.66,99.69,2763600,99.69
2014-03-24,100.48,102.39,100.16,100.97,3165100,100.97
2014-03-21,99.89,102.56,99.65,99.77,7619100,99.77
2014-03-20,98.87,100.40,98.40,99.71,3667000,99.71
2014-03-19,98.05,100.59,98.00,99.05,5300700,99.05
2014-03-18,95.14,97.95,95.10,97.71,4592600,97.71
2014-03-17,93.60,95.45,93.57,95.15,2861700,95.15
2014-03-14,93.02,93.79,92.84,93.35,3482500,93.35
2014-03-13,93.79,93.99,93.22,93.27,3576100,93.27
2014-03-12,92.55,94.17,92.55,93.62,2496500,93.62
2014-03-11,92.31,93.48,92.24,93.00,2712500,93.00
2014-03-10,91.36,92.29,91.36,92.24,1792100,92.24
2014-03-07,92.00,92.00,91.40,91.53,3281400,91.53
2014-03-06,90.75,92.00,90.75,91.52,2448500,91.52
2014-03-05,89.26,91.67,89.26,91.56,2733500,91.12
2014-03-04,90.12,91.41,89.99,90.81,2475000,90.38
2014-03-03,89.87,90.22,89.03,89.44,2594000,89.01
2014-02-28,89.26,91.86,89.26,90.59,3752300,90.16
2014-02-27,89.19,89.87,88.90,89.28,1967700,88.85
2014-02-26,89.61,90.49,88.99,89.15,2506600,88.72
2014-02-25,91.64,91.66,89.53,89.68,2636900,89.25
2014-02-24,88.02,91.96,88.02,90.93,3622300,90.50
2014-02-21,87.47,89.49,87.41,88.55,2944500,88.13
2014-02-20,87.77,88.21,86.99,87.71,2402800,87.29
2014-02-19,87.34,88.61,87.00,87.50,3061900,87.08
2014-02-18,87.89,89.20,87.48,87.52,3209600,87.10
2014-02-14,85.07,88.01,85.07,87.80,2434300,87.38
2014-02-13,84.03,85.67,84.03,85.31,2246200,84.90
2014-02-12,85.66,86.32,84.02,84.25,3218200,83.85
2014-02-11,84.12,86.15,84.02,85.68,2840300,85.27
2014-02-10,84.80,85.41,83.99,84.60,2913200,84.20
2014-02-07,85.95,85.95,84.25,84.68,3138000,84.27
2014-02-06,85.67,86.67,84.65,86.58,2062600,86.17
2014-02-05,85.21,86.69,84.58,85.65,2203500,85.24
2014-02-04,85.75,86.07,84.72,85.35,2026300,84.94
