Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,41.13,41.47,41.00,41.15,1630600,41.15
2014-03-27,40.57,41.10,40.41,40.90,1734300,40.90
2014-03-26,40.82,40.96,40.50,40.52,1767900,40.52
2014-03-25,40.66,40.89,40.54,40.61,2033300,40.61
2014-03-24,40.91,41.15,40.42,40.51,2856300,40.51
2014-03-21,41.43,41.51,40.71,40.73,3765400,40.73
2014-03-20,41.08,41.31,40.99,41.07,1138500,41.07
2014-03-19,41.25,41.51,40.96,41.18,1711100,41.18
2014-03-18,41.09,41.38,41.09,41.31,1355300,41.31
2014-03-17,40.92,41.10,40.89,41.06,1649200,41.06
2014-03-14,40.46,40.92,40.39,40.81,2216300,40.81
2014-03-13,40.74,40.81,40.35,40.41,1989900,40.41
2014-03-12,41.00,41.09,40.53,40.59,2662100,40.59
2014-03-11,41.35,41.47,41.07,41.26,1331700,41.26
2014-03-10,41.30,41.39,41.14,41.35,1138800,41.35
2014-03-07,41.29,41.56,41.17,41.38,1714500,41.38
2014-03-06,40.95,41.24,40.91,41.20,2087700,41.20
2014-03-05,41.40,41.51,41.19,41.34,2074200,40.97
2014-03-04,41.60,41.81,41.07,41.37,3013800,40.99
2014-03-03,40.88,41.42,40.88,41.28,2574300,40.91
2014-02-28,40.55,41.52,40.55,41.50,3542400,41.12
2014-02-27,40.83,41.09,40.45,40.58,2166400,40.21
2014-02-26,40.74,41.10,40.65,40.85,2813700,40.48
2014-02-25,41.00,41.16,40.60,40.76,2978300,40.39
2014-02-24,41.04,41.31,40.90,41.06,3222400,40.69
2014-02-21,41.08,41.29,40.83,40.99,2672200,40.62
2014-02-20,41.13,41.41,40.84,40.98,3454600,40.61
2014-02-19,41.17,41.68,40.67,41.19,4958800,40.82
2014-02-18,42.69,43.45,41.40,41.72,6161100,41.34
2014-02-14,43.22,43.78,43.01,43.67,1715900,43.27
2014-02-13,42.72,43.37,42.62,43.33,1134800,42.94
2014-02-12,42.86,43.06,42.80,42.88,1208800,42.49
2014-02-11,42.54,43.07,42.50,42.85,1643900,42.46
2014-02-10,42.84,42.85,42.37,42.64,2498300,42.25
2014-02-07,42.31,43.00,42.31,42.84,2407800,42.45
2014-02-06,41.50,42.25,41.39,42.07,2090600,41.69
2014-02-05,41.13,41.66,41.12,41.50,2167300,41.12
2014-02-04,41.15,41.37,41.08,41.29,1764600,40.92
2014-02-03,41.72,41.86,40.89,41.00,3098500,40.63
2014-01-31,41.34,41.84,41.16,41.78,2745500,41.40
2014-01-30,41.37,41.92,41.31,41.79,1863800,41.41
2014-01-29,41.15,41.46,40.86,41.07,3043600,40.70
2014-01-28,41.63,41.78,41.23,41.44,2139800,41.06
2014-01-27,41.61,41.84,41.37,41.54,2464800,41.16
2014-01-24,42.05,42.12,41.61,41.64,3029400,41.26
2014-01-23,42.49,42.51,41.91,42.31,3057400,41.93
2014-01-22,43.04,43.05,42.68,42.75,1743800,42.36
2014-01-21,43.41,43.45,42.75,42.91,1949300,42.52
2014-01-17,42.96,43.33,42.84,43.12,2450800,42.73
2014-01-16,43.11,43.19,42.75,42.86,2193200,42.47
2014-01-15,43.44,43.48,43.16,43.19,1831900,42.80
2014-01-14,43.09,43.43,43.05,43.30,1794200,42.91
2014-01-09,44.10,44.17,43.60,43.73,1637100,43.33
2014-01-08,44.09,44.14,43.78,43.99,1761800,43.59
2014-01-07,44.04,44.18,43.84,44.08,2136700,43.68
2014-01-06,44.38,44.39,43.71,43.76,1907200,43.36
2014-01-03,44.25,44.46,44.00,44.19,1463400,43.79
2014-01-02,44.79,44.80,44.10,44.20,1503800,43.80
2013-12-31,44.91,45.00,44.75,44.87,1027000,44.46
2013-12-30,44.81,44.93,44.68,44.88,1019500,44.47
2013-12-27,44.91,45.02,44.80,44.91,702900,44.50
2013-12-26,45.10,45.12,44.80,44.98,987000,44.57
2013-12-24,44.78,45.09,44.78,44.92,766300,44.51
2013-12-23,44.46,44.79,44.45,44.73,2721900,44.32
2013-12-20,43.84,44.45,43.84,44.37,3735600,43.97
2013-12-19,43.91,44.09,43.69,43.89,2048400,43.49
2013-12-18,43.58,44.03,42.95,43.99,3454600,43.59
2013-12-17,43.66,43.72,43.35,43.46,2733300,43.07
2013-12-16,43.68,43.92,43.60,43.73,3054000,43.33
2013-12-13,43.85,43.97,43.55,43.62,1997700,43.22
2013-12-12,43.70,44.13,43.55,43.81,2350600,43.41
2013-12-11,44.50,44.64,43.72,43.76,2506000,43.36
2013-12-10,44.68,44.77,44.46,44.55,2321200,44.15
2013-12-09,44.85,44.93,44.61,44.65,1716100,44.24
2013-12-06,44.82,45.05,44.74,44.83,1687300,44.42
2013-12-05,44.47,44.61,44.27,44.34,2068500,43.94
2013-12-04,44.50,44.79,44.31,44.56,2322900,44.16
2013-12-03,44.63,44.91,44.52,44.63,2221400,44.23
2013-12-02,45.27,45.36,44.89,44.95,3319300,44.54
2013-11-29,45.59,45.82,45.44,45.68,1131100,44.90
2013-11-27,45.75,45.80,45.36,45.64,1713800,44.86
2013-11-26,45.66,45.80,45.62,45.72,2082800,44.94
2013-11-25,46.22,46.38,45.53,45.67,8638400,44.89
2013-11-22,45.57,46.13,45.47,46.10,7267600,45.32
2013-11-21,45.40,45.88,45.20,45.78,6290900,45.00
2013-11-20,45.46,45.73,45.27,45.41,1530100,44.64
2013-11-19,45.32,45.54,45.15,45.34,2928500,44.57
2013-11-18,45.28,45.72,45.17,45.48,1923900,44.71
2013-11-15,44.77,45.32,44.77,45.21,2052400,44.44
2013-11-14,44.15,44.95,44.14,44.79,2175800,44.03
2013-11-13,43.75,44.18,43.35,44.18,3453100,43.43
2013-11-12,43.95,44.04,43.43,43.79,1838500,43.05
2013-11-11,44.09,44.36,43.97,44.12,1123100,43.37
2013-11-08,43.45,44.16,43.40,44.16,1461400,43.41
2013-11-07,43.82,44.04,43.36,43.38,1908400,42.64
2013-11-06,43.79,43.91,43.57,43.78,2714500,43.04
2013-11-05,43.55,43.79,43.36,43.70,1680900,42.96
2013-11-04,43.75,43.84,43.56,43.62,1967600,42.88
2013-11-01,43.52,43.83,43.44,43.69,1830800,42.95
2013-10-31,42.50,43.65,42.50,43.54,2620900,42.80
2013-10-30,43.25,43.70,42.49,42.54,3818800,41.82
2013-10-29,43.57,44.60,43.21,43.25,4017100,42.52
2013-10-28,43.63,43.87,43.37,43.61,2419800,42.87
2013-10-25,43.19,43.68,43.02,43.65,1552600,42.91
2013-10-24,43.47,43.47,42.97,43.27,1644800,42.53
2013-10-23,42.90,43.37,42.74,43.30,1904100,42.56
2013-10-22,42.62,43.06,42.58,43.01,1447300,42.28
2013-10-21,42.44,42.54,42.09,42.52,1376600,41.80
2013-10-18,42.55,42.59,42.34,42.45,1284200,41.73
2013-10-17,41.77,42.49,41.61,42.47,1768900,41.75
2013-10-16,41.72,41.99,41.55,41.98,1068300,41.27
2013-10-15,41.53,41.83,41.40,41.43,974500,40.73
2013-10-14,41.50,41.83,41.33,41.72,798700,41.01
2013-10-11,41.15,41.85,41.09,41.74,1452700,41.03
2013-10-10,40.84,41.23,40.66,41.23,1322900,40.53
2013-10-09,40.61,40.64,40.30,40.40,1277500,39.71
2013-10-08,40.76,40.89,40.46,40.49,1228400,39.80
2013-10-07,40.49,41.00,40.39,40.86,1407500,40.17
2013-10-04,40.63,40.90,40.50,40.80,1050300,40.11
2013-10-03,41.08,41.12,40.28,40.62,1419500,39.93
2013-10-02,41.40,41.40,40.90,41.22,1280200,40.52
2013-10-01,41.24,41.62,41.11,41.58,939700,40.87
2013-09-30,41.04,41.32,40.98,41.24,1309900,40.54
2013-09-27,41.49,41.56,41.13,41.39,1193700,40.69
2013-09-26,41.50,41.74,41.45,41.69,1463100,40.98
2013-09-25,41.55,41.69,41.33,41.37,1410500,40.67
2013-09-24,41.75,42.06,41.65,41.69,1450100,40.98
2013-09-23,42.00,42.20,41.72,41.85,1332300,41.14
2013-09-20,42.33,42.37,42.00,42.09,2216500,41.37
2013-09-19,42.25,42.48,42.14,42.27,1259400,41.55
2013-09-18,41.17,42.24,41.10,42.22,2229800,41.50
2013-09-17,41.40,41.47,40.90,41.19,1447000,40.49
2013-09-16,41.20,41.61,41.14,41.40,1196500,40.70
2013-09-13,41.01,41.08,40.77,40.89,1184200,40.20
2013-09-12,40.98,41.18,40.84,40.87,1282800,40.18
2013-09-11,40.72,40.99,40.57,40.91,1225700,40.21
2013-09-10,40.50,40.78,40.40,40.70,1174400,40.01
2013-09-09,40.04,40.36,40.02,40.34,1082400,39.65
2013-09-06,40.03,40.10,39.60,39.92,1639900,39.24
2013-09-05,40.00,40.15,39.83,39.85,2314000,39.17
2013-09-04,39.78,40.29,39.60,40.04,2334400,39.36
2013-09-03,40.87,40.95,39.90,40.15,2047100,39.11
2013-08-30,40.91,40.92,40.31,40.44,2003100,39.39
2013-08-29,41.00,41.24,40.83,40.92,1172400,39.86
2013-08-28,41.10,41.22,40.92,41.10,1206700,40.03
2013-08-27,41.60,41.80,41.15,41.17,2100600,40.10
2013-08-26,42.14,42.22,41.90,41.98,961300,40.89
2013-08-23,42.02,42.27,41.98,42.12,1164500,41.03
2013-08-22,41.64,42.17,41.59,41.89,1205300,40.80
2013-08-21,42.03,42.04,41.50,41.58,1415700,40.50
2013-08-20,41.73,42.38,41.54,42.12,1663800,41.03
2013-08-19,41.90,41.98,41.69,41.73,1265600,40.65
2013-08-16,41.73,42.07,41.71,41.93,1497000,40.84
2013-08-15,42.45,42.45,41.65,41.85,2937800,40.77
2013-08-14,43.52,43.52,43.03,43.12,1701000,42.00
2013-08-13,43.22,43.59,43.09,43.50,1601100,42.37
2013-08-12,43.18,43.48,43.02,43.17,1914900,42.05
2013-08-09,43.12,43.22,42.80,43.20,1280800,42.08
2013-08-08,42.85,43.23,42.76,43.09,1234100,41.97
2013-08-07,42.58,42.83,42.19,42.80,1697500,41.69
2013-08-06,42.66,42.77,42.53,42.64,1323400,41.53
2013-08-05,42.45,42.76,42.41,42.74,1445000,41.63
2013-08-02,42.54,42.72,42.24,42.60,1409700,41.50
2013-08-01,42.24,42.67,42.18,42.54,1490600,41.44
2013-07-31,41.88,42.31,41.79,42.03,1979800,40.94
2013-07-30,41.85,42.23,41.59,41.72,1606600,40.64
2013-07-29,42.04,42.10,41.77,41.85,1237500,40.77
