Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,28.99,29.27,28.93,29.18,2584800,29.18
2014-03-27,28.97,28.97,28.63,28.84,4611500,28.84
2014-03-26,29.31,29.37,28.88,28.89,2459800,28.89
2014-03-25,29.37,29.47,29.06,29.25,2475500,29.25
2014-03-24,29.33,29.35,29.10,29.23,2511100,29.23
2014-03-21,29.47,29.63,29.18,29.29,4288200,29.29
2014-03-20,29.11,29.28,28.89,29.28,3591400,29.28
2014-03-19,29.68,29.68,29.01,29.17,4369600,29.17
2014-03-18,29.37,29.62,29.27,29.61,4133500,29.61
2014-03-17,29.97,30.02,29.30,29.33,4801600,29.33
2014-03-14,29.75,30.05,29.75,29.86,3710000,29.86
2014-03-13,29.68,29.86,29.37,29.78,5842600,29.78
2014-03-12,29.49,29.75,29.49,29.60,2549300,29.60
2014-03-11,29.76,29.76,29.48,29.60,2474300,29.60
2014-03-10,29.79,29.85,29.60,29.67,3561500,29.67
2014-03-07,30.23,30.28,29.78,29.79,3323400,29.79
2014-03-06,29.84,30.29,29.84,30.16,2912000,30.16
2014-03-05,29.59,29.86,29.39,29.82,5059300,29.82
2014-03-04,29.60,29.64,29.43,29.62,5296100,29.62
2014-03-03,29.37,29.53,29.19,29.28,4772000,29.28
2014-02-28,29.55,29.65,29.32,29.51,5391600,29.51
2014-02-27,29.89,29.98,29.38,29.51,4603300,29.51
2014-02-26,29.78,30.07,29.70,29.85,3814400,29.85
2014-02-25,30.22,30.23,29.86,29.92,4589000,29.70
2014-02-24,30.19,30.43,30.18,30.21,3287000,29.99
2014-02-21,30.42,30.43,30.13,30.18,2989500,29.96
2014-02-20,30.35,30.60,30.29,30.45,2719500,30.23
2014-02-19,30.40,30.59,30.25,30.35,3485100,30.13
2014-02-18,30.44,30.55,30.30,30.51,2122700,30.29
2014-02-14,30.32,30.53,30.27,30.45,2158800,30.23
2014-02-13,30.11,30.45,30.08,30.39,2301600,30.17
2014-02-12,30.23,30.31,30.01,30.28,2673300,30.06
2014-02-11,29.97,30.24,29.84,30.19,2528200,29.97
2014-02-10,29.84,30.03,29.60,30.01,2944200,29.79
2014-02-07,29.64,29.90,29.35,29.88,3376600,29.66
2014-02-06,29.12,29.61,29.06,29.51,2923500,29.29
2014-02-05,29.32,29.33,28.84,29.07,5450700,28.86
2014-02-04,29.44,29.65,29.22,29.41,3551100,29.19
2014-02-03,29.88,30.12,29.19,29.39,4851600,29.17
2014-01-31,29.93,30.27,29.66,29.88,6995700,29.66
2014-01-30,30.75,30.89,30.58,30.77,2776700,30.54
2014-01-29,30.52,30.84,30.40,30.54,2868500,30.32
2014-01-28,30.46,31.05,30.45,30.73,3821600,30.50
2014-01-27,30.22,30.68,30.11,30.33,4263600,30.11
2014-01-24,30.41,30.62,30.16,30.19,4900300,29.97
2014-01-23,30.90,31.06,30.53,30.56,4261700,30.34
2014-01-22,31.17,31.36,31.06,31.11,2194200,30.88
2014-01-21,31.04,31.23,30.90,31.15,2417100,30.92
2014-01-17,31.23,31.25,30.90,30.97,2515700,30.74
2014-01-16,31.01,31.30,31.00,31.17,2552600,30.94
2014-01-15,30.99,31.21,30.84,31.05,2083300,30.82
2014-01-14,30.69,31.08,30.62,30.94,2140800,30.71
2014-01-09,30.98,31.05,30.67,31.00,2776000,30.77
2014-01-08,31.00,31.04,30.57,30.82,4590100,30.59
2014-01-07,30.99,31.28,30.49,31.11,4501200,30.88
2014-01-06,31.41,31.43,30.80,31.02,3340600,30.79
2014-01-03,31.18,31.59,31.18,31.34,1945900,31.11
2014-01-02,31.38,31.58,31.17,31.27,2749500,31.04
2013-12-31,31.42,31.60,31.30,31.57,2898800,31.34
2013-12-30,31.33,31.48,31.29,31.43,1852000,31.20
2013-12-27,31.46,31.46,31.17,31.30,1508200,31.07
2013-12-26,31.45,31.60,31.19,31.33,2140200,31.10
2013-12-24,31.36,31.54,31.23,31.28,1479100,31.05
2013-12-23,31.52,31.71,31.30,31.33,2971200,31.10
2013-12-20,31.24,31.62,31.18,31.40,5437900,31.17
2013-12-19,31.15,31.49,31.03,31.27,4541200,31.04
2013-12-18,30.35,31.40,30.17,31.39,9472900,31.16
2013-12-17,30.46,30.53,29.94,30.10,5354900,29.88
2013-12-16,30.19,30.61,30.09,30.61,4291900,30.38
2013-12-13,29.81,30.21,29.77,30.01,4182000,29.79
2013-12-12,29.54,29.90,29.43,29.63,3877600,29.41
2013-12-11,29.99,29.99,29.20,29.30,3198400,29.08
2013-12-10,30.02,30.35,29.94,29.99,3572700,29.77
2013-12-09,29.96,30.27,29.82,30.08,4416700,29.86
2013-12-06,29.66,29.94,29.42,29.82,2676600,29.60
2013-12-05,29.38,29.53,29.13,29.42,3641800,29.20
2013-12-04,29.34,29.44,29.01,29.41,4490800,29.19
