Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,30.50,30.68,30.32,30.62,1841400,30.62
2014-03-27,30.72,30.72,30.12,30.23,1720300,30.23
2014-03-26,30.73,30.82,30.38,30.45,1868600,30.45
2014-03-25,30.63,30.79,30.53,30.59,1657800,30.59
2014-03-24,30.64,30.75,30.47,30.47,1555900,30.47
2014-03-21,30.71,30.99,30.48,30.55,3559800,30.55
2014-03-20,30.19,30.49,30.14,30.42,945400,30.42
2014-03-19,30.53,30.57,30.13,30.29,1315200,30.29
2014-03-18,30.33,30.55,30.33,30.46,1219700,30.46
2014-03-17,30.15,30.39,30.07,30.30,1382200,30.30
2014-03-14,29.86,30.32,29.86,29.97,3104100,29.97
2014-03-13,30.43,30.54,29.88,29.92,3216000,29.92
2014-03-12,30.25,30.36,30.07,30.30,1521000,30.30
2014-03-11,30.78,30.81,30.39,30.44,1838100,30.28
2014-03-10,30.23,30.77,30.23,30.74,1859800,30.58
2014-03-07,30.84,30.96,30.55,30.70,1899700,30.54
2014-03-06,30.47,30.91,30.39,30.69,2310400,30.53
2014-03-05,30.32,30.51,30.16,30.38,2366000,30.22
2014-03-04,30.43,30.50,30.27,30.37,2113800,30.21
2014-03-03,29.98,30.21,29.98,30.11,1829700,29.95
2014-02-28,29.97,30.43,29.97,30.40,2484400,30.24
2014-02-27,29.77,30.08,29.72,29.95,1696700,29.79
2014-02-26,29.65,29.87,29.48,29.82,2247900,29.66
2014-02-25,29.67,29.74,29.43,29.57,1741900,29.41
2014-02-24,29.43,29.87,29.37,29.73,1982000,29.57
2014-02-21,29.40,29.53,29.16,29.44,1750400,29.29
2014-02-20,29.16,29.37,28.93,29.30,1019400,29.15
2014-02-19,29.28,29.55,29.06,29.09,1233500,28.94
2014-02-18,29.31,29.50,29.29,29.41,1405800,29.26
2014-02-14,28.81,29.30,28.80,29.23,1751200,29.08
2014-02-13,28.65,28.92,28.58,28.88,2938600,28.73
2014-02-12,29.12,29.15,28.85,29.00,2452000,28.85
2014-02-11,28.98,29.40,28.88,29.32,1894000,29.17
2014-02-10,28.78,29.02,28.70,28.98,1616900,28.83
2014-02-07,28.69,28.90,28.42,28.87,1721300,28.72
2014-02-06,28.11,28.60,28.07,28.56,2263300,28.41
2014-02-05,27.96,28.15,27.79,27.96,2613100,27.81
2014-02-04,28.16,28.28,27.93,28.06,2023600,27.91
2014-02-03,28.74,28.75,27.92,28.00,2449000,27.85
