Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,10.92,11.18,10.86,11.06,11247300,11.06
2014-03-27,10.85,10.97,10.76,10.91,9500400,10.91
2014-03-26,11.09,11.15,10.90,10.95,8661900,10.89
2014-03-25,11.04,11.10,10.90,11.05,13153200,10.99
2014-03-24,11.24,11.27,10.75,10.98,16510700,10.92
2014-03-21,11.15,11.25,11.03,11.20,27773100,11.14
2014-03-20,10.72,11.10,10.70,10.96,10763500,10.90
2014-03-19,10.80,10.86,10.64,10.72,8697500,10.66
2014-03-18,10.74,10.94,10.74,10.85,6798100,10.79
2014-03-17,10.64,10.75,10.63,10.72,7095600,10.66
2014-03-14,10.58,10.70,10.56,10.60,8486400,10.54
2014-03-13,10.80,10.82,10.50,10.60,10163700,10.54
2014-03-12,10.66,10.87,10.65,10.79,9521600,10.73
2014-03-11,10.85,10.91,10.71,10.73,6967400,10.67
2014-03-10,10.90,10.97,10.79,10.85,6001400,10.79
2014-03-07,11.13,11.18,10.89,10.93,9370200,10.87
2014-03-06,10.98,11.14,10.92,11.09,7654400,11.03
2014-03-05,11.04,11.11,10.90,10.92,12271700,10.86
2014-03-04,10.98,11.14,10.98,11.06,9676000,11.00
2014-03-03,10.92,10.98,10.76,10.87,9500700,10.81
2014-02-28,10.99,11.09,10.88,10.99,11799600,10.93
2014-02-27,10.71,11.09,10.71,11.00,14255700,10.94
2014-02-26,10.70,10.89,10.62,10.75,13006000,10.69
2014-02-25,10.76,10.86,10.65,10.67,10813100,10.61
2014-02-24,10.75,10.85,10.72,10.78,9069000,10.72
2014-02-21,10.75,10.81,10.72,10.74,10563900,10.68
2014-02-20,10.71,10.80,10.56,10.74,11321800,10.68
2014-02-19,10.70,10.85,10.66,10.68,11100400,10.62
2014-02-18,10.75,10.88,10.71,10.72,10638600,10.66
2014-02-14,10.76,10.83,10.71,10.72,10366800,10.66
2014-02-13,10.64,10.81,10.61,10.79,12122300,10.73
2014-02-12,10.59,10.69,10.56,10.66,13925000,10.60
2014-02-11,10.38,10.66,10.37,10.57,21942000,10.51
2014-02-10,10.39,10.45,10.35,10.40,22726600,10.34
2014-02-07,10.39,10.49,10.36,10.41,24234800,10.35
2014-02-06,10.33,10.42,10.30,10.35,17432400,10.29
2014-02-05,10.36,10.44,10.26,10.30,12544200,10.24
2014-02-04,10.42,10.46,10.31,10.38,15979400,10.32
2014-02-03,10.88,10.93,10.36,10.41,20896100,10.35
2014-01-31,11.01,11.12,10.79,10.85,28771500,10.79
2014-01-30,10.67,11.10,10.66,11.05,25426100,10.99
2014-01-29,10.76,10.87,10.57,10.61,18259100,10.55
2014-01-28,10.78,10.93,10.73,10.88,21782200,10.82
2014-01-27,11.10,11.12,10.56,10.61,25104900,10.55
2014-01-24,11.54,11.69,11.08,11.24,35529500,11.18
2014-01-23,11.97,12.00,11.67,11.76,23361800,11.69
2014-01-22,12.20,12.30,11.98,12.06,15029800,11.99
2014-01-21,12.27,12.34,12.11,12.14,8009400,12.07
2014-01-17,12.42,12.44,12.16,12.20,8543400,12.13
2014-01-16,12.39,12.65,12.39,12.44,12245800,12.37
2014-01-15,12.25,12.45,12.25,12.39,6823600,12.32
2014-01-09,12.10,12.15,11.92,12.05,6397800,11.98
2014-01-08,12.20,12.21,12.03,12.08,7833400,12.01
2014-01-07,12.11,12.23,12.09,12.19,15382300,12.12
2014-01-06,12.04,12.14,11.98,12.09,14906800,12.02
2014-01-03,11.93,12.04,11.85,11.99,7282600,11.92
2014-01-02,12.09,12.11,11.77,11.91,10481400,11.84
2013-12-31,12.20,12.25,12.11,12.17,5358300,12.10
2013-12-30,12.19,12.19,12.08,12.15,3846700,12.08
2013-12-27,12.23,12.25,12.16,12.20,3749700,12.13
2013-12-26,12.19,12.28,12.17,12.23,4588000,12.10
2013-12-24,12.07,12.20,12.05,12.18,3597600,12.05
2013-12-23,11.95,12.08,11.88,12.03,7032200,11.90
2013-12-20,11.78,11.95,11.71,11.88,11671300,11.76
2013-12-19,11.76,11.85,11.68,11.78,7680200,11.66
2013-12-18,11.49,11.76,11.36,11.75,14050700,11.63
2013-12-17,11.49,11.59,11.43,11.49,7520400,11.37
2013-12-16,11.37,11.54,11.34,11.51,6755700,11.39
2013-12-13,11.20,11.38,11.11,11.33,7057300,11.21
2013-12-12,11.17,11.26,11.06,11.20,6625300,11.08
2013-12-11,11.50,11.50,11.13,11.16,10702900,11.04
2013-12-10,11.25,11.51,11.19,11.47,8602600,11.35
2013-12-09,11.32,11.48,11.31,11.44,6709300,11.32
2013-12-06,11.15,11.33,11.09,11.28,8152800,11.16
2013-12-05,11.12,11.23,10.99,11.04,10128100,10.92
2013-12-04,11.26,11.27,11.06,11.08,13875100,10.96
2013-12-03,11.47,11.56,11.22,11.31,14396500,11.19
2013-12-02,11.37,11.70,11.31,11.54,11944400,11.42
2013-11-29,11.35,11.48,11.33,11.38,3980100,11.26
2013-11-27,11.30,11.37,11.21,11.29,6717000,11.17
2013-11-26,11.24,11.41,11.20,11.26,11569400,11.14
2013-11-25,11.23,11.27,11.13,11.23,8101300,11.11
2013-11-22,11.09,11.23,10.98,11.22,11094300,11.10
2013-11-21,11.08,11.16,11.00,11.07,13521600,10.95
2013-11-20,11.19,11.19,10.83,10.98,14915800,10.87
2013-11-19,11.11,11.26,11.10,11.22,11570400,11.10
2013-11-18,11.03,11.18,11.03,11.09,10258500,10.97
2013-11-15,11.00,11.08,10.96,11.04,8204500,10.92
2013-11-14,11.06,11.10,10.88,11.03,10931400,10.91
