Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,73.49,74.44,73.41,74.20,2258100,74.20
2014-03-27,73.95,74.13,72.23,73.20,3924900,73.20
2014-03-26,74.03,74.65,73.89,74.17,3356900,74.17
2014-03-25,74.93,74.97,73.57,73.78,2863700,73.78
2014-03-24,75.22,75.28,74.18,74.53,2097100,74.53
2014-03-21,76.00,76.70,75.23,75.27,2980700,75.27
2014-03-20,74.48,75.56,74.17,75.25,2898400,75.25
2014-03-19,75.28,75.54,73.67,74.20,1994400,74.20
2014-03-18,75.18,75.71,74.93,75.06,1942900,75.06
2014-03-17,75.42,75.79,74.93,75.12,3192300,75.12
2014-03-14,75.40,76.20,75.03,75.08,3323400,75.08
2014-03-13,77.24,77.50,75.60,75.83,2356500,75.83
2014-03-12,77.02,77.34,76.83,77.12,1995000,77.12
2014-03-11,77.35,77.95,77.00,77.33,2336400,77.33
2014-03-10,76.89,77.44,76.53,77.40,2419700,77.40
2014-03-07,77.38,77.69,76.51,77.16,2955800,77.16
2014-03-06,75.76,77.75,75.75,77.29,5267600,77.29
2014-03-05,74.93,74.96,74.33,74.81,1943100,74.81
2014-03-04,74.49,74.89,74.36,74.64,2666200,74.64
2014-03-03,73.34,73.76,72.70,73.61,2419000,73.61
2014-02-28,73.83,74.34,73.40,74.08,2375500,74.08
2014-02-27,73.39,74.17,73.38,73.79,2142400,73.79
2014-02-26,73.35,73.74,73.04,73.39,2520700,73.39
2014-02-25,73.00,73.80,72.52,73.28,2259000,73.28
2014-02-24,72.87,73.40,72.74,72.97,1799600,72.97
2014-02-21,72.94,73.22,72.37,72.85,2099800,72.85
2014-02-20,72.90,73.32,72.45,72.98,1986200,72.98
2014-02-19,73.54,74.06,72.77,72.82,2245400,72.82
2014-02-18,73.40,73.74,72.97,73.24,2810500,73.24
2014-02-14,73.50,73.90,73.10,73.42,2894100,73.42
2014-02-13,73.05,73.89,72.86,73.82,2212800,73.82
2014-02-12,73.34,73.76,73.23,73.51,3034100,73.51
2014-02-11,72.95,73.63,72.70,73.21,3586400,73.21
2014-02-10,72.00,72.80,71.67,72.76,3632300,72.76
2014-02-07,71.59,72.44,71.45,71.73,2850500,71.73
2014-02-06,70.69,71.86,70.55,71.17,3405400,71.17
2014-02-05,71.75,71.75,69.84,70.54,5688000,70.54
2014-02-04,71.59,72.58,70.55,72.06,14147200,72.06
2014-02-03,67.36,68.06,65.84,66.16,6752200,66.16
2014-01-31,66.13,67.59,65.83,67.15,5387300,67.15
2014-01-30,66.85,66.98,66.17,66.60,4370800,66.60
2014-01-29,67.75,67.92,65.87,66.51,6878700,66.51
2014-01-28,68.09,68.60,67.85,68.20,3121300,68.20
2014-01-27,68.79,68.91,67.06,67.84,4665400,67.84
2014-01-09,74.91,75.50,74.75,75.05,3773100,74.68
2014-01-08,76.68,77.33,76.21,76.53,4448600,76.15
2014-01-07,76.89,77.21,76.43,76.56,3619700,76.18
2014-01-06,75.52,76.14,75.29,75.50,2935800,75.12
2014-01-03,75.46,76.10,75.00,75.56,1457100,75.18
2014-01-02,75.38,75.61,74.83,75.09,1956300,74.72
2013-12-31,75.00,76.41,75.00,75.61,2132900,75.23
2013-12-30,73.85,74.97,73.84,74.92,1953300,74.55
2013-12-27,74.41,74.41,73.56,73.87,872300,73.50
2013-12-26,74.12,74.40,73.92,74.11,812600,73.74
2013-12-24,73.96,74.19,73.63,74.10,708100,73.73
2013-12-23,73.50,74.00,72.81,73.97,1820200,73.60
2013-12-20,72.85,73.79,72.77,73.39,3100300,73.02
2013-12-19,72.48,72.93,71.78,72.75,2697700,72.39
