Date,Open,High,Low,Close,Volume,Adj Close
2014-03-28,93.01,94.32,92.89,93.71,735200,93.71
2014-03-27,92.67,92.93,91.63,92.76,853000,92.76
2014-03-26,93.15,93.93,92.59,92.59,740500,92.59
2014-03-25,92.56,93.28,92.05,92.98,957700,92.76
2014-03-24,94.00,94.11,91.42,92.06,1335900,91.84
2014-03-21,95.52,95.65,93.32,93.54,1229700,93.32
2014-03-20,94.67,94.91,94.09,94.77,709200,94.55
2014-03-19,95.00,96.06,94.24,94.73,679000,94.51
2014-03-18,94.37,95.27,94.07,95.19,847800,94.96
2014-03-17,94.26,94.81,93.86,94.31,974200,94.09
2014-03-14,94.70,95.81,94.10,94.15,1833300,93.93
2014-03-13,97.07,97.59,94.38,94.45,2717200,94.23
2014-03-12,96.45,97.71,96.45,96.81,1935800,96.58
2014-03-11,98.37,98.95,97.63,97.86,1021700,97.63
2014-03-10,97.95,98.38,97.75,98.35,678900,98.12
2014-03-07,98.56,98.75,97.32,98.06,1152000,97.83
2014-03-06,97.20,98.87,97.19,98.25,1480900,98.02
2014-03-05,96.78,97.40,96.28,97.16,1097500,96.93
2014-03-04,95.57,97.37,95.56,97.05,1473000,96.82
2014-03-03,92.96,95.10,92.77,94.40,1395900,94.18
2014-02-28,95.47,95.77,93.45,93.84,1780400,93.62
2014-02-27,95.12,95.49,94.51,95.25,737500,95.02
2014-02-26,95.12,95.69,94.93,95.20,902500,94.97
2014-02-25,95.29,96.17,94.74,95.08,1064500,94.86
2014-02-24,95.51,96.49,95.51,95.59,749800,95.36
2014-02-21,95.17,96.14,94.76,95.40,1323700,95.17
2014-02-20,94.98,95.51,94.45,95.30,1821700,95.07
2014-02-19,95.73,96.37,94.67,94.70,1269500,94.48
2014-02-18,96.35,96.85,95.84,96.00,1261500,95.77
2014-02-14,96.15,96.57,95.52,96.07,971500,95.84
2014-02-13,94.91,96.21,94.75,96.12,898900,95.89
2014-02-12,95.55,95.99,94.45,95.40,989200,95.17
2014-02-11,95.27,95.86,94.92,95.74,1091400,95.51
2014-02-10,94.08,95.69,94.08,95.55,1368800,95.32
2014-02-07,92.81,94.63,92.65,94.49,1170600,94.27
2014-02-06,92.03,92.75,91.87,92.55,883600,92.33
2014-02-05,91.01,92.51,90.78,92.18,1190300,91.96
2014-02-04,91.33,91.78,90.80,91.32,1142400,91.10
2014-02-03,94.00,94.19,90.77,90.87,1181200,90.65
2014-01-31,93.49,94.42,92.50,93.97,1473500,93.75
2014-01-30,93.74,95.38,92.90,93.04,1909000,92.82
2014-01-29,93.39,94.33,92.92,93.22,1474100,93.00
2014-01-28,93.40,94.93,93.32,94.28,1059100,94.06
2014-01-27,93.53,94.09,92.50,93.21,969100,92.99
2014-01-24,94.40,94.96,93.24,93.36,1034300,93.14
2014-01-23,96.37,96.89,94.84,95.38,996000,95.15
2014-01-22,96.47,96.69,95.76,96.41,741900,96.18
2014-01-21,97.44,97.72,95.73,96.45,837800,96.22
2014-01-17,96.98,96.99,95.64,95.93,1083500,95.70
2014-01-16,97.80,97.82,96.92,97.05,873100,96.82
2014-01-15,96.95,97.86,96.43,97.71,982300,97.48
2014-01-14,96.14,96.92,95.76,96.80,716300,96.57
2014-01-13,96.61,97.12,95.40,95.65,1013800,95.42
2014-01-09,97.50,97.61,96.33,96.47,1351500,96.24
2014-01-08,95.81,97.48,95.48,97.43,1880500,97.20
2014-01-07,93.42,95.12,93.42,95.10,1852600,94.87
2014-01-06,93.79,94.00,92.93,93.24,1414900,93.02
2014-01-03,92.58,93.89,92.41,92.64,1288200,92.42
2014-01-02,92.63,92.82,91.97,92.24,868800,92.02
2013-12-31,93.50,93.65,92.88,93.19,650000,92.97
2013-12-30,93.24,93.41,92.90,93.20,623200,92.98
2013-12-27,93.33,93.54,92.92,93.24,360300,93.02
2013-12-26,93.14,93.70,93.03,93.43,288800,93.21
2013-12-24,93.00,93.48,92.76,93.10,395800,92.88
2013-12-23,93.12,93.53,92.73,93.43,635700,93.01
