Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,140.08,141,139.75,140.46,3382700,140.46
1/16/2014,140.33,141.45,140.07,140.21,3062900,140.21
1/15/2014,140.3,141.08,140.14,140.62,3030800,140.62
1/14/2014,140.85,141.7,137.8,140.01,8441600,140.01
1/13/2014,141.55,142.14,140.38,140.7,4462400,140.7
1/10/2014,142.79,142.8,140.9,141.9,4549500,141.9
1/9/2014,141.51,142.52,140.54,142.13,4052500,142.13
1/8/2014,140.69,141.4,139.36,140.82,4236100,140.82
1/7/2014,138.58,141.1,138.5,140.51,4238500,140.51
1/6/2014,139.4,139.76,137.8,138.41,4196500,138.41
1/3/2014,137.06,138.5,137.05,137.62,3177400,137.62
1/2/2014,136.01,137.25,135.51,136.67,3366700,136.67
12/31/2013,136.16,137.05,135.74,136.49,2096000,136.49
12/30/2013,137.16,137.37,135.54,135.92,2403500,135.92
12/27/2013,138.69,138.88,136.79,136.9,2204600,136.9
12/26/2013,137.18,138.59,137.17,138.27,2161300,138.27
12/24/2013,136.4,136.98,136.14,136.83,1203200,136.83
12/23/2013,137.69,138.09,136.32,136.4,2945100,136.4
12/20/2013,135.49,137.85,135.49,136.67,5454600,136.67
12/19/2013,135,136.23,133.94,135.17,3177100,135.17
12/18/2013,135.86,136.44,132.84,135.49,5632400,135.49
12/17/2013,137.92,138.1,135.36,135.88,6735500,135.88
12/16/2013,134.27,135.2,133.94,134.72,3797000,134.72
12/13/2013,133.45,134.25,133.14,133.83,3139400,133.83
12/12/2013,132.11,133.65,131.9,132.96,3617000,132.96
12/11/2013,133.7,133.81,132.44,132.56,3323000,132.56
12/10/2013,133.65,135.04,132.18,133.7,4061300,133.7
12/9/2013,135.49,135.95,134.57,134.68,3799000,134.68
12/6/2013,134.58,135.75,134,135.18,5341800,135.18
12/5/2013,131.26,133.1,131.25,132.73,3580100,132.73
12/4/2013,131.73,132.15,130.55,131.5,5137100,131.5
12/3/2013,133.93,133.93,131.92,132,5171900,132
12/2/2013,134.99,135.46,133.62,134.16,3378100,134.16
11/29/2013,134.82,135.23,134.18,134.25,1680900,134.25
11/27/2013,135.05,136.3,134.17,134.72,3350900,134.72
11/26/2013,133,135.44,132.56,134.78,4200800,134.78
11/25/2013,134.01,134.86,130.58,133,7181700,133
11/22/2013,133.49,136.12,133.43,135.97,4290200,135.97
11/21/2013,132.45,133.29,131.2,132.93,4700600,132.93
11/20/2013,135.8,135.89,132.29,132.45,8634900,132.45
11/19/2013,138.5,138.79,136.7,136.98,3954000,136.98
11/18/2013,140.25,142,137.77,138.36,8158800,138.36
11/15/2013,135.36,136.57,134.54,136.08,4495100,136.08
11/14/2013,133.7,135.38,133.17,135.09,3279600,135.09
11/13/2013,131.92,133.49,131.1,133.17,3577100,133.17
11/12/2013,132.4,133.08,131.97,132.33,2851000,132.33
11/11/2013,133.14,133.33,132.12,132.53,2962200,132.53
11/8/2013,131.28,133.9,130.95,133.49,4790900,133.49
11/7/2013,133.44,133.93,131.35,131.51,3826800,131.51
11/6/2013,134.02,134.58,132.68,133.09,3747700,133.09
11/5/2013,132.03,133.74,130.59,133.57,4069200,133.09
11/4/2013,133.75,133.99,132.46,132.79,3915800,132.31
11/1/2013,130.9,133.5,130.9,133.03,4582400,132.55
10/31/2013,129.84,131.88,129.55,130.5,4931800,130.03
10/30/2013,129.56,131.43,129.02,129.68,4122100,129.21
10/29/2013,129.35,129.88,128.76,129.66,3608700,129.19
10/28/2013,128.75,130.47,128.64,129.88,4655800,129.41
10/25/2013,129.25,131.43,128.22,131.19,5467600,130.71
10/24/2013,129.01,129.57,127.94,128.98,4976200,128.51
10/23/2013,126,129.99,125.9,129.02,10766300,128.55
10/22/2013,122,123.8,121.88,122.48,4431200,122.04
10/21/2013,122.69,122.74,121.06,121.47,3207900,121.03
10/18/2013,122.5,122.86,121.25,122.52,3924200,122.08
10/17/2013,119.81,122.39,119.81,122.29,4114200,121.85
10/16/2013,118.78,120.66,118.75,120.34,4036900,119.9
10/15/2013,119.42,119.59,118.14,118.18,2749700,117.75
10/14/2013,117.42,119.55,116.69,119.46,3617800,119.03
10/11/2013,118.6,119.4,117.83,117.98,4505500,117.55
