Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,92.15,92.26,91.01,91.44,6833400,91.44
1/16/2014,91.89,92.86,91.7,92.01,4771000,92.01
1/15/2014,90.88,93.2,90.88,92.41,10121900,91.81
1/14/2014,89.86,90.71,89.86,90.56,3712100,89.97
1/13/2014,90.26,91.26,89.82,89.89,5213600,89.31
1/10/2014,89.41,90.6,89.29,90.51,5416000,89.92
1/9/2014,89.26,89.8,88.69,89.71,4466400,89.13
1/8/2014,88.78,89.82,88.67,89.14,4421600,88.56
1/7/2014,88.77,89.23,88.75,88.93,3512100,88.35
1/6/2014,90.19,90.3,88.38,88.64,5233900,88.06
1/3/2014,90,90.25,89.59,89.82,3722000,89.24
1/2/2014,90.41,90.45,89.33,89.87,4898000,89.29
12/31/2013,91,91.18,90.46,90.81,3098900,90.22
12/30/2013,90.85,91.03,90.28,90.87,2625000,90.28
12/27/2013,91.14,91.43,90.56,90.87,3373800,90.28
12/26/2013,90.99,91.67,90.7,91.15,4790800,90.56
12/24/2013,90,90.98,89.99,90.91,2675700,90.32
12/23/2013,89.31,90.07,89.27,89.96,5733300,89.38
12/20/2013,87.85,89.11,87.81,88.93,7389700,88.35
12/19/2013,87.5,87.84,87.26,87.54,4299700,86.97
12/18/2013,87.01,88.46,86.65,88.17,6963200,87.6
12/17/2013,87.22,87.65,86.38,86.92,4764400,86.36
12/16/2013,86.5,87.85,86.44,87.38,6976200,86.81
12/13/2013,85.67,86.23,85.57,86.05,4226200,85.49
12/12/2013,85.37,85.7,84.84,85.57,4551700,85.01
12/11/2013,86.03,86.22,85.12,85.28,5624100,84.73
12/10/2013,85.97,86.87,85.92,86.42,4987000,85.86
12/9/2013,85.7,86.53,85.56,86.09,6023400,85.53
12/6/2013,85.06,85.58,84.93,85.5,5759300,84.94
12/5/2013,83.92,84.58,83.7,84.41,5291900,83.86
12/4/2013,83.75,84.38,83.11,83.97,5246700,83.42
12/3/2013,83.8,83.95,83.27,83.87,3924300,83.33
12/2/2013,84.7,85.09,84.03,84.25,4834700,83.7
11/29/2013,84.64,85.18,84.53,84.6,2284400,84.05
11/27/2013,84.43,84.93,84.33,84.67,3053600,84.12
11/26/2013,84.8,84.83,84.01,84.36,3834900,83.81
11/25/2013,84.4,84.94,83.87,84.4,8111400,83.85
11/22/2013,82.22,82.95,82,82.88,4403800,82.34
11/21/2013,83.05,83.09,81.87,82.12,6208500,81.59
11/20/2013,83.18,83.71,82.46,82.68,7443000,82.14
11/19/2013,84.11,84.5,83.48,83.67,5010300,83.13
11/18/2013,84.05,84.97,83.74,84.04,4803100,83.49
11/15/2013,84,84.11,83.5,83.74,4743900,83.2
11/14/2013,84,84.2,83.56,83.76,4496300,83.22
11/13/2013,83.46,84.25,83,84.2,3952800,83.65
11/12/2013,83.98,84.28,83.54,83.85,3483000,83.31
11/11/2013,84.19,84.47,83.82,84.15,2522500,83.6
11/8/2013,83.52,84.32,83.5,84.24,4557300,83.69
11/7/2013,83.95,84.43,83.5,83.65,5431600,83.11
11/6/2013,84.3,84.36,83.85,84.22,3664100,83.67
11/5/2013,83.61,84.19,83.36,84.05,4010900,83.5
11/4/2013,83.81,83.99,83.45,83.89,3892500,83.35
11/1/2013,83.78,83.8,82.8,83.59,5880200,83.05
10/31/2013,83.44,84.27,83.36,83.36,4651300,82.82
10/30/2013,84.17,84.35,83.21,83.49,4657000,82.95
10/29/2013,83.91,84.1,83.29,84.07,5324100,83.52
10/28/2013,84.5,84.73,84.15,84.28,3979200,83.73
10/25/2013,84.32,84.78,83.61,84.77,4886400,84.22
10/24/2013,83.32,85,83.13,84.53,8368700,83.98
10/23/2013,84.15,84.65,83.05,83.76,20968800,83.22
10/22/2013,87.88,89.17,87.54,89.17,9152900,88.59
10/21/2013,87.72,87.8,87.19,87.7,3883500,87.13
10/18/2013,86.31,87.76,86.27,87.34,6752700,86.77
10/17/2013,85.33,85.99,84.95,85.85,3850700,85.29
10/16/2013,86.06,86.49,85.6,86.27,3549500,85.11
10/15/2013,86.24,86.75,85.69,85.75,4896500,84.6
10/14/2013,85.06,86.42,84.86,86.24,4689600,85.08
10/11/2013,84.64,85.85,84.35,85.61,4110300,84.46
10/10/2013,84.44,84.95,84.07,84.73,4317100,83.59
10/9/2013,83.05,83.89,82.45,83.52,4577500,82.4
10/8/2013,83.54,83.89,82.63,82.85,5671300,81.74
10/7/2013,83.46,84.16,83.3,83.53,3364300,82.41
10/4/2013,83.97,84.35,83.54,84.2,3212000,83.07
10/3/2013,83.89,84.27,83.42,83.97,4223500,82.84
10/2/2013,83.52,84.25,83.33,84.07,3324900,82.94
10/1/2013,83.56,84.3,83.08,83.76,3866000,82.64
9/30/2013,82.95,83.83,82.83,83.4,5401500,82.28
9/27/2013,83.62,83.92,83.38,83.8,3017600,82.68
9/26/2013,84.59,84.85,83.9,84.2,3475100,83.07
9/25/2013,85.14,85.55,84.43,84.5,3824700,83.37
9/24/2013,85.13,85.44,84.53,85.11,3720900,83.97
9/23/2013,85,85.39,84.38,85.03,6048400,83.89
9/20/2013,87.61,87.65,84.75,84.75,13435200,83.61
9/19/2013,88.04,88.25,87.31,87.75,4765200,86.57
9/18/2013,86.31,88.01,86.2,87.84,5564700,86.66
9/17/2013,87.36,87.45,86.67,87.07,3415400,85.9
9/16/2013,87.96,88.22,87.03,87.18,4866600,86.01
9/13/2013,87.1,87.2,86.38,87.01,3276000,85.84
9/12/2013,86.94,87.22,86.62,86.84,3980600,85.68
9/11/2013,86.5,87.13,86.26,87.13,4382900,85.96
9/10/2013,86.81,86.89,86.18,86.61,6298400,85.45
9/9/2013,84.04,86.03,84.02,85.59,6702200,84.44
9/6/2013,83.22,84.22,82.4,83.39,5566500,82.27
9/5/2013,83.37,83.52,82.71,82.95,3728400,81.84
9/4/2013,82.75,83.74,82.3,83.54,4482200,82.42
9/3/2013,83.15,83.54,81.72,82.51,7544200,81.4
8/30/2013,82.59,82.76,82.21,82.54,4425700,81.43
8/29/2013,82.5,83.06,82.02,82.53,3706400,81.42
8/28/2013,81.81,82.66,81.46,82.45,6762900,81.34
8/27/2013,82.88,83.54,82.48,82.7,5569900,81.59
8/26/2013,83.98,84.78,83.52,83.56,4123300,82.44
8/23/2013,84.38,84.4,83.4,83.89,4487200,82.77
8/22/2013,83.31,84.49,83.06,84.17,4739900,83.04
8/21/2013,83.52,83.85,82.83,82.94,5562600,81.83
8/20/2013,83.8,84.46,83.27,83.86,4690000,82.74
8/19/2013,85.15,85.5,83.95,84.2,3766000,83.07
8/16/2013,85.85,86.4,85.14,85.16,4706500,84.02
8/15/2013,84.96,86.53,84.88,85.86,5138900,84.71
8/14/2013,86.86,87,85.71,85.82,4462900,84.67
8/13/2013,86.62,87.43,86.45,86.57,6710300,85.41
8/12/2013,84.19,86.45,84.06,86.32,8608300,85.16
8/9/2013,83.8,84.79,83.5,84.51,5478600,83.38
8/8/2013,82.95,84.59,82.92,83.96,6400600,82.83
8/7/2013,82.38,82.77,81.8,82.43,4292400,81.33
8/6/2013,83.31,83.32,82.15,82.53,7223600,81.42
8/5/2013,84.11,84.29,83.5,83.56,3758400,82.44
8/2/2013,84.29,84.68,83.5,84.3,4864700,83.17
