Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,64.13,64.37,63.65,64.02,3698100,64.02
1/16/2014,63.65,64.2,63.31,63.99,2847300,63.99
1/15/2014,63.54,63.83,63.42,63.73,3328500,63.73
1/14/2014,62.76,63.67,62.67,63.55,3096600,63.55
1/13/2014,63.04,63.46,62.5,62.66,3568500,62.66
1/10/2014,63.82,64.07,63.1,63.54,3750600,63.54
1/9/2014,63.99,64.24,63.25,63.94,6626800,63.94
1/8/2014,62.46,63.22,62.08,63.13,5204400,63.13
1/7/2014,63.08,63.2,62.1,62.33,6102800,62.33
1/6/2014,63.94,63.94,62.87,62.96,3689300,62.96
1/3/2014,63.78,64.19,63.55,63.78,2804400,63.78
1/2/2014,64.24,64.54,63.67,63.71,3994900,63.71
12/31/2013,64.71,65,64.39,64.97,2837400,64.97
12/30/2013,64.26,64.7,64.12,64.65,2190900,64.65
12/27/2013,64.44,64.46,63.92,64.25,2039900,64.25
12/26/2013,64,64.28,63.78,64.25,2276500,64.25
12/24/2013,62.72,63.85,62.71,63.83,1760200,63.83
12/23/2013,62.89,62.97,62.56,62.74,3031600,62.74
12/20/2013,62.76,62.98,62.32,62.55,5857000,62.55
12/19/2013,61.85,62.74,61.78,62.71,4279600,62.71
12/18/2013,61.4,62.19,60.62,62.19,4157100,62.19
12/17/2013,60.67,61.41,60.41,61.18,3591800,61.18
12/16/2013,60.52,61.17,60.52,60.84,4326900,60.84
12/13/2013,60.16,60.4,59.96,60.24,2728600,60.24
12/12/2013,60.22,60.41,59.85,59.95,2699000,59.95
12/11/2013,61.7,61.7,60.2,60.29,3854500,60.29
12/10/2013,61.25,61.63,61.11,61.44,3350500,61.44
12/9/2013,61.48,61.6,61.09,61.39,2412300,61.39
12/6/2013,60.62,61.37,60.58,61.34,2677400,61.34
12/5/2013,60.16,60.56,59.97,60.11,2525400,60.11
12/4/2013,60.2,60.6,59.88,60.26,3328000,60.26
12/3/2013,61.45,61.5,60.32,60.5,5018100,60.5
12/2/2013,61.76,62.24,61.59,61.74,2836600,61.74
11/29/2013,61.59,61.8,61.34,61.38,1350800,61.38
11/27/2013,61.5,61.81,61.3,61.54,1598200,61.54
11/26/2013,61.61,61.74,61.16,61.32,2147900,61.32
11/25/2013,62,62.19,61.38,61.58,3772100,61.58
11/22/2013,61.58,61.72,61.28,61.7,2968500,61.7
11/21/2013,61.03,61.61,60.97,61.6,2863500,61.6
11/20/2013,61.6,61.6,60.59,60.79,3915200,60.79
11/19/2013,61.73,61.82,61.27,61.49,3612700,61.49
11/18/2013,62.09,62.24,61.62,61.7,4452700,61.7
11/15/2013,61.79,62.12,61.57,62.11,7327500,62.11
11/14/2013,61.68,61.8,61.28,61.79,5139500,61.79
11/13/2013,61.37,61.54,60.37,60.94,6692500,60.94
11/12/2013,61.97,62.34,61.77,62.05,4900500,61.6
11/11/2013,61.94,62.09,61.74,62.09,2867900,61.64
11/8/2013,60.78,62,60.62,62,5001700,61.55
11/7/2013,61.05,61.46,60.71,60.85,5453500,60.41
11/6/2013,60.44,60.83,60.2,60.77,3412200,60.33
11/5/2013,59.83,60.4,59.76,60.3,5299700,59.86
11/4/2013,60.23,60.75,59.71,60.31,12716000,59.87
11/1/2013,61.14,61.57,60.84,61.09,4118700,60.65
10/31/2013,61,61.83,60.91,61.2,4350100,60.76
