Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,26.88,26.92,26.28,26.58,97240600,26.58
1/16/2014,27.22,27.27,27.08,27.2,32648300,27.2
1/15/2014,27.15,27.4,27.01,27.34,31863300,27.34
1/14/2014,26.84,27,26.74,26.97,24945900,26.97
1/13/2014,26.98,27.1,26.68,26.73,34419200,26.73
1/10/2014,27.19,27.23,26.86,26.96,38828600,26.96
1/9/2014,27.33,27.36,26.93,27.22,31311400,27.22
1/8/2014,27.35,27.36,27.12,27.21,25868900,27.21
1/7/2014,27.48,27.49,27.21,27.29,24728000,27.29
1/6/2014,27.66,27.73,27.15,27.26,29356600,27.26
1/3/2014,27.52,27.6,27.41,27.48,27570800,27.48
1/2/2014,27.86,27.94,27.41,27.5,41453700,27.5
12/31/2013,27.9,28.09,27.83,28.03,30306700,28.03
12/30/2013,27.84,27.98,27.8,27.89,23832300,27.89
12/27/2013,27.84,27.94,27.76,27.83,18990700,27.83
12/26/2013,27.68,27.96,27.6,27.83,24765300,27.83
12/24/2013,27.38,27.66,27.36,27.61,15109700,27.61
12/23/2013,27.43,27.49,27.27,27.4,29903400,27.4
12/20/2013,27.27,27.47,27.02,27.36,78154800,27.36
12/19/2013,27.17,27.4,26.83,27.32,50749400,27.32
12/18/2013,27.03,27.47,26.84,27.41,55268800,27.19
12/17/2013,27.1,27.14,26.94,27.03,36632600,26.81
12/16/2013,26.94,27.09,26.87,26.98,40160000,26.76
12/13/2013,26.59,26.94,26.51,26.84,39833700,26.62
12/12/2013,26.5,26.7,26.48,26.54,30960200,26.33
12/11/2013,27.11,27.13,26.54,26.58,40161400,26.37
12/10/2013,27.09,27.39,27.07,27.14,30864700,26.92
12/9/2013,26.93,27.33,26.88,27.19,30725600,26.97
12/6/2013,26.77,26.98,26.68,26.94,25347300,26.72
12/5/2013,26.63,26.64,26.35,26.45,28455400,26.24
12/4/2013,26.34,26.66,26.2,26.64,44920800,26.43
12/3/2013,26.6,26.6,26.34,26.56,32745800,26.35
12/2/2013,26.65,26.74,26.56,26.66,34650700,26.45
11/29/2013,26.75,26.87,26.63,26.66,21405900,26.45
11/27/2013,26.83,26.9,26.75,26.83,22707700,26.61
11/26/2013,26.72,26.95,26.72,26.78,36551000,26.57
11/25/2013,27.14,27.17,26.73,26.73,32335400,26.52
11/22/2013,26.87,27.09,26.86,27.08,22047800,26.86
11/21/2013,27.02,27.02,26.76,26.91,30361500,26.69
11/20/2013,26.99,27.17,26.88,26.96,30286400,26.74
11/19/2013,27.13,27.33,26.92,27.03,35722000,26.81
11/18/2013,27.28,27.5,27.11,27.22,39084100,27
11/15/2013,27.01,27.43,26.97,27.2,51698500,26.98
11/14/2013,27.15,27.2,26.86,26.99,32454600,26.77
11/13/2013,26.97,27.15,26.75,27.15,34393600,26.93
11/12/2013,26.92,27.14,26.81,27.05,37560200,26.83
11/11/2013,27.02,27.04,26.89,27.01,23888300,26.79
11/8/2013,26.42,27.06,26.4,27.05,37708900,26.83
11/7/2013,26.94,27.19,26.6,26.6,59541600,26.39
11/6/2013,26.47,26.98,26.45,26.9,58658800,26.68
11/5/2013,26.32,26.52,26.26,26.42,24897500,26.21
11/4/2013,26.59,26.59,26.31,26.43,28166100,26.22
11/1/2013,26.05,26.64,26.03,26.54,55634500,26.33
10/31/2013,26.35,26.44,26.12,26.14,42852500,25.93
10/30/2013,26.29,26.48,26.19,26.37,39840400,26.16
10/29/2013,26.19,26.3,26.07,26.21,38436000,26
10/28/2013,25.88,26.16,25.76,26.09,31952000,25.88
10/25/2013,26.07,26.08,25.8,25.88,27373400,25.67
10/24/2013,25.84,26.02,25.67,25.94,34619100,25.73
10/23/2013,25.99,26,25.64,25.7,39545800,25.49
10/22/2013,26.19,26.24,25.98,26.02,43352900,25.81
10/21/2013,25.87,26.35,25.79,26.14,60782400,25.93
10/18/2013,25.21,25.75,25.09,25.55,98507300,25.34
10/17/2013,24.38,24.68,24.23,24.68,45442400,24.48
10/16/2013,24.35,24.4,24.13,24.36,30230600,24.16
10/15/2013,24.27,24.45,24.15,24.19,28367200,24
10/14/2013,24.21,24.38,24.16,24.38,22026900,24.18
10/11/2013,24.32,24.49,24.2,24.4,34178400,24.2
10/10/2013,23.9,24.25,23.82,24.25,38175500,24.06
10/9/2013,23.84,23.84,23.5,23.57,35095500,23.38
10/8/2013,23.92,23.92,23.67,23.67,42390800,23.48
10/7/2013,23.84,24.13,23.8,23.94,28981600,23.75
10/4/2013,24.18,24.18,23.9,24.05,33307300,23.86
10/3/2013,24.22,24.25,23.84,24.1,37472200,23.91
10/2/2013,24.14,24.35,24.05,24.33,34224600,24.13
10/1/2013,23.94,24.22,23.9,24.17,28985200,23.98
9/30/2013,23.88,24.08,23.82,23.89,35343600,23.7
9/27/2013,24.1,24.1,23.94,24.05,25753800,23.86
9/26/2013,24.3,24.51,23.96,24.25,34259500,24.06
9/25/2013,24.3,24.48,24.2,24.23,29448200,24.04
9/24/2013,24.22,24.54,24.22,24.32,33024300,24.12
9/23/2013,24.2,24.38,24.15,24.28,41414600,24.09
9/20/2013,24.55,24.56,24,24.01,67953000,23.82
9/19/2013,24.8,24.89,24.4,24.46,49713200,24.26
9/18/2013,24.47,24.91,24.4,24.86,51092000,24.47
9/17/2013,24.13,24.47,24.11,24.45,35810200,24.07
9/16/2013,24.06,24.23,23.93,24.14,36741200,23.76
9/13/2013,23.77,23.9,23.75,23.78,19071500,23.41
9/12/2013,24.16,24.2,23.77,23.85,30677600,23.48
9/11/2013,23.95,24.09,23.72,24.09,34603600,23.71
9/10/2013,23.67,23.94,23.62,23.87,35717800,23.5
9/9/2013,23.25,23.46,23.18,23.39,28181800,23.02
9/6/2013,23.15,23.38,22.96,23.16,36731500,22.8
9/5/2013,23.34,23.35,23.09,23.16,30302300,22.8
9/4/2013,22.99,23.18,22.96,23.17,31629800,22.81
9/3/2013,23.31,23.45,22.92,23.06,52049800,22.7
8/30/2013,23.44,23.5,23.04,23.14,46275600,22.78
8/29/2013,23.16,23.3,23.09,23.11,22104600,22.75
8/28/2013,23.16,23.4,23.16,23.2,28862600,22.84
8/27/2013,23.36,23.39,23.11,23.18,51392900,22.82
8/26/2013,23.74,23.79,23.56,23.61,25948900,23.24
8/23/2013,23.83,23.85,23.64,23.78,20690400,23.41
8/22/2013,23.66,23.8,23.61,23.78,31033000,23.41
8/21/2013,23.72,23.79,23.56,23.61,31897000,23.24
8/20/2013,23.77,23.85,23.63,23.72,30451500,23.35
8/19/2013,23.9,23.96,23.76,23.85,32219000,23.48
8/16/2013,23.88,24.05,23.86,23.95,36315500,23.58
8/15/2013,23.97,24.26,23.92,24,39962300,23.63
8/14/2013,24.2,24.29,24.05,24.07,27983800,23.69
8/13/2013,24.3,24.3,24.1,24.2,28533700,23.82
8/12/2013,24.14,24.3,24.06,24.27,27365900,23.89
8/9/2013,24.34,24.44,24.21,24.25,20763500,23.87
8/8/2013,24.47,24.54,24.22,24.33,22372500,23.95
8/7/2013,24.21,24.34,24.09,24.34,27971600,23.96
8/6/2013,24.49,24.5,24.25,24.31,22911500,23.93
8/5/2013,24.57,24.6,24.49,24.52,17971600,24.14
8/2/2013,24.52,24.7,24.4,24.7,25721400,24.31
8/1/2013,24.6,24.87,24.52,24.62,31937700,24.24
7/31/2013,24.57,24.69,24.36,24.37,38954900,23.99
7/30/2013,24.57,24.64,24.4,24.48,31201500,24.1
7/29/2013,24.53,24.6,24.46,24.49,25588600,24.11
7/26/2013,24.65,24.66,24.5,24.65,31115200,24.27
7/25/2013,24.61,24.69,24.52,24.69,29951700,24.3
7/24/2013,24.79,24.84,24.56,24.62,27485000,24.24
7/23/2013,24.87,24.88,24.63,24.71,32553000,24.32
7/22/2013,24.77,24.92,24.73,24.86,41560800,24.47
7/19/2013,24.21,24.95,24.1,24.72,103708900,24.33
7/18/2013,23.6,23.94,23.56,23.63,41438200,23.26
7/17/2013,23.54,23.61,23.43,23.54,26858500,23.17
7/16/2013,23.66,23.67,23.34,23.43,38192400,23.06
7/15/2013,23.73,23.74,23.56,23.63,35853500,23.26
7/12/2013,23.99,24,23.59,23.76,33257700,23.39
7/11/2013,23.91,23.96,23.63,23.94,32618400,23.57
7/10/2013,23.72,23.73,23.36,23.54,28457100,23.17
7/9/2013,23.52,23.8,23.51,23.62,31541400,23.25
7/8/2013,23.36,23.53,23.27,23.32,35481100,22.96
7/5/2013,23.17,23.24,22.95,23.24,22688900,22.88
7/3/2013,22.83,22.98,22.76,22.91,21448500,22.55
7/2/2013,23.27,23.34,22.88,22.9,47571200,22.54
7/1/2013,23.21,23.64,23.19,23.34,35784800,22.98
6/28/2013,23.32,23.44,23.16,23.19,45923200,22.83
6/27/2013,23.41,23.48,23.26,23.32,30867900,22.96
6/26/2013,23.43,23.44,23.02,23.25,32531700,22.89
6/25/2013,23.17,23.25,22.94,23.11,36569100,22.75
6/24/2013,23.12,23.15,22.76,22.93,48760800,22.57
6/21/2013,23.58,23.64,23.21,23.36,65025200,23
6/20/2013,23.63,23.69,23.2,23.25,62733200,22.89
6/19/2013,24.2,24.35,23.98,23.98,46082200,23.42
6/18/2013,23.83,24.45,23.77,24.33,72766900,23.76
6/17/2013,23.75,23.85,23.65,23.77,39278300,23.21
6/14/2013,23.68,23.75,23.46,23.52,27846000,22.97
6/13/2013,23.45,23.79,23.34,23.68,34930500,23.13
6/12/2013,23.7,23.73,23.42,23.5,33842000,22.95
6/11/2013,23.49,23.69,23.48,23.58,36183000,23.03
6/10/2013,23.88,23.92,23.64,23.78,41626500,23.22
