Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,175.01,177.28,174.5,176.28,3451000,176.28
1/16/2014,178.75,178.79,174.5,175.17,4712200,175.17
1/15/2014,177,179.74,177,178.75,3540200,178.75
1/14/2014,176.26,177.5,175.71,176.6,2208800,176.6
1/13/2014,178.3,178.3,175.69,175.88,2823800,175.88
1/10/2014,177.4,178.71,177,178.39,2506500,178.39
1/9/2014,179.08,179.08,176.61,177.4,2149500,177.4
1/8/2014,178.5,178.9,177.26,178.44,2208600,178.44
1/7/2014,180.73,180.98,177.52,178.29,2734700,178.29
1/6/2014,179.15,181.13,178.88,179.37,2954000,179.37
1/3/2014,176.35,178.85,176.22,178.15,2147400,178.15
1/2/2014,176.95,178.38,176.36,176.89,1982100,176.89
12/31/2013,176.22,177.44,176.22,177.26,1663900,177.26
12/30/2013,176.5,177.12,175.26,175.73,1241000,175.73
12/27/2013,176.39,176.45,175.57,176.35,1716900,176.35
12/26/2013,176.6,176.76,175.18,176.45,1320100,176.45
12/24/2013,176.67,176.68,175.44,176.16,781300,176.16
12/23/2013,175.88,176.69,175.5,176.47,1585300,176.47
12/20/2013,174.66,175.79,173.75,175.16,3754300,175.16
12/19/2013,174.61,175.8,174,174.77,3094400,174.77
12/18/2013,171,174.92,169.99,174.84,4509600,174.84
12/17/2013,171.27,171.27,169.71,170.49,2856700,170.49
12/16/2013,169.31,171.49,169.09,170.95,2967800,170.95
12/13/2013,168.59,169.29,167.6,168.39,2490600,168.39
12/12/2013,166.59,168.96,166.52,168.33,2906300,168.33
12/11/2013,169.51,169.83,167.13,167.6,2963000,167.6
12/10/2013,167.87,172.2,167.52,169.73,4221000,169.73
12/9/2013,168,169.13,166.84,167.67,2589500,167.67
12/6/2013,167.58,167.96,164.77,167.21,2708500,167.21
12/5/2013,167.41,167.96,165.35,165.56,3564100,165.56
12/4/2013,167.31,169.93,167.31,168.7,2328200,168.7
12/3/2013,169.09,170.76,167.91,168.05,3288200,168.05
12/2/2013,169.88,171.58,168.68,169.72,3121100,169.72
11/29/2013,167.89,170.38,167.69,168.94,2018700,168.94
11/27/2013,168.05,168.81,166.87,168.22,2285300,168.22
11/26/2013,169.36,170.69,168,168.04,2953400,167.49
11/25/2013,168.5,170.5,168.5,169.48,3101700,168.93
11/22/2013,166.77,168.24,165.53,168.1,2680500,167.55
11/21/2013,165.25,167.32,165.01,167.07,3158500,166.52
11/20/2013,166.76,167.25,164.86,165,2793100,164.46
11/19/2013,165.87,168,165.63,166.6,2691900,166.05
11/18/2013,164.74,167.65,164.2,165.68,3555000,165.14
11/15/2013,163.18,165.42,163.18,164.4,2667200,163.86
11/14/2013,163.55,163.95,162.41,163.2,3648200,162.67
11/13/2013,161.78,163.71,161.2,162.94,3398300,162.41
11/12/2013,163.1,164.38,162.13,162.89,2239600,162.36
11/11/2013,162.5,164.75,162.16,163.84,2289000,163.3
11/8/2013,160.39,163.69,159.88,163.17,3856000,162.64
11/7/2013,164.04,164.21,159.61,159.64,3490300,159.12
11/6/2013,162.53,164.3,162.33,163.52,3593700,162.98
11/5/2013,161.67,162.63,160.78,161.95,2529400,161.42
11/4/2013,162.42,163.24,161.59,163.16,1711000,162.63
11/1/2013,161.03,162.6,160.72,162.05,2738400,161.52
10/31/2013,162.09,163.35,160.86,160.86,2785000,160.33
10/30/2013,162.56,162.97,161.15,162.05,2344200,161.52
10/29/2013,162.07,163.11,161.01,162.11,3702100,161.58
10/28/2013,162,162.19,160.25,161.45,3341500,160.92
10/25/2013,160,162.24,159.91,162.09,3721000,161.56
10/24/2013,159.45,160.35,158.83,159.96,2591000,159.44
10/23/2013,158.02,158.08,156.56,157.74,2735800,157.22
10/22/2013,160.64,160.71,158.23,159.25,3239400,158.73
10/21/2013,158.67,160.65,158.25,159.77,2695400,159.25
10/18/2013,158.84,159.7,156.68,158.69,4982100,158.17
10/17/2013,156.48,159.2,155.99,158.32,7522100,157.8
10/16/2013,158.58,162.5,157.5,162.25,3649300,161.72
10/15/2013,159.81,160.04,157.51,157.63,3038000,157.11
10/14/2013,158.22,159.92,157.5,159.46,2428100,158.94
10/11/2013,158.49,160.49,157.52,160,3124900,159.48
10/10/2013,156.83,158.24,156,158.01,3639000,157.49
10/9/2013,153.56,155.32,152.83,154.44,3227500,153.93
10/8/2013,154.62,155.85,153,153.05,2917200,152.55
10/7/2013,155.17,156.2,154.22,154.25,2618000,153.75
10/4/2013,157.08,157.25,156.09,156.55,2984500,156.04
10/3/2013,158.63,159.16,155.46,156.85,2949500,156.34
10/2/2013,157.69,159.58,157.52,158.67,2431000,158.15
10/1/2013,158.86,160.31,157.56,159,2465300,158.48
9/30/2013,157.72,159.14,156.57,158.21,2803600,157.69
9/27/2013,160.69,160.95,159.43,159.85,3679100,159.33
9/26/2013,162.9,163.93,161.04,162.29,2711400,161.76
9/25/2013,163.26,163.69,161.16,162.31,3614600,161.78
9/24/2013,165.52,166.4,162.97,162.97,3422600,162.44
9/23/2013,168.18,168.46,164.72,165.25,4816200,164.71
9/20/2013,168,169.75,164.03,169.75,20410100,169.19
9/19/2013,169.69,170,166.88,167.78,3534700,167.23
9/18/2013,166.5,169.09,165.64,168.06,3422400,167.51
9/17/2013,167.19,167.58,165.66,167.42,2653700,166.87
9/16/2013,166.31,168.57,165.19,167.03,3553100,166.48
9/13/2013,164.38,164.72,162.96,164,2231500,163.46
9/12/2013,164.84,165.31,163.07,163.35,2690000,162.82
9/11/2013,164.93,165.79,163.78,165.06,2233100,164.52
9/10/2013,162.98,165.53,162.56,165.14,5265900,164.6
9/9/2013,157.41,159.7,157.16,159.49,2150400,158.97
9/6/2013,156.98,157.71,153.42,156.66,2464000,156.15
9/5/2013,155.99,158.05,155.57,156.17,2443900,155.66
9/4/2013,154.76,157.25,154.35,155.74,2194200,155.23
9/3/2013,154.48,156.04,153.52,154.76,2464800,154.25
8/30/2013,153.77,153.98,151.33,152.13,2234000,151.63
8/29/2013,152.37,154.68,152.09,153.63,2133000,153.13
8/28/2013,153,154.15,151.45,152.97,2343200,152.47
8/27/2013,155.72,156.53,152.93,153.23,3672000,152.23
8/26/2013,158.41,160.7,157.75,157.9,1885200,156.87
8/23/2013,159.59,159.79,158,158.65,1495800,157.61
8/22/2013,157.81,159.66,157.2,159.41,2302700,158.37
8/21/2013,158.78,159.23,156.51,157.11,3053800,156.08
8/20/2013,158.72,160.03,157.78,159.56,2288700,158.52
8/19/2013,160.17,160.79,158.53,158.63,2228400,157.59
8/16/2013,160.28,162.29,160.03,160.66,2024300,159.61
8/15/2013,161.91,161.97,160.07,160.75,2206900,159.7
8/14/2013,163.85,164.8,162.93,163.34,1667400,162.27
8/13/2013,161.99,164.55,160.95,163.71,2309600,162.64
8/12/2013,161.73,162.38,160.55,161.69,1982000,160.63
8/9/2013,162.4,164.1,162.02,162.13,2012000,161.07
8/8/2013,164.75,166.43,162.83,162.84,2818400,161.78
8/7/2013,164,164.23,162.05,163.45,2131000,162.38
8/6/2013,168.07,168.28,164.47,164.78,3598500,163.7
8/5/2013,167.28,169.69,166.44,168.32,2618400,167.22
8/2/2013,166.83,167.9,166.46,167.62,1866700,166.53
8/1/2013,165.74,167.9,164.88,167.49,3251900,166.4
7/31/2013,162.53,165.97,162.43,164.03,3700300,162.96
7/30/2013,163.49,164.01,162.33,162.43,2553300,161.37
7/29/2013,164.63,164.83,162.02,163.17,2823600,162.11
7/26/2013,165.05,165.65,164.27,165.26,2372200,164.18
7/25/2013,164.28,166,163.69,165.91,2236200,164.83
