Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,188.04,190.81,187.86,190.09,7644600,190.09
1/16/2014,187.53,188.99,186.8,188.76,4770300,188.76
1/15/2014,185.82,188.65,185.49,187.74,4816500,187.74
1/14/2014,185.06,186.43,183.88,185.92,4619200,185.92
1/13/2014,186.26,186.95,183.86,184.16,5784700,184.16
1/10/2014,188.31,188.57,186.28,187.26,4022400,187.26
1/9/2014,189.02,189.5,186.55,187.38,4321300,187.38
1/8/2014,189.33,189.42,187.26,187.97,4603700,187.97
1/7/2014,186.39,190.35,186.38,189.71,5932300,189.71
1/6/2014,187.15,187.36,185.3,186,4067800,186
1/3/2014,185.83,187.35,185.3,186.64,4063200,186.64
1/2/2014,187.21,187.4,185.2,185.53,4546500,185.53
12/31/2013,186.49,187.79,186.3,187.57,3619700,187.57
12/30/2013,185.32,186.7,184.67,186.41,3018600,186.41
12/27/2013,185.84,186.5,184.56,185.08,3381600,185.08
12/26/2013,183.56,185.56,183.51,185.35,3325700,185.35
12/24/2013,181.96,183.5,181.91,183.22,1613600,183.22
12/23/2013,181.05,182.93,180.61,182.23,4079900,182.23
12/20/2013,180.12,182,180.02,180.02,7653500,180.02
12/19/2013,177.88,180.54,177.88,180.22,5927000,180.22
12/18/2013,176.45,178.74,174.85,178.7,5697700,178.7
12/17/2013,177.36,177.49,175.12,175.76,5471900,175.76
12/16/2013,173.22,178.35,172.73,177.85,7517000,177.85
12/13/2013,173.52,174.38,172.73,172.8,4184400,172.8
12/12/2013,175.06,175.8,173.3,173.37,5667900,173.37
12/11/2013,177,177.76,175.1,175.2,4055300,175.2
12/10/2013,176.9,177.67,176.06,177.12,4127800,177.12
12/9/2013,177.99,178.15,176.83,177.46,3796600,177.46
12/6/2013,176.7,178,176.01,177.67,4739800,177.67
12/5/2013,176.15,176.86,175.28,176.08,4384900,176.08
12/4/2013,175.37,177.5,175.16,175.74,5267400,175.74
12/3/2013,177,178.23,175.64,176.08,5864000,176.08
12/2/2013,179.46,179.59,177.12,177.48,4560000,177.48
11/29/2013,179.21,180.76,179,179.68,2870500,179.68
11/27/2013,177.83,180.18,177.82,178.97,4596500,178.97
11/26/2013,178.67,178.94,177.31,177.31,5756000,177.31
11/25/2013,180.25,180.75,177.82,178.94,7161900,178.94
11/22/2013,183.5,184.99,179.92,181.3,7610200,181.3
11/21/2013,185.54,185.75,183.41,184.13,4459500,184.13
11/20/2013,185.22,186.24,184.65,185.19,3645800,185.19
11/19/2013,184.63,186.2,184.15,185.25,4577000,185.25
11/18/2013,183.52,184.99,183.27,184.47,5344900,184.47
11/15/2013,182.38,183.28,181.16,183.19,5176100,183.19
11/14/2013,180.48,183.2,179.66,182.21,6321500,182.21
11/13/2013,182.27,183.55,181.59,183.55,4704400,183.55
11/12/2013,182.53,184.05,182.26,183.07,4258500,183.07
11/11/2013,180.19,183.39,180.04,182.88,5222300,182.88
11/8/2013,178.83,180.08,177.35,179.99,6275000,179.99
11/7/2013,179.6,181.39,179.6,180,5219500,180
11/6/2013,177.91,179.75,177.78,179.19,4560700,179.19
11/5/2013,179.54,179.8,177.71,177.85,6096800,176.9
11/4/2013,179.9,180.8,179.34,180.27,3483300,179.31
11/1/2013,179.81,180.34,178.88,179.23,3644500,178.27
10/31/2013,179.65,181.67,179.04,179.21,4318100,178.25
10/30/2013,181.69,182.18,179.86,180.15,5273700,179.19
10/29/2013,177.62,182.32,177.5,182.12,8904600,181.15
10/28/2013,177.04,177.89,176.2,177.35,3712700,176.4
10/25/2013,178.43,179.1,176.26,176.85,4842800,175.91
10/24/2013,176.43,177.89,176.25,177.8,5533300,176.85
10/23/2013,175.09,175.99,174.4,175.77,5409400,174.83
10/22/2013,173.35,175.57,172.95,174.97,6977300,174.04
10/21/2013,174.42,174.75,172.63,172.86,7098700,171.94
10/18/2013,174.8,175,173.25,173.78,10548000,172.85
10/17/2013,173.84,177,172.57,174.83,22368900,173.9
10/16/2013,185.42,186.73,184.99,186.73,6718000,185.73
10/15/2013,185.74,185.94,184.22,184.66,3365100,183.67
10/14/2013,185.41,186.99,184.42,186.97,2663100,185.97
10/11/2013,185.25,186.23,184.12,186.16,3232600,185.17
10/10/2013,183.17,184.77,182.36,184.77,3658900,183.78
10/9/2013,179.37,181.67,179.1,181.32,4423500,180.35
10/8/2013,181.89,181.99,178.71,178.72,5578300,177.77
10/7/2013,181.85,183.31,181.85,182.01,3966400,181.04
10/4/2013,184.17,185.13,183.58,184.1,2863600,183.12
10/3/2013,184.7,184.96,183,183.86,3211800,182.88
10/2/2013,185.54,186.31,184.41,184.96,3617100,183.97
10/1/2013,185.34,186.65,184.65,186.38,2681200,185.38
9/30/2013,185.56,186.74,184.34,185.18,3978200,184.19
9/27/2013,188.87,188.94,186.45,186.92,3905500,185.92
9/26/2013,190.1,191.76,189.46,190.22,2093600,189.2
9/25/2013,190.14,190.62,188.5,189.47,2654500,188.46
9/24/2013,190.93,191.56,189.66,189.97,3085300,188.96
9/23/2013,190.06,192.41,189.33,190.99,3340800,189.97
9/20/2013,193.96,194.43,190.02,190.02,8525900,189
9/19/2013,194.18,194.89,193.22,193.39,3178100,192.36
