Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,94.72,95.17,94.38,95.06,13714400,95.06
1/16/2014,94.6,95.09,94.23,94.64,8401100,94.64
1/15/2014,94.65,95.27,94.51,94.8,7390700,94.8
1/14/2014,94.6,94.9,94.32,94.72,7567300,94.72
1/13/2014,94.37,94.99,94.06,94.5,9589200,94.5
1/10/2014,94.64,94.98,94.14,94.74,6697400,94.74
1/9/2014,94.94,95.38,94.09,94.73,7944700,94.73
1/8/2014,94.17,94.6,93.88,94.16,9096700,94.16
1/7/2014,93.04,94.62,92.99,94.29,11063300,94.29
1/6/2014,91.93,92.75,91.87,92.33,7443500,92.33
1/3/2014,91.29,92.22,91.26,91.85,5637600,91.85
1/2/2014,91.14,91.73,91.01,91.03,5919600,91.03
12/31/2013,92.17,92.22,91.15,91.59,6348200,91.59
12/30/2013,92.16,92.3,91.73,92.3,4370100,92.3
12/27/2013,92.77,92.96,92.18,92.35,3511300,92.35
12/26/2013,91.99,92.54,91.77,92.54,3459100,92.54
12/24/2013,92.18,92.39,91.85,92.06,3147300,92.06
12/23/2013,92.56,92.68,91.76,92.03,5312200,92.03
12/20/2013,91.95,92.75,91.95,92.09,11253500,92.09
12/19/2013,92.4,92.4,91.42,91.98,7341000,91.98
12/18/2013,90.95,92.66,89.77,92.64,9691100,92.64
12/17/2013,91.3,91.33,90.5,90.66,8747100,90.66
12/16/2013,91.42,92.32,91.16,91.37,6623000,91.37
12/13/2013,91.46,91.86,91.08,91.35,7909000,91.35
12/12/2013,92.84,92.86,91.07,91.16,12285700,91.16
12/11/2013,94.4,94.45,93.03,93.11,9424300,93.11
12/10/2013,94.58,94.79,93.96,94.14,7576600,94.14
12/9/2013,94.3,94.48,93.7,94.44,6974500,94.44
12/6/2013,93.6,94.48,93.42,94.44,7280400,94.44
12/5/2013,93.42,93.63,92.66,92.97,8666200,92.97
12/4/2013,93.76,94.25,93.13,93.63,6201800,93.63
12/3/2013,94.2,94.56,93.51,93.97,9061100,93.97
12/2/2013,94.41,94.66,93.97,94.28,5827400,94.28
11/29/2013,95.23,95.5,94.43,94.66,4106800,94.66
11/27/2013,95.34,95.37,94.61,94.98,4603800,94.98
11/26/2013,95.58,95.87,94.97,95.06,7267600,95.06
11/25/2013,95.49,95.99,95.08,95.63,6374600,95.63
11/22/2013,94.39,95.58,94.39,95.25,6462100,95.25
11/21/2013,95.46,95.75,95.05,95.2,6896200,94.54
11/20/2013,94.94,95.47,94.66,95.15,7076500,94.49
11/19/2013,94.27,94.92,94,94.86,6624200,94.2
11/18/2013,94.36,94.6,94.01,94.3,8492000,93.65
11/15/2013,93.63,94.4,93.55,94.39,7063000,93.74
11/14/2013,93.4,94.14,93.4,93.92,7045700,93.27
11/13/2013,93.36,93.45,92.32,93.34,8954300,92.69
11/12/2013,93.98,94.09,93,93.56,7639600,92.91
11/11/2013,93.97,94.64,93.94,94.29,4723100,93.64
11/8/2013,92.63,94.1,92.56,94.05,7229500,93.4
11/7/2013,93.19,93.35,92.69,92.69,6116900,92.05
11/6/2013,93.03,93.2,92.72,93.04,5301300,92.39
11/5/2013,92.54,92.95,92.28,92.81,5350600,92.17
11/4/2013,93.46,93.5,92.43,93.03,6862500,92.39
11/1/2013,92.38,93.58,92.38,93.37,6835900,92.72
10/31/2013,92.85,93.35,92.32,92.61,7773900,91.97
10/30/2013,93.27,93.45,92.65,92.79,6295400,92.15
10/29/2013,92.8,93.18,92.58,93.14,6096700,92.49
10/28/2013,91.96,92.8,91.92,92.39,6551000,91.75
10/25/2013,92.04,92.27,91.78,92.09,6076000,91.45
10/24/2013,92.65,92.99,92.14,92.35,5251000,91.71
10/23/2013,92.07,92.43,91.52,92.1,6449600,91.46
10/22/2013,91.53,92.56,91.5,92.36,9635500,91.72
10/21/2013,91.63,91.63,90.77,91.2,6940500,90.57
10/18/2013,91.75,92.05,91.14,91.63,9082600,90.99
10/17/2013,90.87,92,90.77,91.97,8569600,91.33
10/16/2013,90.42,91.17,90.16,91.11,8116000,90.48
10/15/2013,90.33,91.46,89.93,89.93,11024000,89.31
10/14/2013,88.83,89.89,88.63,89.8,9198600,89.18
10/11/2013,88.62,89.48,88.02,89.45,8449800,88.83
10/10/2013,86.72,87.78,86.7,87.78,8647900,87.17
10/9/2013,85.93,86.23,85.5,85.96,8014200,85.36
10/8/2013,86.62,86.74,85.57,85.61,8669800,85.02
10/7/2013,86.7,86.98,86.29,86.59,5705200,85.99
10/4/2013,86.82,87.42,86.56,87.31,6050000,86.7
10/3/2013,87.19,87.4,86.28,86.58,7724600,85.98
10/2/2013,87.13,87.29,86.44,87.29,6383400,86.68
10/1/2013,86.59,87.49,86.26,87.47,6318700,86.86
9/30/2013,86.33,86.95,86.15,86.69,7962300,86.09
9/27/2013,86.81,86.94,86.44,86.73,5461100,86.13
9/26/2013,87.28,87.7,86.72,87.07,6400600,86.47
9/25/2013,88.42,88.47,87.07,87.08,7493200,86.48
9/24/2013,89.02,89.2,88.15,88.22,7797500,87.61
9/23/2013,89.43,89.75,88.81,89.09,7376200,88.47
9/20/2013,90.2,90.72,89.68,89.68,14708600,89.06
9/19/2013,90.05,90.2,89.79,90.07,6721000,89.45
9/18/2013,88.91,89.91,88.3,89.91,10115500,89.29
9/17/2013,89.05,89.22,88.58,89.06,6291100,88.44
9/16/2013,89.43,89.57,88.83,89.03,7563700,88.41
9/13/2013,89.13,89.25,88.2,88.57,7738600,87.96
9/12/2013,89.3,89.57,88.88,89.01,7938500,88.39
9/11/2013,88.63,89.27,88.14,89.23,8098100,88.61
9/10/2013,88.14,88.58,87.85,88.53,8658700,87.92
9/9/2013,87.39,87.6,87.01,87.56,6819700,86.95
9/6/2013,87.22,87.92,86,87.16,10034900,86.56
9/5/2013,87,87.17,86.62,87.04,5647900,86.44
9/4/2013,86.46,87.25,86.25,86.9,8458800,86.3
