Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,59.21,59.23,58.03,58.11,20997900,58.11
1/16/2014,58.79,59.82,58.74,58.99,21689400,58.99
1/15/2014,57.73,59.65,57.73,59.49,35186600,59.49
1/14/2014,58.3,58.58,57.56,57.74,30272400,57.74
1/13/2014,58.51,58.67,57.53,57.7,20711600,57.7
1/10/2014,58.67,58.76,58.18,58.49,12694900,58.49
1/9/2014,58.98,59,58.33,58.76,13242500,58.76
1/8/2014,58.54,58.91,58.3,58.87,14687400,58.87
1/7/2014,59.29,59.43,58.11,58.32,17851200,58.32
1/6/2014,59.16,59.47,58.83,59,17550700,59
1/3/2014,58.29,58.95,58.21,58.66,14214100,58.66
1/2/2014,58.31,58.5,57.97,58.21,15627600,58.21
12/31/2013,58.2,58.55,58.05,58.48,11017400,58.1
12/30/2013,58.14,58.27,57.71,57.95,8815800,57.57
12/27/2013,58.17,58.35,58.06,58.14,8943700,57.76
12/26/2013,58.35,58.46,57.92,58.2,6677000,57.82
12/24/2013,58.07,58.29,58.04,58.25,4532600,57.87
12/23/2013,57.97,58.39,57.8,58.24,13990600,57.86
12/20/2013,57.21,58,57.2,57.7,22001700,57.33
12/19/2013,57.1,57.54,56.82,57.23,16790000,56.86
12/18/2013,55.84,57.27,55.4,57.24,27685900,56.87
12/17/2013,56.66,56.66,55.66,55.72,18338500,55.36
12/16/2013,56.34,56.94,56.33,56.42,26379200,56.05
12/13/2013,56.37,56.56,56.04,56.17,11461300,55.81
12/12/2013,56.05,56.6,55.91,56.31,15325300,55.94
12/11/2013,56.54,56.77,55.96,56.07,17836100,55.71
12/10/2013,56.49,57.07,56.35,56.7,14543700,56.33
12/9/2013,56.28,56.53,56.09,56.51,12714000,56.14
12/6/2013,56.57,56.76,55.62,56.06,18661200,55.7
12/5/2013,56.71,56.74,55.75,55.82,21324900,55.46
12/4/2013,56.44,57.47,56.21,57.19,20287200,56.82
12/3/2013,56.89,57.22,56.14,56.86,20426800,56.49
12/2/2013,57.1,57.75,56.9,56.98,12465300,56.61
11/29/2013,57.58,57.85,57.2,57.22,7128800,56.85
11/27/2013,57.58,57.83,57.33,57.48,11238900,57.11
11/26/2013,57.63,57.96,57.17,57.17,16263300,56.8
11/25/2013,57.5,58.14,57.41,57.65,18649600,57.28
11/22/2013,57.25,57.52,57.06,57.46,16730600,57.09
11/21/2013,56.28,57.4,56.28,57.22,22843600,56.85
11/20/2013,56.43,56.44,55.77,56.1,17682800,55.74
11/19/2013,55.97,56.64,55.78,56.15,22979900,55.79
11/18/2013,55.49,56,55.3,55.74,22318800,55.38
11/15/2013,54.27,54.96,54.19,54.87,20530100,54.51
11/14/2013,54.26,54.5,53.7,54.4,17634000,54.05
11/13/2013,53.52,54.2,53.15,54.14,22121900,53.79
11/12/2013,53.93,54.08,53.6,53.97,15964800,53.62
11/11/2013,53.91,54.15,53.7,54.1,12062800,53.75
11/8/2013,51.83,53.97,51.8,53.96,31183100,53.61
11/7/2013,52.13,52.34,51.58,51.65,17348900,51.31
11/6/2013,52.26,52.34,51.83,52.1,14013000,51.76
11/5/2013,51.85,52.13,51.66,51.95,14532200,51.61
11/4/2013,52.74,52.76,52,52.04,18891300,51.7
11/1/2013,51.45,52.71,51.3,52.51,25794400,52.17
10/31/2013,52.65,52.71,51.54,51.54,23738000,51.21
10/30/2013,53,53.24,52.5,52.6,16157200,52.26
10/29/2013,52.83,52.99,52.25,52.73,23363100,52.39
10/28/2013,52.89,53.09,52.5,52.68,14836800,52.34
10/25/2013,52.16,52.91,52.07,52.77,20889600,52.43
10/24/2013,52.84,52.89,52.11,52.48,17759000,52.14
10/23/2013,53.31,53.36,52.72,52.75,21034400,52.41
10/22/2013,54.65,54.68,53.62,53.62,24820900,53.27
10/21/2013,54.27,54.85,53.89,54.27,19471700,53.92
10/18/2013,54.26,54.58,53.8,54.3,24796600,53.95
10/17/2013,53.79,54.29,53.61,54.21,17791000,53.86
10/16/2013,52.61,54.05,52.58,54,24864000,53.65
10/15/2013,52.91,53.04,52.18,52.31,17566500,51.97
10/14/2013,51.94,52.84,51.76,52.71,18881600,52.37
10/11/2013,52.96,53.35,52.16,52.51,32498800,52.17
10/10/2013,51.84,52.56,51.38,52.52,24328700,52.18
10/9/2013,51.17,51.34,50.25,50.75,24721200,50.42
10/8/2013,51.83,51.96,50.84,50.87,19536000,50.54
10/7/2013,52.29,52.36,51.83,51.83,16159300,51.49
10/4/2013,52.07,52.68,52.01,52.67,17407200,52.33
10/3/2013,52,52.2,51.5,51.94,18614500,51.6
10/2/2013,51.32,52.45,51.29,52.09,23841200,51.75
10/1/2013,51.64,52.09,51.45,51.96,19188000,51.24
9/30/2013,51.73,52.09,51.44,51.69,21350600,50.98
9/27/2013,51.5,52.4,51.39,52.24,23026000,51.52
9/26/2013,51.93,52.56,51.54,51.89,22298700,51.18
9/25/2013,50.22,51.9,50.06,51.7,39175500,50.99
9/24/2013,51.01,51.27,50.3,50.32,34906900,49.63
9/23/2013,52.08,52.38,51.39,51.46,28189500,50.75
9/20/2013,52.95,53.47,52.8,52.8,30792200,52.07
9/19/2013,53.63,53.75,52.53,52.75,22452200,52.02
9/18/2013,52.69,53.87,52.56,53.41,20844500,52.67
9/17/2013,53.19,53.32,52.88,53.09,13207000,52.36
9/16/2013,53.45,53.49,52.98,53.14,17055300,52.41
9/13/2013,52.29,52.8,52.23,52.59,11942900,51.87
9/12/2013,53.43,53.71,52.08,52.24,21976700,51.52
9/11/2013,53.37,53.76,53.06,53.26,16028600,52.53
9/10/2013,53.83,53.93,53.3,53.67,20233200,52.93
9/9/2013,52.78,53.19,52.52,52.86,19936400,52.13
9/6/2013,52.41,52.71,51.28,52.56,22339900,51.84
9/5/2013,52.03,52.52,51.91,52.11,13913200,51.39
9/4/2013,51.16,52.1,50.93,51.87,19923800,51.16
9/3/2013,51.25,51.72,50.83,51.13,15277200,50.43
8/30/2013,50.82,50.83,50.29,50.53,15863100,49.83
8/29/2013,50.59,51.18,50.45,50.7,13576000,50
8/28/2013,50.33,51.05,50.13,50.58,18748100,49.88
8/27/2013,51.02,51.55,50.55,50.6,23596800,49.9
8/26/2013,52.16,52.54,51.79,51.8,16548400,51.09
8/23/2013,52.27,52.42,51.9,52.32,11126800,51.6
8/22/2013,52,52.66,51.93,52.21,14658500,51.49
8/21/2013,51.92,52.22,51.28,51.63,17136200,50.92
8/20/2013,51.78,52.36,50.66,52.12,18701500,51.4
8/19/2013,52.89,52.95,51.8,51.83,22793300,51.12
8/16/2013,53.07,53.78,53.07,53.29,17139000,52.56
8/15/2013,53.52,53.68,52.89,53.29,16933200,52.56
8/14/2013,54.33,54.85,54,54.15,15785800,53.4
8/13/2013,54.22,54.7,53.6,54.29,15078100,53.54
8/12/2013,54.04,54.32,53.68,54.09,15133000,53.35
8/9/2013,54.69,55.15,54.33,54.52,12652500,53.77
8/8/2013,55.42,55.73,54.13,54.83,18587100,54.08
8/7/2013,55.06,55.47,54.78,55.3,12828400,54.54
8/6/2013,55.99,56.1,55.31,55.49,10588600,54.73
8/5/2013,56.33,56.58,56.01,56.1,9370200,55.33
8/2/2013,56.27,56.52,56.01,56.49,11007300,55.71
8/1/2013,56.36,56.78,56.2,56.54,15979400,55.76
7/31/2013,55.58,56.27,55.51,55.73,19404900,54.96
7/30/2013,55.87,55.99,55.08,55.33,14207400,54.57
7/29/2013,55.98,56,55.38,55.69,10049100,54.92
7/26/2013,56.06,56.22,55.6,56.05,16762300,55.28
7/25/2013,56.45,56.5,55.89,56.5,13870200,55.72
7/24/2013,56.92,56.93,56.38,56.63,16665000,55.85
7/23/2013,56.72,56.89,56.47,56.67,10577100,55.89
7/22/2013,56.17,56.67,55.95,56.56,15999700,55.78
7/19/2013,56.51,56.56,55.91,56.16,17762600,55.39
7/18/2013,55.51,56.53,55.49,56.37,24563100,55.59
7/17/2013,55.05,55.58,54.84,55.27,19166600,54.51
7/16/2013,54.9,55.41,54.78,55.01,19222700,54.25
7/15/2013,55.49,55.5,54.6,54.89,28292000,54.13
7/12/2013,55.51,55.85,54.75,54.97,32569200,54.21
7/11/2013,55.84,55.87,54.55,55.14,21322600,54.38
7/10/2013,54.77,55.15,54.44,54.83,16915000,54.08
7/9/2013,55.07,55.17,54.19,54.89,20508700,54.13
7/8/2013,54.54,54.91,54.05,54.7,21786900,53.95
7/5/2013,53.36,54,53.11,53.99,17070200,53.25
7/3/2013,52.31,52.81,52.21,52.77,10442300,52.04
7/2/2013,52.57,53.53,52.12,52.8,23935300,52.07
7/1/2013,53.22,53.63,52.43,52.49,23511100,51.39
6/28/2013,53.12,53.13,52.58,52.79,18256000,51.69
6/27/2013,53.03,53.49,52.88,53.15,17093600,52.04
6/26/2013,52.65,52.8,51.88,52.5,19332000,51.4
6/25/2013,51.51,52.56,51.51,52.08,20951400,50.99
6/24/2013,50.88,51.45,50.11,50.92,30736500,49.86
6/21/2013,52.96,52.98,51.69,51.96,44412200,50.87
6/20/2013,53.08,53.18,52.27,52.48,31857100,51.38
6/19/2013,53.99,54.51,53.52,53.55,20840000,52.43
6/18/2013,54.03,54.27,53.72,54.11,13259100,52.98
6/17/2013,53.7,54.26,53.54,53.85,16856600,52.72
6/14/2013,54.04,54.13,52.91,53.13,17185300,52.02
6/13/2013,53,54.24,52.97,54.17,17090200,53.04
6/12/2013,53.9,54.1,52.97,53.18,18479100,52.07
6/11/2013,53.46,54.05,53.11,53.49,17600800,52.37
6/10/2013,54.64,54.84,54.02,54.36,16007000,53.22
6/7/2013,53.77,54.48,53.41,54.27,21691000,53.14
6/6/2013,52.84,53.52,52.27,53.5,23940900,52.38
6/5/2013,53.78,54.27,52.7,53.03,24326000,51.92
6/4/2013,54.54,55.39,53.87,54.04,22022600,52.91
6/3/2013,54.6,54.86,53.04,54.49,28279600,53.35
5/31/2013,55.71,55.83,54.59,54.59,24990100,53.45
5/30/2013,54.6,55.9,54.53,55.62,24890800,54.46
5/29/2013,54.09,54.96,53.91,54.67,20482600,53.53
5/28/2013,54.56,54.65,54.03,54.6,27162300,53.46
