Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,137.98,138.75,136.98,137.31,2327900,137.31
1/16/2014,137.74,138.5,137.63,138.16,1792700,138.16
1/15/2014,137.77,138.82,137.56,138.44,3025900,138.44
1/14/2014,135.11,137.41,134.74,137.41,2479700,137.41
1/13/2014,135.81,137.06,134.57,134.68,2633400,134.68
1/10/2014,136.95,137.19,135.68,136.18,3254300,136.18
1/9/2014,137.02,137.43,136.2,136.45,2539900,136.45
1/8/2014,137.48,137.75,136.34,136.63,3122700,136.63
1/7/2014,137.45,138.2,137.13,137.65,2525500,137.65
1/6/2014,138.75,139.29,137.48,137.63,2712100,137.63
1/3/2014,138.37,138.88,138.03,138.45,2133300,138.45
1/2/2014,138.05,139,137.61,138.13,3052100,138.13
12/31/2013,140,140.43,139.48,140.25,1846500,140.25
12/30/2013,139.08,139.65,138.79,139.42,1714300,139.42
12/27/2013,138.78,139.4,138.55,139.35,1894900,139.35
12/26/2013,137.3,138.68,137.03,138.29,2158200,138.29
12/24/2013,137.23,137.34,136.35,136.99,1311700,136.99
12/23/2013,137.1,137.43,136.32,136.8,3439600,136.8
12/20/2013,136.78,138.09,136.6,136.72,5856800,136.72
12/19/2013,135.06,136.52,134.73,136.41,4080900,136.41
12/18/2013,131.48,135.81,131.48,135.8,5580000,135.8
12/17/2013,130.42,131.62,129.98,131.39,6206800,131.39
12/16/2013,126.77,128.77,126.47,127.66,2805300,127.66
12/13/2013,126.65,127.35,125.98,126.43,1743400,126.43
12/12/2013,126.63,127.39,125.98,126.58,2486700,126.58
12/11/2013,128.74,129.66,126.71,126.77,3885500,126.77
12/10/2013,128.07,128.53,127.53,127.55,2353100,127.55
12/9/2013,128.8,129.18,128.39,128.57,2064400,128.57
12/6/2013,128.19,128.8,127.85,128.61,2886100,128.61
12/5/2013,126.4,127.65,126.22,126.83,2842700,126.83
12/4/2013,125.95,127.59,125.49,126.46,3450700,126.46
12/3/2013,126.06,127.39,125.15,126.6,7864500,126.6
12/2/2013,131.67,132,127.39,127.68,6897900,127.68
11/29/2013,133.51,134.16,133.34,133.51,2029000,133.51
11/27/2013,132.63,133.65,131.94,133.5,2433500,133.5
11/26/2013,131.45,132.64,131.33,132.15,4229600,132.15
11/25/2013,131.8,131.87,130.94,131.23,2496300,131.23
11/22/2013,130.36,132.55,129.82,131.02,1644800,131.02
11/21/2013,129.69,130.41,129.59,130.35,1576100,130.35
11/20/2013,129.5,130.3,128.55,129.18,2691800,129.18
11/19/2013,130.02,130.78,129.92,130.05,2532500,129.42
11/18/2013,129.91,130.5,129.78,130.13,2148200,129.49
11/15/2013,129.15,130,128.98,129.85,2360400,129.22
11/14/2013,128.97,130.12,128.8,129.79,2569800,129.16
11/13/2013,127.86,128.66,127.43,128.59,2426300,127.96
11/12/2013,128.15,128.59,127.55,128.36,2428600,127.73
11/11/2013,127.54,128.17,127.25,127.95,1751500,127.33
11/8/2013,126.03,128.02,126.03,127.99,2234300,127.37
11/7/2013,127.15,127.88,126.23,126.41,3188900,125.79
11/6/2013,126.46,127.32,126.23,127.13,1910300,126.51
11/5/2013,125.75,126.46,124.86,126.12,1757900,125.5
11/4/2013,125.98,126.49,125.56,126.32,1741500,125.7
11/1/2013,126.76,126.93,125.12,125.9,1676600,125.29
10/31/2013,124.97,126.38,124.95,125.85,2327200,125.24
10/30/2013,125.57,125.98,124.76,124.79,2107700,124.18
10/29/2013,125.08,125.48,124.62,125.28,1986700,124.67
10/28/2013,124.13,125.32,123.8,124.92,2358400,124.31
10/25/2013,123.05,124.46,122.87,124.42,2054300,123.81
10/24/2013,122.96,124.96,122.7,123.49,3851100,122.89
10/23/2013,123.43,123.73,122.5,123.2,2337500,122.6
10/22/2013,123.36,124.32,123.28,123.8,2053500,123.2
10/21/2013,122.79,123.31,122.68,123.25,1762200,122.65
10/18/2013,122.87,123.45,122.4,122.84,2590500,122.24
10/17/2013,120.74,122.87,120.71,122.62,2791700,122.02
10/16/2013,120.86,120.94,120.14,120.94,2646400,120.35
10/15/2013,121.28,121.38,119.79,119.82,2720500,119.23
10/14/2013,120.26,121.7,120,121.4,1866800,120.81
10/11/2013,119.16,120.77,118.39,120.72,2492700,120.13
10/10/2013,118.6,119.34,118.32,119.34,2688800,118.76
10/9/2013,117.27,117.96,116.65,117.57,2499200,117
10/8/2013,118.72,119.22,117.1,117.16,2869000,116.59
10/7/2013,118.56,119.27,118.28,118.69,1931200,118.11
10/4/2013,118.37,119.71,118.13,119.4,1983700,118.82
10/3/2013,118.71,119.11,117.89,118.55,2525800,117.97
10/2/2013,119.13,119.59,118.44,119.2,2056500,118.62
10/1/2013,119.69,119.82,118.8,119.62,1854800,119.04
9/30/2013,119.39,119.96,118.67,119.41,2104700,118.83
9/27/2013,119.97,120.3,119.26,120.22,2028100,119.63
9/26/2013,120.6,121,119.92,120.66,2240900,120.07
9/25/2013,120.89,121.21,120.17,120.2,2173400,119.61
9/24/2013,121.24,121.87,120.69,120.8,3585100,120.21
9/23/2013,120.43,121.47,120.37,121.11,3468500,120.52
9/20/2013,121.5,121.93,120.01,120.01,6999000,119.42
9/19/2013,121.15,122.27,121.15,121.57,2912400,120.98
9/18/2013,120.25,121.51,119.87,121.29,3307700,120.7
9/17/2013,119.07,120.19,118.65,119.93,2436000,119.34
9/16/2013,119.79,120,119.06,119.23,2756300,118.65
