Date,Open,High,Low,Close,Volume,Adj Close
1/17/2014,99.18,100.34,98.67,99.16,15998000,99.16
1/16/2014,98.79,99.04,98.25,98.94,9421700,98.94
1/15/2014,99.16,99.35,98.63,98.78,9425500,98.78
1/14/2014,98.8,99.27,98.65,99.12,9265000,99.12
1/13/2014,99.91,100.1,98.27,98.55,12110900,98.55
1/10/2014,99.99,100.63,99.12,100.52,10535400,100.52
1/9/2014,100.2,100.39,99.03,99.76,11674300,99.76
1/8/2014,101.19,101.19,100.15,100.74,11180400,100.74
1/7/2014,99.61,101.22,99.42,101.07,11187000,101.07
1/6/2014,99.94,100.14,98.89,99.66,11848500,99.66
1/3/2014,99.77,100.17,99.14,99.51,9295600,99.51
1/2/2014,100.6,100.76,99.39,99.75,11028100,99.75
12/31/2013,100.49,101.39,100.43,101.2,8509600,101.2
12/30/2013,101.53,101.55,100.31,100.31,9007900,100.31
12/27/2013,101.24,101.74,100.99,101.51,10209000,101.51
12/26/2013,99.42,101.03,99.38,100.9,9531200,100.9
12/24/2013,98.33,99.44,98.33,99.22,4168300,99.22
12/23/2013,99,99.29,98.39,98.51,10127600,98.51
12/20/2013,99.39,99.6,98.6,98.68,23331000,98.68
12/19/2013,99.5,99.6,99,99.43,12905900,99.43
12/18/2013,97.43,99.95,97.01,99.54,21331300,99.54
12/17/2013,97.02,97.13,96.03,96.75,14897200,96.75
12/16/2013,96.28,98.88,96.13,97.22,23209400,97.22
12/13/2013,95.13,95.92,94.66,95.31,10629500,95.31
12/12/2013,94.5,95.88,94.28,95.36,15558300,95.36
12/11/2013,95.38,95.54,94.16,94.26,12682000,94.26
12/10/2013,95.9,95.98,95.39,95.71,9868100,95.71
12/9/2013,95.95,96.25,95.6,95.84,15516700,95.84
12/6/2013,94.97,95.71,94.59,95.65,12026300,95.65
12/5/2013,94.07,94.65,93.92,94.13,10586000,94.13
12/4/2013,94.19,94.9,93.92,94.67,13074000,94.67
12/3/2013,93.6,94.48,93.23,94.39,12599500,94.39
12/2/2013,93.27,94.04,92.92,93.52,9310500,93.52
11/29/2013,93.65,94.22,93.3,93.48,6770500,93.48
11/27/2013,94.36,94.42,93.48,93.8,8828100,93.8
11/26/2013,94.75,94.81,94.15,94.27,11857900,94.27
11/25/2013,95.21,95.75,94.83,95.09,10515100,95.09
11/22/2013,94.96,95.07,94.29,95.01,8534700,95.01
11/21/2013,94.85,95.39,94.63,94.69,9128400,94.69
11/20/2013,95.75,95.95,94.37,94.68,10455400,94.68
11/19/2013,95.4,95.79,95.16,95.42,12697300,95.42
11/18/2013,95.98,96,95.06,95.45,14243700,95.45
11/15/2013,94.15,95.29,94.03,95.27,18374500,95.27
11/14/2013,92.68,93.42,92.68,93.22,7909200,93.22
11/13/2013,92.22,92.74,92.07,92.59,9280000,92.59
11/12/2013,92.67,93.32,92.5,92.67,10727300,92.67
11/11/2013,92.85,93.23,92.5,92.96,7924700,92.96
11/8/2013,91.8,92.82,91.48,92.73,12330100,92.73
11/7/2013,92.64,92.98,91.76,91.96,16572100,91.96
11/6/2013,92.42,93.28,92.12,93.22,13464600,92.59
11/5/2013,91.34,93.25,91.24,91.99,21122500,91.37
11/4/2013,90,92.27,90,92.1,20591600,91.48
11/1/2013,89.74,90.04,88.27,89.82,19023500,89.21
10/31/2013,89.45,90.96,89.2,89.62,19185200,89.01
10/30/2013,88.97,89.48,88.69,88.81,14305900,88.21
10/29/2013,88.45,89.03,88.44,88.93,10340000,88.33
10/28/2013,87.83,88.46,87.61,88.23,9921900,87.63
10/25/2013,88.23,88.65,87.82,87.97,11382000,87.38
10/24/2013,87.98,88.73,87.97,88.42,12288900,87.82
10/23/2013,87.52,87.65,86.95,87.61,11449100,87.02
10/22/2013,87.29,88.15,87.13,87.98,12710600,87.39
10/21/2013,87.5,87.65,86.84,87.23,10730900,86.64
10/18/2013,87.69,87.74,87.3,87.55,12425100,86.96
10/17/2013,87.13,87.5,87.01,87.48,10438200,86.89
10/16/2013,87.48,87.86,86.72,87.31,11668100,86.72
10/15/2013,87.47,87.58,86.64,86.79,12018000,86.2
10/14/2013,86.51,87.74,86.51,87.6,9742100,87.01
10/11/2013,85.9,86.95,85.5,86.95,12661800,86.36
10/10/2013,85.52,86.04,84.79,86.04,17532400,85.46
10/9/2013,85.35,85.59,84.83,85.16,13575100,84.58
10/8/2013,85.86,85.95,85.47,85.51,15335700,84.93
10/7/2013,85.57,86.29,85.27,85.9,10985800,85.32
10/4/2013,86.31,86.42,85.68,86.32,11325500,85.74
10/3/2013,86.04,86.05,85.34,85.5,13923400,84.92
10/2/2013,85.75,86.11,85.28,86.08,11841400,85.5
10/1/2013,85.99,86.34,85.78,86,11885100,85.42
9/30/2013,86.06,86.7,85.61,86.04,17486100,85.46
9/27/2013,86.85,87.01,86.61,86.9,10867100,86.31
9/26/2013,87.4,87.45,86.81,87.07,9787100,86.48
9/25/2013,87.59,87.6,86.93,87.14,13577400,86.55
9/24/2013,87.59,88.07,87.28,87.36,12129200,86.77
9/23/2013,88.29,88.91,87.64,87.75,12227700,87.16
9/20/2013,89.53,89.75,88.59,88.66,20651100,88.06
9/19/2013,89.64,89.74,88.98,89.28,11757500,88.68
9/18/2013,88.91,89.87,88.37,89.58,15134700,88.97
9/17/2013,88.71,89.35,88.65,88.94,8941200,88.34
9/16/2013,88.88,89.18,88.49,88.67,9421300,88.07
9/13/2013,88.15,88.88,88.15,88.4,8254200,87.8
